DateTime,Entries,UniqueIPs
1539227297,11528,11528
1539229238,11517,11517
1539231143,11527,11527
1539233055,11510,11510
1539235004,11511,11511
1539237030,11518,11518
1539238831,11515,11515
1539240759,11524,11524
1539242674,11471,11471
1539244577,11830,11830
1539246515,11755,11755
1539248432,11621,11621
1539250361,11467,11467
1539252261,11309,11309
1539254172,11221,11221
1539256117,11172,11172
1539258019,11062,11062
1539260175,11022,11022
1539262101,10978,10978
1539264039,11035,11035
1539266157,10918,10918
1539268089,10810,10810
1539270027,10749,10749
1539271932,10667,10667
1539273883,10581,10581
1539275772,10496,10496
1539277713,10465,10465
1539279615,10407,10407
1539281566,10422,10422
1539283456,10400,10400
1539285386,10340,10340
1539287308,10307,10307
1539289216,10307,10307
1539291151,10283,10283
1539293073,10140,10140
1539294970,10077,10077
1539296911,9938,9938
1539298831,10788,10788
1539300759,10759,10759
1539302680,10713,10713
1539304584,10637,10637
1539306521,10575,10575
1539308414,10527,10527
1539310357,10506,10506
1539312279,10416,10416
1539314180,10431,10431
1539316114,10456,10456
1539318014,10452,10452
1539319960,10449,10449
1539321870,10472,10472
1539323777,10463,10463
1539325711,10316,10316
1539327653,10301,10301
1539329557,10242,10242
1539331719,9939,9939
1539333633,9936,9936
1539335557,9908,9908
1539337455,9886,9886
1539339400,9803,9803
1539341551,9852,9852
1539343448,9932,9932
1539345386,9994,9994
1539347285,10025,10025
1539349227,10175,10175
1539351387,10222,10222
1539353429,10270,10270
1539355483,10362,10362
1539357393,10409,10409
1539359301,10469,10469
1539361238,10527,10527
1539363149,10562,10562
1539365061,10615,10615
1539366998,10639,10639
1539368903,10657,10657
1539370859,10716,10716
1539372748,10822,10822
1539374695,11459,11459
1539376580,11513,11513
1539378521,11580,11580
1539380423,11620,11620
1539382352,11663,11663
1539384792,11623,11623
1539386933,10895,10895
1539388825,10927,10927
1539390779,10961,10961
1539392661,11190,11190
1539394600,11290,11290
1539396548,11324,11324
1539398435,11346,11346
1539400336,11337,11337
1539402276,11417,11417
1539404188,11466,11466
1539406094,11527,11527
1539408034,11539,11539
1539409960,11565,11565
1539411889,11588,11588
1539413797,11639,11639
1539415690,11664,11664
1539417640,11572,11572
1539419560,11447,11447
1539421467,11420,11420
1539423371,11425,11425
1539425323,11375,11375
1539427240,11436,11436
1539429141,11476,11476
1539431078,11503,11503
1539433010,11561,11561
1539434894,11595,11595
1539436827,11683,11683
1539438760,11438,11438
1539440777,11443,11443
1539442580,11381,11381
1539444761,11265,11265
1539446670,11306,11306
1539448603,11321,11321
1539450521,11428,11428
1539452437,11361,11361
1539454357,11392,11392
1539456270,12476,12476
1539458202,12510,12510
1539460122,11794,11794
1539462012,11763,11763
1539463963,11728,11728
1539465874,11694,11694
1539467777,11727,11727
1539469716,11683,11683
1539472604,11672,11672
1539474491,11619,11619
1539476420,11579,11579
1539478359,11398,11398
1539480274,11309,11309
1539482168,11246,11246
1539484110,11213,11213
1539487039,11226,11226
1539488895,11108,11108
1539490834,11071,11071
1539492738,11290,11290
1539494677,11283,11283
1539496613,11277,11277
1539498521,11277,11277
1539501415,11240,11240
1539503300,11268,11268
1539505475,11382,11382
1539507370,11407,11407
1539509308,11583,11583
1539511255,15105,15105
1539513159,16485,16485
1539515080,16363,16363
1539516976,16362,16362
1539518923,16265,16265
1539520823,16224,16224
1539522761,16066,16066
1539524674,16095,16095
1539526601,16038,16038
1539528531,16894,16894
1539530414,17246,17246
1539532357,17813,17813
1539534277,17906,17906
1539536169,17785,17785
1539538111,17761,17761
1539541013,17756,17756
