DateTime,AddedIPs,RemovedIPs
1539226358,68,20
1539228256,27,13
1539230168,21,17
1539232115,14,14
1539234039,15,18
1539235963,26,15
1539237888,13,12
1539239819,18,11
1539241828,14,24
1539243638,21,24
1539245540,250,17
1539247457,13,21
1539249383,10,44
1539251295,21,45
1539253243,20,24
1539255148,12,33
1539257050,19,32
1539258995,19,27
1539261145,20,34
1539263073,89,11
1539264970,23,22
1539266903,19,72
1539268834,9,25
1539270746,29,37
1539272657,9,59
1539274844,23,34
1539276733,15,26
1539278656,10,34
1539280591,17,25
1539282499,14,17
1539285386,12,29
1539287317,21,28
1539289217,16,13
1539291151,17,25
1539293073,20,85
1539294970,11,48
1539296911,10,46
1539299795,807,33
1539301724,7,21
1539303721,8,25
1539305561,12,33
1539307470,7,37
1539309396,12,30
1539311314,10,90
1539314180,21,51
1539316114,15,18
1539318014,5,16
1539319961,13,18
1539321871,10,22
1539323777,11,16
1539325712,12,27
1539328608,26,17
1539330740,71,227
1539332685,18,73
1539334591,17,12
1539336492,17,22
1539338453,17,15
1539340364,15,128
1539342261,10,17
1539344181,22,29
1539346119,12,15
1539348037,4,20
1539349939,128,80
1539351886,14,27
1539353799,17,22
1539355939,29,19
1539357872,20,30
1539359809,8,42
1539361715,6,25
1539364607,15,20
1539366491,12,26
1539368416,10,23
1539370357,12,14
1539372291,26,17
1539374167,125,21
1539376111,16,20
1539378026,6,16
1539379955,13,18
1539381877,15,23
1539383769,26,16
1539385968,21,830
1539387852,26,8
1539389800,14,17
1539391692,22,15
1539393636,119,8
1539395554,21,15
1539397470,16,12
1539399373,13,15
1539401308,17,29
1539403226,12,7
1539405164,13,13
1539407075,10,14
1539409001,12,14
1539410919,24,20
1539412833,23,34
1539414759,97,27
1539416779,12,19
1539418597,16,77
1539420493,6,26
1539422426,10,20
1539424336,18,14
1539426272,5,16
1539428168,4,11
1539430109,37,26
1539432094,4,12
1539433953,36,10
1539436030,42,7
1539438007,37,126
1539440203,28,104
1539442119,24,31
1539444264,35,19
1539446198,22,11
1539448144,25,8
1539450055,24,9
1539451946,21,16
1539453872,16,7
1539455797,372,5
1539457702,163,14
1539459617,25,156
1539461549,22,16
1539463461,19,10
1539465394,9,8
1539467320,55,12
1539469222,9,21
1539471145,6,16
1539473066,12,16
1539474998,12,18
1539476902,8,13
1539479791,19,132
1539481698,17,18
1539483616,9,15
1539485549,12,13
1539487463,12,12
1539489402,8,21
1539491298,68,14
1539493238,40,11
1539495150,29,13
1539497070,18,17
1539498985,84,10
1539500901,8,86
1539502822,8,14
1539504986,90,15
1539506900,9,7
1539508814,13,10
1539510744,1042,16
1539512664,435,11
1539514584,7,22
1539516496,16,37
1539518487,33,4
1539520358,16,34
1539522266,14,35
1539524190,70,35
1539526114,10,29
1539528116,433,25
1539529990,199,32
1539531869,129,29
1539533795,83,26
1539535698,10,31
1539537621,11,31
1539539565,34,15
1539541464,10,19
1539543377,7,484
1539545304,14,27
1539547243,9,27
1539549146,59,20
1539551070,3,9
1539552988,757,45
1539554908,4,9
1539556820,203,7
1539558775,10,13
1539560679,9,7
1539562606,72,6
1539564521,1313,19
1539566437,945,12
1539568388,1339,13
1539570396,337,15
1539572202,7,6
1539574112,9,9
1539576057,5,11
1539577958,89,11
1539579888,14,28
1539581779,7,30
1539583726,6,16
1539585632,23,52
1539587545,606,4
1539589478,5,7
1539591541,12,63
1539593563,8,7
1539595467,6,13
1539597385,7,751
1539599307,5,583
1539601259,67,16
1539603153,98,10
1539605103,9,32
1539606989,288,13
1539608927,387,13
1539610817,3,54
1539612762,2,14
1539614661,4,360
1539616834,4,167
1539618752,11,168
1539620668,8,48
1539622615,41,9
1539624516,11,11
1539627390,116,41
1539629561,15,6
1539631480,21,8
1539633374,15,11
1539635820,21,67
1539637957,5,4
1539639857,6,8
1539641809,4,6
1539643717,7,13
1539645636,10,14
1539647557,12,6
1539649472,12,369
1539651401,25,1254
1539653315,25,1825
1539655263,604,1172
1539657159,32,89
1539659113,42,7
1539660992,18,9
1539662923,20,7
1539664869,19,118
1539666760,26,12
1539668662,26,7
1539670605,34,13
1539672518,39,361
1539674434,83,288
1539676354,32,5
1539678277,38,14
1539680439,49,35
1539682348,19,7
1539684527,32,6
1539686408,21,7
1539688361,25,169
1539690258,13,7
1539692219,13,9
1539694117,69,9
1539696033,20,8
1539697946,43,366
1539699877,13,313
1539702038,18,10
1539703963,19,14
1539706052,76,10
1539708277,72,8
1539710187,10,48
1539712348,16,113
1539714261,1124,10
1539716186,202,9
1539718097,25,20
1539720056,30,11
1539721953,14,13
1539724111,40,11
1539726035,48,9
1539727955,16,4
1539730104,17,207
1539732024,16,14
1539733953,17,14
1539735876,16,7
1539737774,12,20
1539739698,19,22
1539741644,8,757
1539743544,17,30
1539745483,10,32
1539747373,18,17
1539749303,30,22
1539751244,136,15
1539753148,18,26
1539755056,13,22
1539756992,10,25
1539758896,12,44
1539760809,35,22
1539762757,29,13
1539764660,19,14
1539766844,15,34
1539768763,16,9
1539770660,5,16
1539772602,17,13
