DateTime,Entries,UniqueIPs
1539099630,45,45
1539101548,44,44
1539103484,45,45
1539105387,42,42
1539107323,42,42
1539109234,45,45
1539114996,44,44
1539116911,45,45
1539118869,44,44
1539120740,43,43
1539122676,44,44
1539124588,43,43
1539126527,44,44
1539130362,39,39
1539132264,40,40
1539134182,42,42
1539136125,45,45
1539138022,45,45
1539139967,48,48
1539141861,48,48
1539143777,49,49
1539145716,49,49
1539147674,50,50
1539149563,48,48
1539151472,51,51
1539153404,48,48
1539161063,46,46
1539163013,49,49
1539164895,49,49
1539166845,50,50
1539168758,51,51
1539170665,52,52
1539172584,50,50
1539174525,51,51
1539178368,50,50
1539180508,50,50
1539182441,48,48
1539184785,48,48
1539186729,47,47
1539190575,46,46
1539192503,47,47
1539194479,45,45
1539196371,44,44
1539198264,45,45
1539200177,46,46
1539202122,45,45
1539204015,46,46
1539205961,47,47
1539207862,49,49
1539209781,48,48
1539211716,47,47
1539213624,48,48
1539215560,47,47
1539217475,46,46
1539219672,45,45
1539221580,44,44
1539223479,42,42
1539225404,38,38
1539227298,37,37
1539229239,35,35
1539231144,35,35
1539233056,31,31
1539237031,29,29
1539238832,29,29
1539242675,30,30
1539244578,31,31
1539248472,28,28
1539250362,27,27
1539252264,26,26
1539254173,25,25
1539256127,24,24
1539258019,24,24
1539260176,24,24
1539264040,26,26
1539266158,28,28
1539268090,30,30
1539270050,31,31
1539271932,29,29
1539273885,30,30
1539279615,30,30
1539281567,31,31
1539283457,29,29
1539285387,29,29
1539287318,31,31
1539289218,31,31
1539291152,30,30
1539293074,29,29
1539294971,28,28
1539296912,31,31
1539300760,30,30
1539304585,29,29
1539306522,28,28
1539308414,29,29
1539310358,30,30
1539312280,31,31
1539314181,33,33
1539316115,36,36
1539318015,35,35
1539319961,37,37
1539321881,38,38
1539323778,38,38
1539325712,37,37
1539327672,38,38
1539329558,37,37
1539331720,37,37
1539333634,39,39
1539335558,40,40
1539339401,41,41
1539343449,41,41
1539345386,43,43
1539347286,42,42
1539350197,43,43
1539352343,40,40
1539354253,38,38
1539356210,37,37
1539360269,37,37
1539362186,38,38
1539366015,38,38
1539367964,37,37
1539369860,40,40
1539371789,39,39
1539373696,40,40
1539375622,39,39
1539377533,40,40
1539383295,37,37
1539389301,38,38
1539393152,37,37
1539395063,35,35
1539396990,36,36
1539398897,36,36
1539400813,33,33
1539402740,30,30
1539404664,32,32
1539406598,31,31
1539408498,31,31
1539410481,30,30
1539414271,30,30
1539416199,31,31
1539418112,30,30
1539420015,28,28
1539421938,28,28
1539425797,27,27
1539427700,29,29
1539431569,26,26
1539435395,23,23
1539437298,23,23
1539444265,24,24
1539446199,28,28
1539448145,29,29
1539450067,28,28
1539451947,27,27
1539453878,29,29
1539455798,30,30
1539457703,31,31
1539459618,30,30
1539463462,28,28
1539467323,30,30
1539469222,31,31
1539473068,33,33
1539475009,32,32
1539479792,34,34
1539483617,34,34
1539485550,34,34
1539489402,34,34
1539491299,33,33
1539494203,34,34
1539496101,33,33
1539499955,32,32
1539501867,31,31
1539503923,32,32
1539507885,31,31
1539509779,34,34
1539511703,36,36
1539513625,35,35
1539515546,34,34
1539523225,34,34
1539527063,35,35
1539529503,34,34
1539531401,33,33
1539533347,30,30
1539535241,29,29
1539539086,29,29
1539541013,30,30
1539542918,27,27
1539544836,28,28
1539546758,29,29
1539548674,32,32
1539550594,33,33
1539552512,32,32
1539556419,32,32
1539558775,31,31
1539564521,31,31
1539566437,30,30
1539568389,31,31
1539570397,34,34
1539572203,33,33
1539576067,33,33
1539577959,33,33
1539579888,37,37
1539581779,36,36
1539583726,37,37
1539589478,36,36
1539591550,38,38
1539593563,42,42
1539595468,42,42
1539597386,42,42
1539599307,43,43
1539606990,44,44
1539608928,44,44
1539610818,46,46
1539612763,47,47
1539614661,46,46
1539616836,47,47
1539618753,49,49
1539620668,53,53
1539624517,55,55
1539627391,56,56
1539629563,56,56
1539631481,55,55
1539633374,55,55
1539635821,53,53
1539637978,54,54
1539639858,54,54
1539641810,55,55
1539643718,61,61
1539645637,60,60
1539647558,65,65
1539649473,67,67
1539651402,67,67
1539653316,69,69
1539655309,71,71
1539657160,71,71
1539659128,73,73
1539660994,77,77
1539662924,77,77
1539664870,75,75
1539666761,73,73
1539668663,74,74
1539670606,74,74
1539672518,75,75
1539676355,77,77
1539678278,74,74
1539680478,73,73
1539682349,73,73
1539684528,74,74
1539686409,75,75
1539688362,76,76
1539690259,77,77
1539692220,79,79
1539694118,81,81
1539696034,80,80
1539697947,82,82
1539699878,81,81
1539702068,83,83
1539703963,82,82
1539706054,79,79
1539708278,82,82
1539710188,80,80
1539712349,82,82
1539714262,87,87
1539716187,87,87
1539718098,87,87
1539720087,86,86
1539721954,89,89
1539724112,87,87
1539726036,87,87
1539727956,87,87
1539730105,83,83
