DateTime,Entries,UniqueIPs
1539217474,191,191
1539219665,191,191
1539221580,191,191
1539223479,187,187
1539225394,184,184
1539227298,181,181
1539229239,180,180
1539231144,182,182
1539233056,176,176
1539235004,179,179
1539237030,176,176
1539238831,172,172
1539240760,170,170
1539242675,171,171
1539244578,169,169
1539246515,168,168
1539248441,164,164
1539250362,163,163
1539252263,162,162
1539254173,155,155
1539256126,152,152
1539258019,151,151
1539260176,152,152
1539262101,153,153
1539264039,154,154
1539266158,155,155
1539268089,155,155
1539270037,155,155
1539271932,153,153
1539273884,152,152
1539275772,148,148
1539277713,142,142
1539279615,142,142
1539281567,140,140
1539283456,138,138
1539285386,136,136
1539287317,134,134
1539289217,133,133
1539291151,131,131
1539293074,132,132
1539294971,130,130
1539296912,133,133
1539298842,130,130
1539300760,127,127
1539302681,126,126
1539304585,123,123
1539306522,120,120
1539308414,116,116
1539310358,116,116
1539312279,116,116
1539314181,117,117
1539316115,116,116
1539318015,113,113
1539319961,112,112
1539321880,109,109
1539323778,107,107
1539325712,106,106
1539327663,105,105
1539329557,103,103
1539331720,104,104
1539333633,104,104
1539335558,106,106
1539337456,103,103
1539339400,101,101
1539341551,99,99
1539343449,99,99
1539345386,99,99
1539347286,95,95
1539350196,94,94
1539352342,91,91
1539354252,87,87
1539356210,87,87
1539358086,89,89
1539360268,87,87
1539362186,92,92
1539364102,94,94
1539366015,93,93
1539367964,93,93
1539369860,94,94
1539371788,92,92
1539373696,93,93
1539375622,93,93
1539377533,94,94
1539379464,93,93
1539381377,94,94
1539383294,88,88
1539385263,88,88
1539387388,89,89
1539389301,91,91
1539391215,89,89
1539393150,89,89
1539395062,89,89
1539396990,90,90
1539398897,91,91
1539400813,88,88
1539402740,86,86
1539404664,88,88
1539406597,87,87
1539408498,88,88
1539410471,86,86
1539412349,88,88
1539414270,89,89
1539416199,91,91
1539418112,91,91
1539420015,88,88
1539421937,87,87
1539423875,90,90
1539425796,88,88
1539427699,91,91
1539429618,93,93
1539431568,94,94
1539433472,92,92
1539435395,93,93
1539437297,93,93
1539440203,92,92
1539442120,93,93
1539444264,93,93
1539446198,96,96
1539448144,98,98
1539450061,93,93
1539451947,92,92
1539453873,96,96
1539455797,98,98
1539457703,99,99
1539459618,102,102
1539461550,103,103
1539463462,100,100
1539465395,99,99
1539467323,100,100
1539469222,103,103
1539471145,101,101
1539473067,106,106
1539475008,105,105
1539479791,106,106
1539481698,104,104
1539483617,105,105
1539485549,106,106
1539487464,106,106
1539489402,108,108
1539491298,108,108
1539495151,106,106
1539498986,106,106
1539500902,104,104
1539502822,105,105
1539504986,106,106
1539506901,106,106
