DateTime,AddedIPs,RemovedIPs
1539041560,2,3
1539043465,2,0
1539045398,0,1
1539047320,2,0
1539049235,4,1
1539051158,1,2
1539053054,0,1
1539055004,1,1
1539058837,0,1
1539062672,1,1
1539064573,1,0
1539068905,0,1
1539072769,0,1
1539074675,1,1
1539076584,1,0
1539078524,1,1
1539080440,5,1
1539082338,1,0
1539084283,2,2
1539088092,1,3
1539091006,3,1
1539093145,5,0
1539095074,1,2
1539096972,1,0
1539099159,6,0
1539101070,1,0
1539102972,3,0
1539104918,1,1
1539106815,3,0
1539108762,1,0
1539110676,0,1
1539112593,0,1
1539114508,1,0
1539116658,3,1
1539118569,1,1
1539122443,2,2
1539124590,0,1
1539126528,2,1
1539128443,0,1
1539130363,0,2
1539132266,0,1
1539134183,5,2
1539136127,1,3
1539138023,1,0
1539139969,0,1
1539141865,1,1
1539143779,4,0
1539149564,0,1
1539153405,0,2
1539157238,2,0
1539161064,3,1
1539163014,2,1
1539166846,0,3
1539168759,2,1
1539170666,2,4
1539172586,0,1
1539174526,0,5
1539178369,0,3
1539180511,3,2
1539182443,0,2
1539184787,1,3
1539186731,2,2
1539188686,1,1
1539190576,2,0
1539194486,3,3
1539196373,2,1
1539198266,1,0
1539200178,1,0
1539202123,1,1
1539204017,1,1
1539205963,2,0
1539211717,0,1
1539213626,4,1
1539215562,0,1
1539217476,3,0
1539219678,1,1
1539221582,1,1
1539223481,0,1
1539225405,1,0
1539229241,3,1
1539231146,0,1
1539233058,1,0
1539235006,0,1
1539237033,1,0
1539240762,1,0
1539242677,1,0
1539246517,1,0
1539248480,1,2
1539250364,1,2
1539252267,1,0
1539254180,1,1
1539258021,2,0
1539260177,2,0
1539262103,0,2
1539264041,1,0
1539266160,2,2
1539268091,1,1
1539270078,2,2
1539271933,0,3
1539273888,0,2
1539275773,1,2
1539277714,0,1
1539279617,1,1
1539281568,0,3
1539283458,1,1
1539285388,0,2
1539287319,1,1
1539289219,3,3
1539291154,4,2
1539293075,2,0
1539296914,3,1
1539298876,2,2
1539300761,2,2
1539302682,2,2
1539304586,2,5
1539306524,1,4
1539308416,2,2
1539310359,1,0
1539312281,1,2
1539314183,0,1
1539316117,0,1
1539318027,4,1
1539319963,0,1
1539323780,0,1
1539325714,0,1
1539327676,0,2
1539329559,0,2
1539331722,1,1
1539337458,0,1
1539341553,1,0
1539343451,1,0
1539345388,1,0
1539347288,1,1
1539349310,2,0
1539351392,1,3
1539353432,3,0
1539355484,1,1
1539357395,0,1
1539359303,1,1
1539361240,2,2
1539363151,0,1
1539365062,1,3
1539368907,1,1
1539370879,1,1
1539372750,1,0
1539374708,2,3
1539376582,1,2
1539378523,3,4
1539380425,3,1
1539382353,2,2
1539384796,1,1
1539386935,0,5
1539392663,1,0
1539394602,1,2
1539396560,0,3
1539400337,2,0
1539404189,0,1
1539406096,0,1
1539408036,1,1
1539411890,1,0
1539413798,1,2
1539415691,0,1
1539417691,0,1
1539419570,1,1
1539421469,0,1
1539423373,5,2
1539425325,1,0
1539427242,1,0
1539429145,1,0
1539431080,0,1
1539433012,2,1
1539434896,0,3
1539436829,1,1
1539440778,2,1
1539442582,2,1
1539444763,2,1
1539446671,3,1
1539448605,1,1
1539452438,0,1
1539454359,2,1
1539456272,0,2
1539458204,2,1
1539460124,2,3
1539462014,1,1
1539463965,2,4
1539465876,0,1
1539467779,3,3
1539471675,1,0
1539475467,3,1
1539477400,1,2
1539479340,1,2
1539481235,0,1
1539483143,2,1
1539485076,1,1
1539487040,0,1
1539488896,0,1
1539492739,3,0
1539496615,1,0
1539498522,1,1
1539503301,0,2
1539505477,0,1
1539507371,0,1
1539509310,1,2
1539511304,1,1
1539513160,1,0
1539515083,0,1
1539516978,0,1
1539518926,0,1
1539520824,2,0
1539522763,0,1
1539524675,1,1
1539526603,4,1
1539528533,3,1
1539530416,4,2
1539534279,0,3
1539536171,2,2
1539538113,1,0
1539540071,2,2
1539541955,2,1
1539543881,3,1
1539545799,1,1
1539547720,0,2
1539549635,1,1
1539551556,2,1
1539553476,3,1
1539555401,2,2
1539559268,1,0
1539561197,0,1
1539563069,2,1
1539565002,2,0
1539570753,0,2
1539572689,4,1
1539574576,1,1
1539576501,1,0
1539578427,0,2
1539580348,0,1
1539582279,0,2
1539584191,0,1
1539586102,1,0
1539588016,1,0
1539589944,0,1
1539592113,0,2
1539594038,0,1
1539595954,0,2
1539597913,1,1
1539599789,1,2
1539605551,0,1
1539607479,2,2
1539609391,1,0
1539613214,0,3
1539615239,0,3
1539617065,2,2
1539619259,1,0
1539621157,1,2
1539623069,3,1
1539624987,0,3
1539626921,4,2
1539629062,2,0
1539630989,1,2
1539634853,0,1
1539636998,1,2
1539640858,2,2
1539642761,2,0
1539644682,2,0
1539650481,0,2
1539652361,0,1
1539654273,2,2
1539658092,3,1
1539661953,1,3
1539663872,0,2
1539667695,1,0
1539669665,0,2
1539673476,1,1
1539675397,0,1
1539679231,1,0
1539683086,1,0
1539684986,2,2
1539686916,1,1
1539688825,2,0
1539690738,3,0
1539692682,0,1
1539694592,0,1
1539696503,1,1
1539698459,1,0
1539700345,3,0
1539702386,2,1
1539704422,2,2
1539706637,0,1
1539708752,1,2
1539710669,2,1
1539712857,1,0
1539714737,0,2
1539716699,1,4
1539718587,1,0
1539720517,0,1
1539722428,3,0
1539724605,1,2
1539726495,2,0
1539728414,1,1
1539730595,1,2
1539732495,1,1
1539734431,0,1
1539736342,2,0
1539738285,2,2
1539744018,1,1
1539745947,2,1
1539749804,0,1
1539753613,0,1
1539757494,1,0
1539759376,0,1
1539764207,5,0
1539766345,0,1
1539768261,1,0
1539770213,0,1
1539772096,0,2
1539774057,0,1
1539775947,0,1
1539779793,1,1
1539781722,1,1
1539785549,1,1
1539787470,0,2
1539789511,1,0
1539791561,0,1
1539793467,3,0
1539795393,2,2
1539797306,1,0
1539800197,5,2
1539802098,3,1
1539805946,1,0
1539807858,3,11
1539810994,1,2
1539812897,1,3
1539814835,2,2
1539818675,1,3
1539820592,1,1
1539822513,2,2
1539824452,1,2
1539826360,1,0
1539828263,4,0
1539830188,0,1
1539832106,2,1
1539834264,1,1
1539838102,1,0
1539843860,0,2
1539845798,2,0
1539849886,0,5
1539851786,1,0
1539853707,1,1
1539855633,0,1
1539861396,1,1
1539863301,1,0
1539865238,0,2
1539867151,1,0
1539869064,1,0
1539870992,1,1
1539872904,0,1
1539876847,2,2
1539878682,1,0
1539880573,2,2
1539882770,1,2
1539884657,1,0
1539886613,0,2
1539888527,2,2
1539890443,1,1
1539894281,0,1
1539900054,1,3
1539901973,2,0
1539906060,1,0
1539908193,2,1
1539910132,1,2
1539912023,2,0
1539913956,1,2
1539915865,2,3
1539917821,1,0
1539919700,0,2
1539921713,1,0
1539923547,1,0
1539925510,0,1
1539927400,0,1
1539931224,0,1
1539933149,1,0
1539935064,0,1
1539936997,0,1
1539938903,0,1
1539944683,1,0
1539946578,0,1
1539948776,2,0
1539950927,0,1
1539952833,1,0
1539954760,1,3
1539958608,0,1
1539960505,2,1
1539962441,0,1
1539964623,1,1
1539966745,1,0
1539968669,2,3
1539970600,1,0
1539972537,2,0
1539974441,2,3
1539976370,2,1
1539980202,1,0
1539982128,1,0
1539984054,3,0
1539985966,1,2
1539987881,2,3
1539989776,2,1
1539991718,2,4
1539993671,1,0
1539995569,1,0
1539997486,14,2
1540001328,0,1
1540005175,2,1
1540007062,1,0
1540009223,1,2
1540011136,0,4
1540013066,1,0
1540014996,0,1
1540019088,1,0
1540020984,2,0
1540022914,1,1
1540024846,0,2
1540026772,1,0
1540028667,2,0
1540030601,0,1
1540032504,0,1
1540034426,1,2
1540036349,1,1
1540038275,1,0
1540040196,1,2
1540044079,1,0
1540045955,0,2
1540047881,1,2
1540049802,1,0
1540051764,0,2
1540053633,0,1
1540055556,1,1
1540057477,1,1
1540059394,1,0
1540061311,0,1
1540063225,0,1
1540065173,1,0
1540068991,1,1
1540070909,1,1
1540072921,1,0
1540074751,2,2
1540076713,2,1
1540078596,1,0
1540080524,1,0
1540082450,1,4
1540084354,2,14
1540086270,4,0
1540090106,1,0
