DateTime,Entries,UniqueIPs
1539041560,64,64
1539043465,66,66
1539045398,65,65
1539047320,67,67
1539049235,70,70
1539051158,69,69
1539053054,68,68
1539055004,68,68
1539058837,67,67
1539062672,67,67
1539064573,68,68
1539068905,67,67
1539072769,66,66
1539074675,66,66
1539076584,67,67
1539078524,67,67
1539080440,71,71
1539082338,72,72
1539084283,72,72
1539088092,70,70
1539091006,72,72
1539093145,77,77
1539095074,76,76
1539096972,77,77
1539099159,83,83
1539101070,84,84
1539102972,87,87
1539104918,87,87
1539106815,90,90
1539108762,91,91
1539110676,90,90
1539112593,89,89
1539114508,90,90
1539116658,92,92
1539118569,92,92
1539122443,92,92
1539124590,91,91
1539126528,92,92
1539128443,91,91
1539130363,89,89
1539132266,88,88
1539134183,91,91
1539136127,89,89
1539138023,90,90
1539139969,89,89
1539141865,89,89
1539143779,93,93
1539149564,92,92
1539153405,90,90
1539157238,92,92
1539161064,94,94
1539163014,95,95
1539166846,92,92
1539168759,93,93
1539170666,91,91
1539172586,90,90
1539174526,85,85
1539178369,82,82
1539180511,83,83
1539182443,81,81
1539184787,79,79
1539186731,79,79
1539188686,79,79
1539190576,81,81
1539194486,81,81
1539196373,82,82
1539198266,83,83
1539200178,84,84
1539202123,84,84
1539204017,84,84
1539205963,86,86
1539211717,85,85
1539213626,88,88
1539215562,87,87
1539217476,90,90
1539219678,90,90
1539221582,90,90
1539223481,89,89
1539225405,90,90
1539229241,92,92
1539231146,91,91
1539233058,92,92
1539235006,91,91
1539237033,92,92
1539240762,93,93
1539242677,94,94
1539246517,95,95
1539248480,94,94
1539250364,93,93
1539252267,94,94
1539254180,94,94
1539258021,96,96
1539260177,98,98
1539262103,96,96
1539264041,97,97
1539266160,97,97
1539268091,97,97
1539270078,97,97
1539271933,94,94
1539273888,92,92
1539275773,91,91
1539277714,90,90
1539279617,90,90
1539281568,87,87
1539283458,87,87
1539285388,85,85
1539287319,85,85
1539289219,85,85
1539291154,87,87
1539293075,89,89
1539296914,91,91
1539298876,91,91
1539300761,91,91
1539302682,91,91
1539304586,88,88
1539306524,85,85
1539308416,85,85
1539310359,86,86
1539312281,85,85
1539314183,84,84
1539316117,83,83
1539318027,86,86
1539319963,85,85
1539323780,84,84
1539325714,83,83
1539327676,81,81
1539329559,79,79
1539331722,79,79
1539337458,78,78
1539341553,79,79
1539343451,80,80
1539345388,81,81
1539347288,81,81
1539349310,83,83
1539351392,81,81
1539353432,84,84
1539355484,84,84
1539357395,83,83
1539359303,83,83
1539361240,83,83
1539363151,82,82
1539365062,80,80
1539368907,80,80
1539370879,80,80
1539372750,81,81
1539374708,80,80
1539376582,79,79
1539378523,78,78
1539380425,80,80
1539382353,80,80
1539384796,80,80
1539386935,75,75
1539392663,76,76
1539394602,75,75
1539396560,72,72
1539400337,74,74
1539404189,73,73
1539406096,72,72
1539408036,72,72
1539411890,73,73
1539413798,72,72
1539415691,71,71
1539417691,70,70
1539419570,70,70
1539421469,69,69
1539423373,72,72
1539425325,73,73
1539427242,74,74
1539429145,75,75
1539431080,74,74
1539433012,75,75
1539434896,72,72
1539436829,72,72
1539440778,73,73
1539442582,74,74
1539444763,75,75
1539446671,77,77
1539448605,77,77
1539452438,76,76
1539454359,77,77
1539456272,75,75
1539458204,76,76
1539460124,75,75
1539462014,75,75
1539463965,73,73
1539465876,72,72
1539467779,72,72
1539471675,73,73
1539475467,75,75
1539477400,74,74
1539479340,73,73
1539481235,72,72
1539483143,73,73
1539485076,73,73
1539487040,72,72
1539488896,71,71
1539492739,74,74
1539496615,75,75
1539498522,75,75
1539503301,73,73
1539505477,72,72
1539507371,71,71
1539509310,70,70
1539511304,70,70
1539513160,71,71
1539515083,70,70
1539516978,69,69
1539518926,68,68
1539520824,70,70
1539522763,69,69
1539524675,69,69
1539526603,72,72
1539528533,74,74
1539530416,76,76
1539534279,73,73
1539536171,73,73
1539538113,74,74
1539540071,74,74
1539541955,75,75
1539543881,77,77
1539545799,77,77
1539547720,75,75
1539549635,75,75
1539551556,76,76
1539553476,78,78
1539555401,78,78
1539559268,79,79
1539561197,78,78
1539563069,79,79
1539565002,81,81
1539570753,79,79
1539572689,82,82
1539574576,82,82
1539576501,83,83
1539578427,81,81
1539580348,80,80
1539582279,78,78
1539584191,77,77
1539586102,78,78
1539588016,79,79
1539589944,78,78
1539592113,76,76
1539594038,75,75
1539595954,73,73
1539597913,73,73
1539599789,72,72
1539605551,71,71
1539607479,71,71
1539609391,72,72
1539613214,69,69
1539615239,66,66
1539617065,66,66
1539619259,67,67
1539621157,66,66
1539623069,68,68
1539624987,65,65
1539626921,67,67
1539629062,69,69
1539630989,68,68
1539634853,67,67
1539636998,66,66
1539640858,66,66
1539642761,68,68
1539644682,70,70
1539650481,68,68
1539652361,67,67
1539654273,67,67
1539658092,69,69
1539661953,67,67
1539663872,65,65
1539667695,66,66
1539669665,64,64
1539673476,64,64
1539675397,63,63
1539679231,64,64
1539683086,65,65
1539684986,65,65
1539686916,65,65
1539688825,67,67
1539690738,70,70
1539692682,69,69
1539694592,68,68
1539696503,68,68
1539698459,69,69
1539700345,72,72
1539702386,73,73
1539704422,73,73
1539706637,72,72
1539708752,71,71
1539710669,72,72
1539712857,73,73
1539714737,71,71
1539716699,68,68
1539718587,69,69
1539720517,68,68
1539722428,71,71
1539724605,70,70
1539726495,72,72
1539728414,72,72
1539730595,71,71
1539732495,71,71
1539734431,70,70
1539736342,72,72
1539738285,72,72
1539744018,72,72
1539745947,73,73
1539749804,72,72
1539753613,71,71
1539757494,72,72
1539759376,71,71
1539764207,76,76
1539766345,75,75
1539768261,76,76
1539770213,75,75
1539772096,73,73
1539774057,72,72
1539775947,71,71
1539779793,71,71
1539781722,71,71
1539785549,71,71
1539787470,69,69
1539789511,70,70
1539791561,69,69
1539793467,72,72
1539795393,72,72
1539797306,73,73
1539800197,76,76
1539802098,78,78
1539805946,79,79
1539807858,71,71
1539810994,70,70
1539812897,68,68
1539814835,68,68
1539818675,66,66
1539820592,66,66
1539822513,66,66
1539824452,65,65
1539826360,66,66
1539828263,70,70
1539830188,69,69
1539832106,70,70
1539834264,70,70
1539838102,71,71
1539843860,69,69
1539845798,71,71
1539849886,66,66
1539851786,67,67
1539853707,67,67
1539855633,66,66
1539861396,66,66
1539863301,67,67
1539865238,65,65
1539867151,66,66
1539869064,67,67
1539870992,67,67
1539872904,66,66
1539876847,66,66
1539878682,67,67
1539880573,67,67
1539882770,66,66
1539884657,67,67
1539886613,65,65
1539888527,65,65
1539890443,65,65
1539894281,64,64
1539900054,62,62
1539901973,64,64
1539906060,65,65
1539908193,66,66
1539910132,65,65
1539912023,67,67
1539913956,66,66
1539915865,65,65
1539917821,66,66
1539919700,64,64
1539921713,65,65
1539923547,66,66
1539925510,65,65
1539927400,64,64
1539931224,63,63
1539933149,64,64
1539935064,63,63
1539936997,62,62
