DateTime,Entries,UniqueIPs
1539233058,1370,1370
1539235007,1373,1373
1539237033,1378,1378
1539238834,1378,1378
1539240762,1376,1376
1539242677,1374,1374
1539244580,1775,1775
1539246517,1777,1777
1539248481,1774,1774
1539250364,1773,1773
1539252267,1673,1673
1539254180,1672,1672
1539256129,1675,1675
1539258021,1676,1676
1539260178,1683,1683
1539262104,1682,1682
1539264042,1753,1753
1539266160,1752,1752
1539268092,1671,1671
1539270079,1665,1665
1539271934,1582,1582
1539273888,1584,1584
1539275774,1584,1584
1539277715,1586,1586
1539279617,1592,1592
1539281569,1593,1593
1539283458,1591,1591
1539285388,1598,1598
1539287319,1593,1593
1539289219,1589,1589
1539291155,1592,1592
1539293076,1539,1539
1539294972,1537,1537
1539296914,1455,1455
1539298878,2460,2460
1539300762,2461,2461
1539302682,2463,2463
1539304587,2467,2467
1539306524,2469,2469
1539308416,2469,2469
1539310360,2457,2457
1539312281,2341,2341
1539314183,2343,2343
1539316117,2343,2343
1539318027,2343,2343
1539319964,2339,2339
1539321883,2333,2333
1539323780,2332,2332
1539325714,2332,2332
1539327677,2334,2334
1539329560,2330,2330
1539331722,1931,1931
1539333645,1931,1931
1539335560,1932,1932
1539337458,1931,1931
1539339403,1759,1759
1539341553,1756,1756
1539343451,1759,1759
1539345388,1756,1756
1539347288,1747,1747
1539349320,1870,1870
1539351392,1872,1872
1539353432,1872,1872
1539355485,1942,1942
1539357396,1939,1939
1539359304,1939,1939
1539361241,1938,1938
1539363151,1938,1938
1539365062,1934,1934
1539367000,1935,1935
1539368908,1932,1932
1539370880,1927,1927
1539372751,1922,1922
1539374709,1919,1919
1539376582,1915,1915
1539378523,1914,1914
1539380426,1913,1913
1539382354,1915,1915
1539384797,1762,1762
1539386936,904,904
1539388831,899,899
1539390781,897,897
1539392663,1039,1039
1539394602,1040,1040
1539396561,1040,1040
1539398437,1038,1038
1539400338,1030,1030
1539402278,1030,1030
1539404190,1030,1030
1539406096,1027,1027
1539408036,1028,1028
1539409971,1032,1032
1539411891,1033,1033
1539413799,1092,1092
1539415692,1146,1146
1539417696,1145,1145
1539419570,1144,1144
1539421469,1143,1143
1539423373,1141,1141
1539425325,1140,1140
1539427242,1138,1138
1539429146,1138,1138
1539431080,1162,1162
1539433012,1161,1161
1539434896,1164,1164
1539436830,1169,1169
1539438761,885,885
1539440778,888,888
1539442582,798,798
1539444763,796,796
1539446672,796,796
1539448605,793,793
1539450523,794,794
1539452439,791,791
1539454360,795,795
1539456272,1960,1960
1539458204,1967,1967
1539460124,1968,1968
1539462015,1969,1969
1539463965,1970,1970
1539465876,1964,1964
1539467779,2025,2025
1539469718,2011,2011
1539471683,2008,2008
1539473564,2011,2011
1539475467,2012,2012
1539477400,2013,2013
1539479340,1866,1866
1539481235,1864,1864
1539483144,1864,1864
1539485077,1865,1865
1539487040,1867,1867
1539488896,1865,1865
1539490835,1866,1866
1539492739,1917,1917
1539494678,1917,1917
1539496615,1915,1915
1539498523,1919,1919
1539500453,1860,1860
1539502363,1886,1886
1539504528,1989,1989
1539506442,1990,1990
1539508341,1991,1991
1539510282,1990,1990
1539512214,1990,1990
1539514120,1958,1958
1539516041,1955,1955
1539517964,2007,2007
1539519885,2008,2008
1539521795,2008,2008
1539523712,2080,2080
1539525661,2081,2081
1539527569,2295,2295
1539529514,3154,3154
1539531402,3618,3618
1539533348,4130,4130
1539535241,4131,4131
1539537140,4133,4133
1539539087,4162,4162
1539541014,4159,4159
1539542919,3018,3018
1539544836,3013,3013
1539546759,3013,3013
1539548676,3012,3012
1539550595,3011,3011
1539552513,2960,2960
1539554468,2958,2958
1539556421,3160,3160
1539558776,3282,3282
1539560684,3283,3283
1539562607,3280,3280
1539564522,3280,3280
1539566438,3279,3279
1539568390,3273,3273
1539570398,3273,3273
1539572204,3273,3273
1539574113,3272,3272
1539576089,3272,3272
1539577960,3365,3365
1539579890,3366,3366
1539581780,3381,3381
1539583727,3382,3382
1539585633,3345,3345
1539587547,3346,3346
1539589479,3347,3347
1539591551,3248,3248
1539593564,3244,3244
1539595469,3243,3243
1539599308,3259,3259
1539601284,3258,3258
1539603154,3259,3259
1539605119,3184,3184
1539606991,4148,4148
1539608929,5290,5290
1539610819,5214,5214
1539612764,5215,5215
1539614662,4484,4484
1539616837,4041,4041
1539618754,3411,3411
1539620669,3218,3218
1539622616,3268,3268
1539624518,3270,3270
1539626465,3324,3324
1539628598,3327,3327
1539630525,3328,3328
1539632436,3328,3328
1539634346,3331,3331
1539636298,3332,3332
1539638180,3331,3331
1539640110,3332,3332
1539642264,3329,3329
1539644211,3331,3331
1539646101,3328,3328
1539648026,3334,3334
1539649960,3335,3335
1539651869,3335,3335
1539653792,3337,3337
1539655711,4323,4323
1539657621,4320,4320
1539659568,4348,4348
1539661473,4349,4349
1539663401,4347,4347
1539665300,4184,4184
1539667223,4184,4184
1539669142,4177,4177
1539671088,4178,4178
1539672984,4144,4144
1539674904,4185,4185
1539676850,4189,4189
1539678876,4193,4193
1539680679,4198,4198
1539682574,4202,4202
1539684529,4210,4210
1539686410,4199,4199
1539688363,4212,4212
1539690261,4214,4214
1539692221,4220,4220
1539694120,5132,5132
1539696035,5221,5221
1539697949,4076,4076
1539699879,3154,3154
1539702089,3152,3152
1539703965,3155,3155
1539706056,3157,3157
1539708279,3426,3426
1539710190,3389,3389
1539712350,3294,3294
1539714264,3296,3296
1539716189,3299,3299
1539718099,3302,3302
1539720107,3307,3307
1539721965,3306,3306
1539724114,3331,3331
1539726038,3369,3369
1539727957,3372,3372
1539730112,3091,3091
