DateTime,AddedIPs,RemovedIPs
1539235010,24,14
1539237037,21,18
1539238837,16,27
1539240766,20,20
1539242684,15,11
1539244583,16,9
1539246521,26,10
1539248486,13,11
1539250367,18,11
1539252271,16,13
1539254186,19,13
1539256132,21,9
1539258025,28,13
1539260181,13,7
1539262107,71,10
1539264045,27,8
1539266163,31,9
1539268096,29,5
1539270087,16,6
1539271937,8,9
1539273892,24,10
1539275777,12,7
1539277719,13,11
1539279621,12,12
1539281572,13,12
1539283462,17,15
1539285392,11,19
1539287322,11,17
1539289222,10,6
1539291158,15,10
1539293080,15,12
1539294975,12,14
1539296918,20,24
1539298901,14,27
1539300765,10,22
1539302686,11,19
1539304590,9,27
1539306528,9,44
1539308420,11,29
1539310363,14,30
1539312284,10,34
1539314192,16,28
1539316120,16,15
1539318045,9,14
1539319968,13,12
1539321886,10,23
1539323783,15,19
1539325717,9,137
1539327684,16,19
1539329563,15,13
1539331726,12,19
1539333651,26,24
1539335563,16,17
1539337462,7,15
1539339406,18,16
1539341556,10,24
1539343454,17,32
1539345392,18,19
1539347292,13,16
1539349334,13,19
1539351412,17,34
1539353436,13,41
1539355488,9,18
1539357399,9,15
1539359308,13,68
1539361245,11,17
1539363154,17,10
1539365068,16,12
1539367004,10,11
1539368911,14,13
1539370886,12,19
1539372754,9,6
1539374715,15,16
1539376586,21,13
1539378527,13,17
1539380432,8,10
1539382357,11,16
1539384801,14,18
1539386939,25,15
1539388838,22,10
1539390785,17,11
1539392667,28,10
1539394605,29,11
1539396564,19,17
1539398450,11,11
1539400342,10,15
1539402281,16,18
1539404193,24,9
1539406100,9,12
1539408040,14,11
1539409974,14,12
1539411905,22,12
1539413802,8,16
1539415695,11,14
1539417702,23,12
1539419573,6,31
1539421472,12,14
1539423376,20,8
1539425329,20,15
1539427246,7,13
1539429150,17,5
1539431084,11,26
1539433015,19,11
1539434904,40,8
1539436837,49,12
1539438765,40,10
1539440782,27,12
1539442585,25,9
1539444767,49,10
1539446678,30,11
1539448609,34,14
1539450536,32,14
1539452442,25,11
1539454363,25,12
1539456276,37,11
1539458208,35,12
1539460127,19,8
1539462027,19,17
1539463968,12,20
1539465880,19,11
1539467782,17,11
1539469721,15,7
1539471696,14,9
1539473579,9,21
1539475471,12,16
1539477413,19,16
1539479343,24,26
1539481241,21,22
1539483153,25,14
1539485080,14,11
1539487044,21,9
1539488899,16,8
1539490839,20,19
1539492745,27,10
1539494682,36,10
1539496618,32,13
1539498526,18,15
1539500493,12,9
1539502366,17,11
1539504532,12,16
1539506448,13,8
1539508344,17,8
1539510285,14,19
1539512217,14,17
1539514123,17,8
1539516045,17,13
1539517968,23,12
1539519891,23,28
1539521799,12,35
1539523715,16,39
1539525697,20,37
1539527572,21,29
1539529525,26,37
1539531406,20,40
1539533351,16,31
1539535246,20,29
1539537149,19,33
1539539091,9,24
1539541017,19,25
1539542922,7,30
1539544839,16,31
1539546762,8,26
1539548680,10,23
1539550599,8,13
1539552516,8,13
1539554528,4,17
1539556424,2,15
1539558789,5,15
1539560690,4,8
1539562610,3,14
1539564525,3,24
1539566441,7,25
1539568393,3,30
1539570401,7,29
1539572210,8,23
1539574117,9,13
1539576098,7,13
1539577966,9,21
1539579895,6,38
1539581784,7,44
1539583730,5,23
1539585636,4,19
1539587551,4,17
1539589483,8,18
1539591555,14,15
1539593568,10,15
1539595473,128,21
1539597390,9,15
1539599312,6,19
1539601293,10,21
1539603158,7,18
1539605129,6,27
1539606994,8,25
1539608933,9,20
1539610822,6,18
1539612768,6,22
1539614666,8,29
1539616842,11,27
1539618758,11,22
1539620674,9,11
1539622620,8,11
1539624521,18,6
1539626483,12,12
1539628602,17,10
1539630529,17,9
1539632440,20,7
1539634349,14,3
1539636302,7,4
1539638183,7,8
1539640114,11,3
1539642267,9,8
1539644214,12,2
1539646104,12,6
1539648031,12,6
1539649963,17,4
1539651873,29,5
1539653797,28,5
1539655714,38,5
1539657624,29,5
1539659571,36,7
1539661477,25,3
1539663404,24,6
1539665304,23,9
1539667227,22,6
1539669146,25,2
1539671092,22,4
1539672988,22,4
1539674907,9,7
1539676896,6,11
1539678879,7,14
1539680682,19,130
1539682577,8,8
1539684533,10,7
1539686414,13,4
1539688367,10,11
1539690265,7,4
1539692225,10,6
1539694123,12,5
1539696039,9,8
1539697953,11,9
1539699883,5,11
1539702094,6,12
1539703968,9,63
1539706061,8,8
1539708283,11,11
