DateTime,Entries,UniqueIPs
1539235010,4630,4630
1539237038,4632,4632
1539238838,4647,4647
1539240766,4667,4667
1539242691,4673,4673
1539244584,4690,4690
1539246521,4606,4606
1539248488,4535,4535
1539250368,4356,4356
1539252272,4287,4287
1539254202,4223,4223
1539256133,4148,4148
1539258026,4066,4066
1539260182,4013,4013
1539262108,3917,3917
1539264045,3885,3885
1539266164,3775,3775
1539268096,3736,3736
1539270095,3680,3680
1539271937,3633,3633
1539273893,3560,3560
1539275777,3485,3485
1539277719,3425,3425
1539279622,3397,3397
1539281573,3412,3412
1539283462,3388,3388
1539285392,3385,3385
1539287323,3388,3388
1539289223,3391,3391
1539291159,3379,3379
1539293080,3332,3332
1539294976,3301,3301
1539296919,3263,3263
1539298909,3236,3236
1539300766,3207,3207
1539302687,3204,3204
1539304590,3152,3152
1539306529,3132,3132
1539308420,3102,3102
1539310363,3122,3122
1539312285,3120,3120
1539314193,3122,3122
1539316121,3115,3115
1539318045,3122,3122
1539319968,3137,3137
1539321893,3144,3144
1539323784,3153,3153
1539325718,3149,3149
1539327684,3145,3145
1539329564,3138,3138
1539331726,3121,3121
1539333658,3117,3117
1539335564,3092,3092
1539337463,3110,3110
1539339406,3180,3180
1539341557,3263,3263
1539343455,3326,3326
1539345392,3388,3388
1539347293,3459,3459
1539349335,3530,3530
1539351413,3597,3597
1539353437,3680,3680
1539355489,3726,3726
1539357400,3808,3808
1539359308,3879,3879
1539361246,3960,3960
1539363155,4021,4021
1539365075,4062,4062
1539367004,4101,4101
1539368912,4136,4136
1539370887,4192,4192
1539372754,4277,4277
1539374715,4546,4546
1539376587,4611,4611
1539378527,4683,4683
1539380439,4734,4734
1539382357,4780,4780
1539384801,4849,4849
1539386939,4918,4918
1539388840,4953,4953
1539390785,4980,4980
1539392668,5017,5017
1539394606,5070,5070
1539396564,5124,5124
1539398450,5178,5178
1539400343,5226,5226
1539402282,5278,5278
1539404193,5309,5309
1539406100,5355,5355
1539408041,5396,5396
1539409975,5440,5440
1539411906,5474,5474
1539413802,5518,5518
1539415696,5526,5526
1539417703,5511,5511
1539419574,5422,5422
1539421473,5432,5432
1539423377,5401,5401
1539425330,5350,5350
1539427247,5308,5308
1539429150,5274,5274
1539431084,5230,5230
1539433016,5197,5197
1539434905,5168,5168
1539436843,5135,5135
1539438765,5099,5099
1539440782,5049,5049
1539442586,4998,4998
1539444768,4947,4947
1539446685,4933,4933
1539448609,4887,4887
1539450537,4920,4920
1539452442,4883,4883
1539454363,4854,4854
1539456277,4811,4811
1539458208,4786,4786
1539460128,4490,4490
1539462028,4473,4473
1539463969,4439,4439
1539465880,4399,4399
1539467783,4372,4372
1539469721,4367,4367
1539471705,4357,4357
1539473580,4326,4326
1539475472,4285,4285
1539477421,4290,4290
1539479344,4260,4260
1539481247,4224,4224
1539483154,4159,4159
1539485081,4142,4142
1539487044,4143,4143
