DateTime,AddedIPs,RemovedIPs
1539219684,3,6
1539221591,3,5
1539223488,3,4
1539225410,5,8
1539227307,2,3
1539229246,5,16
1539231151,4,4
1539233063,3,3
1539235012,2,7
1539237039,2,4
1539238840,3,2
1539240768,3,2
1539242692,4,4
1539244585,2,6
1539246523,6,10
1539248494,7,1
1539250369,4,4
1539252273,1,3
1539254203,3,2
1539256134,10,2
1539258030,4,4
1539260183,2,2
1539262109,2,1
1539264047,1,2
1539266165,5,7
1539268098,4,0
1539270100,3,4
1539271939,6,4
1539273895,1,1
1539275779,2,3
1539277720,5,3
1539279627,3,2
1539281574,8,2
1539283464,8,2
1539285394,4,0
1539287324,22,3
1539289224,11,3
1539291160,7,0
1539293082,5,1
1539294977,2,3
1539296921,1,2
1539298911,6,2
1539300767,3,20
1539302689,35,2
1539304592,14,7
1539306531,4,1
1539308422,6,1
1539310365,1,2
1539312286,0,2
1539314194,4,1
1539316122,0,4
1539318047,1,3
1539319970,2,1
1539321894,2,2
1539323785,4,1
1539325719,2,5
1539327690,6,0
1539329566,3,1
1539331737,2,2
1539333660,3,4
1539335565,1,4
1539337465,1,2
1539339408,0,3
1539341558,6,4
1539343456,0,6
1539345394,3,4
1539347295,2,0
1539349342,4,2
1539351414,8,2
1539353439,9,1
1539355490,9,4
1539357401,2,3
1539359310,5,1
1539361248,5,1
1539363165,6,2
1539365078,3,2
1539367006,3,5
1539368913,3,11
1539370903,2,5
1539372756,19,18
1539374717,205,10
1539376592,7,6
1539378529,6,6
1539380440,3,7
1539382359,3,1
1539384803,5,5
1539386941,7,4
1539388844,24,28
1539390787,1,16
1539392670,3,5
1539394607,1,5
1539396566,7,1
1539398452,3,1
1539400351,1,2
1539402283,1,0
1539404195,3,2
1539406102,1,4
1539408046,1,1
1539409976,3,1
1539411908,11,4
1539413813,0,4
1539415697,12,5
1539417705,0,2
1539419576,0,2
1539421474,2,1
1539423378,13,1
1539425331,6,1
1539427252,0,2
1539429152,5,1
1539431086,2,4
1539433018,2,1
1539434906,1,2
1539436848,5,2
1539438767,26,15
1539440784,7,3
1539442587,3,2
1539444770,3,4
1539446689,31,2
1539448611,3,10
1539450538,26,2
1539452444,2,1
1539454365,1,2
1539456278,12,3
1539458210,21,1
1539460133,7,227
1539462029,17,5
1539463970,39,5
1539465901,1,5
1539467784,2,5
1539469723,2,4
1539471707,27,1
1539473589,3,12
1539475475,14,23
1539477423,7,1
1539479345,2,3
1539481249,3,1
1539483156,4,9
1539485082,4,6
1539487046,12,2
1539488902,3,3
1539490845,1,4
1539492753,4,1
1539494684,3,1
1539496620,4,4
1539498529,13,12
1539500508,0,4
1539502368,3,11
1539504534,4,1
1539506451,1,3
1539508346,4,2
1539510288,1433,1
1539512220,1764,11
1539514125,501,0
1539516062,4,2
1539517970,3,1
1539519900,5,3
1539521802,4,1
1539523718,2,7
1539525700,11,9
1539527575,4,5
1539529528,3,3
1539531408,13,1
1539533354,3,3
1539535249,8,2
1539537152,6,1
1539539094,2,2
1539541020,4,1
1539542924,7,13
1539544842,4,2
1539546765,5,8
1539548683,37,21
1539550601,5,6
1539552519,3,2
1539554532,8,2
1539556427,0,2
1539558792,1,6
1539560712,1,4
1539562613,0,9
1539564528,32,4
1539566444,0,2
1539568395,10,2
1539570403,1,4
1539572218,2,3
1539574119,0,11
1539577969,22,2
1539579897,15,3
1539581786,5,6
1539583733,1,1
1539585648,1,12
1539587553,9,0
1539589485,5,4
1539591558,1,1
1539593570,1,2
1539595475,3,5
1539597392,1,1310
1539599314,1,2592
1539601303,4,10
1539603160,2,3
1539605135,2,7
1539606996,4,6
1539608935,3,6
1539610825,5,4
1539612770,14,13
1539614668,3,4
1539616844,4,5
1539618760,13,13
1539620676,8,9
1539622622,4,5
1539624523,3,8
1539626486,5,5
1539628604,14,5
1539630531,27,4
1539632442,14,3
1539634351,12,36
1539636304,3,13
1539638186,4,1
1539640116,9,2
1539642269,13,7
1539644217,5,3
1539646107,3,1
1539648034,0,2
1539649965,5,31
1539651876,0,2
1539653800,2,9
1539655716,2,3
1539657627,1,1
1539659574,1,1
1539661479,4,0
1539663406,0,3
1539665307,3,27
1539667229,7,16
1539669148,6,2
1539671094,3,2
1539672990,2,3
1539674909,6,12
1539676898,3,2
1539678885,1,3
1539681156,10,4
1539683088,16,0
1539684987,5,1
1539686918,3,1
1539690739,4,1
1539692683,11,2
1539694593,10,6
1539696505,2,3
1539698474,2,16
1539700346,30,3
1539702387,27,2
1539704423,9,7
1539706638,30,13
1539708753,6,5
1539710670,3,3
1539712875,6,3
1539714739,3415,2
1539716722,519,22
1539718589,3,18
1539720519,3,13
1539722430,1,3
1539724607,3,2
1539726497,10,8
1539728416,2,10
1539730597,4,5
1539732497,9,1
1539734437,4,1
1539736344,0,5
1539738287,5,1
1539740177,3,2
1539742123,3,2
1539744019,1,1
1539745948,2,1
1539747869,2,4
1539749806,3,0
1539751712,0,3
1539753615,2,6
1539755557,1,1
1539757495,0,4
1539759377,5,1
1539761316,2,6
1539764210,3,3
1539766346,11,6
1539768263,12,6
1539770214,3,18
1539772098,1,3
1539774070,3,2
1539775949,2,0
1539777887,8,2
1539779794,1,21
1539781724,1,1
1539783618,5,2
1539785559,5,5
1539787471,1,7
1539789512,2,7
1539791562,4,1
1539793469,12,21
1539795394,2,1
1539797307,5,2
1539800198,5,1502
1539802099,0,2459
1539804020,5,3
1539805947,7,3
1539807859,12,1
1539810070,13,2
1539811954,7,7
1539813874,6,3
1539815810,7,4
1539817732,3,4
1539819634,1,7
1539821568,6,2
1539823465,22,1
1539825558,6,5
1539827535,3,6
1539829494,3,0
1539831382,1,2
1539833298,4,3
1539835321,2,4
1539837154,3,1
1539839070,4,3
1539841256,2,2
1539843165,3,2
1539845091,3,4
1539847006,0,5
1539848918,4,0
1539850837,0,4
1539852769,3,9
1539854673,1,11
1539856596,9,3
1539858512,1,2
1539860485,5,4
1539862362,4,4
1539864305,9,8
1539866200,5,2
1539868123,2,1
1539870032,7,4
1539871961,6,3
1539873881,2,1
1539875796,7,1
1539877702,1,4
1539879649,1,12
1539881561,3,1
1539883481,6,2
1539885385,2,4
1539887566,2,0
1539889510,2,2
1539891386,2,5
1539893314,2,5
1539895220,3,4
1539897170,5,8
1539899067,1,5
1539901002,3,3
1539902929,5,4
1539904852,1,0
1539906781,4,4
1539908692,0,5
1539910586,0,3
1539912531,14,9
1539914536,2,2
1539916374,3,2
1539918274,5,3
1539920180,3,3
1539922117,1,3
1539924045,1,5
1539925974,2,2
1539927870,1,0
1539929820,4,5
1539931730,2,2
1539933640,0,3
1539935576,3,3
1539937481,2,1
1539939424,5,3
1539941323,4,5
1539943286,3,5
1539945155,5,3
1539947133,4,6
1539949218,3,8
1539951401,4,5
1539953315,1,3
1539955223,6,1
1539957178,6,6
1539959068,4,4
1539961003,3,5
1539962903,2,5
1539965139,1,2
1539966996,1,2
1539968898,1,5
1539971064,2,3
1539972991,6,2
1539974919,6,4
1539976831,2,2
1539978744,4,1
1539980691,3,3
1539982588,1,7
1539984514,21,2
1539986543,1,3
1539988353,3,7
1539990298,3,4
1539992202,2,1
1539994115,3,4
1539996029,1,3
1539997956,4,0
1539999898,3,16
1540001797,3,1
1540003711,0,3
1540005637,4,1
1540007544,1,3
1540009483,4,2
1540011390,0,1
1540013301,2,2
1540015295,3,1
1540017196,1,4
1540019095,7,2
1540020990,5,1
1540022921,0,2
1540024852,1,2
1540026777,4,5
1540028675,6,1
1540030615,3,6
1540032510,1,2
1540034432,4,4
1540036356,5,4
1540038281,1,3
1540040202,3,1
1540042120,0,6
1540044094,1,6
1540045962,3,3
1540047887,3,1
1540049807,4,1
1540051771,2,0
1540053638,0,1
1540055576,2,1
1540057483,4,2
1540059400,2,7
1540061317,0,5
1540063231,5,3
1540065180,2,6
1540067167,2,3
1540068997,5,2
1540070915,1,2
1540072928,3,2
1540074758,6,3
1540076727,1,45
1540078602,2,3
1540080531,3,3
1540082456,2,0
1540084359,3,6
1540086276,0,4
1540088208,3,4
1540090112,1,0
1540092053,2,5
1540095878,7,3
1540097815,9,0
1540099721,3,2
1540101720,2,2
1540103582,1,1
1540105754,2,9
1540107874,2,6
1540109808,4,1
1540113874,3,4
1540115809,3078,3
1540117708,880,1
1540119695,3,2
1540121561,4,4
1540123503,5,1
1540125390,8,1
1540127387,0,2
1540129244,0,3
1540133068,2,3
1540135219,3,2
1540137146,2,1
1540139342,2,0
1540143159,0,1
1540145111,0,1
1540147022,2,1
1540148938,0,3
1540150845,1,4
1540152775,3,1
1540154669,2,3
1540156614,1,2
1540160444,0,4
1540162376,0,1
1540164279,1,0
1540166184,3,3
1540168124,2,1
1540170102,2,1
1540171964,3,1
1540174067,2,1
1540176037,2,1
1540177939,3,2
1540179868,0,1
1540181778,4,3
1540183697,2,0
1540185882,4,3
1540187792,3,2
1540189708,5,1
1540191696,0,2
1540193555,3,1
1540195495,0,3
1540197387,8,0
1540199395,1,2
1540201258,1,397
1540203166,3,391
