DateTime,Entries,UniqueIPs
1539219684,331,331
1539221591,329,329
1539223488,328,328
1539225410,325,325
1539227307,324,324
1539229246,313,313
1539231151,313,313
1539233063,313,313
1539235012,308,308
1539237039,306,306
1539238840,307,307
1539240768,308,308
1539242692,308,308
1539244585,304,304
1539246523,300,300
1539248494,306,306
1539250369,306,306
1539252273,304,304
1539254203,305,305
1539256134,313,313
1539258030,313,313
1539260183,313,313
1539262109,314,314
1539264047,313,313
1539266165,311,311
1539268098,315,315
1539270100,314,314
1539271939,316,316
1539273895,316,316
1539275779,315,315
1539277720,317,317
1539279627,318,318
1539281574,324,324
1539283464,330,330
1539285394,334,334
1539287324,353,353
1539289224,361,361
1539291160,368,368
1539293082,372,372
1539294977,371,371
1539296921,370,370
1539298911,374,374
1539300767,357,357
1539302689,390,390
1539304592,397,397
1539306531,400,400
1539308422,405,405
1539310365,404,404
1539312286,402,402
1539314194,405,405
1539316122,401,401
1539318047,399,399
1539319970,400,400
1539321894,400,400
1539323785,403,403
1539325719,400,400
1539327690,406,406
1539329566,408,408
1539331737,408,408
1539333660,407,407
1539335565,404,404
1539337465,403,403
1539339408,400,400
1539341558,402,402
1539343456,396,396
1539345394,395,395
1539347295,397,397
1539349342,399,399
1539351414,405,405
1539353439,413,413
1539355490,418,418
1539357401,417,417
1539359310,421,421
1539361248,425,425
1539363165,429,429
1539365078,430,430
1539367006,428,428
1539368913,420,420
1539370903,417,417
1539372756,418,418
1539374717,613,613
1539376592,614,614
1539378529,614,614
1539380440,610,610
1539382359,612,612
1539384803,612,612
1539386941,615,615
1539388844,611,611
1539390787,596,596
1539392670,594,594
1539394607,590,590
1539396566,596,596
1539398452,598,598
1539400351,597,597
1539402283,598,598
1539404195,599,599
1539406102,596,596
1539408046,596,596
1539409976,598,598
1539411908,605,605
1539413813,601,601
1539415697,608,608
1539417705,606,606
1539419576,604,604
1539421474,605,605
1539423378,617,617
1539425331,622,622
1539427252,620,620
1539429152,624,624
1539431086,622,622
1539433018,623,623
1539434906,622,622
1539436848,625,625
1539438767,636,636
1539440784,640,640
1539442587,641,641
1539444770,640,640
1539446689,669,669
1539448611,662,662
1539450538,686,686
1539452444,687,687
1539454365,686,686
1539456278,695,695
1539458210,715,715
1539460133,495,495
1539462029,507,507
1539463970,541,541
1539465901,537,537
1539467784,534,534
1539469723,532,532
1539471707,558,558
1539473589,549,549
1539475475,540,540
1539477423,546,546
1539479345,545,545
1539481249,547,547
1539483156,542,542
1539485082,540,540
1539487046,550,550
1539488902,550,550
1539490845,547,547
1539492753,550,550
1539494684,552,552
1539496620,552,552
1539498529,553,553
1539500508,549,549
1539502368,541,541
1539504534,544,544
1539506451,542,542
1539508346,544,544
1539510288,1976,1976
