DateTime,Entries,UniqueIPs
1539235012,2785,2785
1539237039,2797,2797
1539238839,2811,2811
1539240767,2834,2834
1539242692,2841,2841
1539244585,2835,2835
1539246522,2758,2758
1539248493,2658,2658
1539250369,2473,2473
1539252273,2400,2400
1539254203,2320,2320
1539256134,2225,2225
1539258029,2158,2158
1539260183,2103,2103
1539262109,2043,2043
1539264047,2027,2027
1539266165,1963,1963
1539268098,1939,1939
1539270100,1885,1885
1539271938,1871,1871
1539273894,1851,1851
1539275779,1813,1813
1539277720,1768,1768
1539279626,1743,1743
1539281573,1785,1785
1539283463,1802,1802
1539285393,1831,1831
1539287324,1846,1846
1539289224,1869,1869
1539291160,1876,1876
1539293082,1863,1863
1539294977,1866,1866
1539296921,1869,1869
1539298910,1874,1874
1539300767,1895,1895
1539302689,1898,1898
1539304591,1896,1896
1539306530,1906,1906
1539308421,1891,1891
1539310364,1915,1915
1539312286,1917,1917
1539314194,1909,1909
1539316122,1911,1911
1539318046,1909,1909
1539319970,1922,1922
1539321894,1932,1932
1539323785,1929,1929
1539325719,1920,1920
1539327689,1919,1919
1539329566,1920,1920
1539331737,1928,1928
1539333660,1928,1928
1539335565,1920,1920
1539337465,1930,1930
1539339408,1938,1938
1539341558,1948,1948
1539343456,1965,1965
1539345393,1954,1954
1539347294,1954,1954
1539349341,1959,1959
1539351414,1960,1960
1539353438,1974,1974
1539355490,1978,1978
1539357401,1993,1993
1539359309,2000,2000
1539361247,2011,2011
1539363165,2019,2019
1539365078,2006,2006
1539367005,1995,1995
1539368913,1976,1976
1539370902,1966,1966
1539372755,1966,1966
1539374717,1955,1955
1539376591,1957,1957
1539378528,1964,1964
1539380440,1966,1966
1539382358,1962,1962
1539384802,1961,1961
1539386941,1955,1955
1539388843,1943,1943
1539390787,1934,1934
1539392670,1918,1918
1539394607,1915,1915
1539396565,1905,1905
1539398451,1901,1901
1539400347,1892,1892
1539402283,1884,1884
1539404194,1864,1864
1539406101,1854,1854
1539408046,1836,1836
1539409976,1825,1825
1539411908,1806,1806
1539413813,1796,1796
1539415697,1789,1789
1539417704,1769,1769
1539419575,1654,1654
1539421474,1655,1655
1539423378,1609,1609
1539425331,1585,1585
1539427251,1572,1572
1539429152,1577,1577
1539431086,1581,1581
1539433018,1588,1588
1539434906,1578,1578
1539436848,1580,1580
1539438767,1562,1562
1539440783,1552,1552
1539442587,1536,1536
1539444769,1541,1541
1539446688,1534,1534
1539448611,1536,1536
1539450538,1533,1533
1539452443,1534,1534
1539454364,1544,1544
1539456278,1535,1535
1539458209,1540,1540
1539460132,1540,1540
1539462029,1545,1545
1539463970,1537,1537
1539465900,1544,1544
1539467784,1541,1541
1539469723,1553,1553
1539471706,1566,1566
1539473585,1581,1581
1539475474,1584,1584
1539477423,1600,1600
1539479345,1605,1605
1539481249,1610,1610
