DateTime,AddedIPs,RemovedIPs
1539170672,2,1
1539172592,3,2
1539174533,1,2
1539176488,2,0
1539178376,0,2
1539180533,3,2
1539182449,1,2
1539184794,2,0
1539186737,2,0
1539188691,4,0
1539190585,3,1
1539192511,5,0
1539194494,1,1
1539196381,2,1
1539198272,0,1
1539200201,1,1
1539202129,2,0
1539204027,2,3
1539205977,2,2
1539207870,3,1
1539209790,1,3
1539211723,2,0
1539213641,2,1
1539215568,1,0
1539217483,4,1
1539219684,2,0
1539221591,0,3
1539223488,3,2
1539225411,1,1
1539227308,0,2
1539229246,2,3
1539231151,1,3
1539233063,2,1
1539235012,3,2
1539237039,1,5
1539238840,2,3
1539240768,1,2
1539244586,2,2
1539246523,4,5
1539248494,1,2
1539250370,2,1
1539252274,2,1
1539254203,2,0
1539256134,0,1
1539258030,1,3
1539260183,2,3
1539262110,1,0
1539264047,3,1
1539266165,3,2
1539268099,2,4
1539270101,1,2
1539271939,2,0
1539273896,3,0
1539275779,3,2
1539277721,3,4
1539279627,1,3
1539281574,3,1
1539283464,1,1
1539285394,2,0
1539287325,1,4
1539289225,2,2
1539291160,1,1
1539293082,1,3
1539294978,1,4
1539296921,3,2
1539298911,4,3
1539300768,4,3
1539302690,0,2
1539304592,4,2
1539306531,2,2
1539308422,2,1
1539310365,1,3
1539312287,4,1
1539314194,4,0
1539316122,2,2
1539318047,2,1
1539319970,0,3
1539321894,2,2
1539323786,2,2
1539325720,2,0
1539327691,0,1
1539329567,4,0
1539331737,1,4
1539333661,0,1
1539335565,0,1
1539337466,4,3
1539339408,2,2
1539341559,2,3
1539343457,2,0
1539345394,0,1
1539347295,1,0
1539351414,2,5
1539353439,2,1
1539355491,5,1
1539357402,1,0
1539359310,0,4
1539361248,1,0
1539363166,2,5
1539365079,3,1
1539367006,0,2
1539368913,0,2
1539370903,0,1
1539372762,3,3
1539374718,0,2
1539376592,2,3
1539378529,1,0
1539380441,0,1
1539382359,1,0
1539384803,2,3
1539386941,6,3
1539388844,1,2
1539390787,2,5
1539392671,2,3
1539394608,2,4
1539396566,2,1
1539398452,3,4
1539400352,1,4
1539402284,2,3
1539404195,2,3
1539406102,1,0
1539408047,1,0
1539409976,3,4
1539411908,1,2
1539413813,2,0
1539415697,4,2
1539417706,4,3
1539419576,0,1
1539421475,1,2
1539423379,2,2
1539425332,1,2
1539427252,1,2
1539429152,2,1
1539431086,2,1
1539433019,2,1
1539434906,4,2
1539436848,3,1
1539438767,0,1
1539440784,1,4
1539442588,4,2
1539444770,4,0
1539446689,2,1
1539448611,2,1
1539450539,3,2
1539452444,1,2
1539454365,2,0
1539456278,1,0
1539458210,3,2
1539460133,2,3
1539462029,3,1
1539463971,2,2
1539465901,6,0
1539467785,6,0
1539469723,3,2
1539471709,3,2
1539473590,3,7
1539475476,1,1
1539477424,1,2
1539479346,0,3
1539481249,3,2
1539483156,4,2
1539485083,4,1
1539487046,6,1
1539488902,2,2
1539490846,3,3
1539492753,5,0
1539494684,1,1
1539496621,4,2
1539498529,2,0
1539500508,2,1
1539502369,1,2
1539504534,2,3
1539506451,1,0
1539508346,2,1
1539510288,584,1
1539512220,2,2
1539514125,4,1
1539516063,0,3
1539517970,1,0
1539519901,1,2
1539521802,3,4
1539523718,3,0
1539525700,2,0
1539527575,1,0
1539529528,1,3
1539531409,1,3
1539533354,0,5
1539535250,1,0
1539537152,0,2
1539539094,2,1
1539541020,1,1
1539542925,1,0
1539544849,1,3
1539546765,3,2
1539548683,1,3
1539550602,0,4
1539552519,1,4
1539554532,1,5
1539556427,1,3
1539558792,1,3
1539560713,0,2
1539562613,0,3
1539564528,2,0
1539566444,0,2
1539568396,4,2
1539570404,1,2
1539572218,1,2
1539574119,3,6
1539576101,0,4
1539577969,3,4
1539579898,3,4
1539581787,1,3
1539583733,2,6
1539585649,2,1
1539587554,1,1
1539589486,1,4
1539591559,0,1
1539593571,1,4
1539595476,2,3
1539597393,1,584
1539599314,2,1
1539601304,0,3
1539603160,3,1
1539605136,4,3
1539606997,0,1
1539608935,1,4
1539610825,2,3
1539612771,1,0
1539614669,3,1
1539616844,2,3
1539618760,1,0
1539620676,0,2
1539622622,1,0
1539624524,1,0
1539626486,4,3
1539628605,2,1
1539630531,2,1
1539632442,2,2
1539634352,3,2
1539636304,2,0
1539638186,3,2
1539640116,3,2
1539642270,1,1
1539644217,4,0
1539646107,3,0
1539648034,3,1
1539649966,4,2
1539651876,3,0
1539653800,4,0
1539655716,0,4
1539657627,2,2
1539659574,0,1
1539661479,1,2
1539663407,1,1
1539665307,1,4
1539667230,1,1
1539671095,1,2
1539672990,1,0
1539674910,3,1
1539676898,1,0
1539678885,1,1
1539681157,1,1
1539683088,3,0
1539684988,0,2
1539686918,1,2
1539688827,2,1
1539690740,0,3
1539692683,1,4
1539696505,2,1
1539698478,1,4
1539700346,1,2
1539702387,0,1
1539704424,1,2
1539706638,2,1
1539708753,0,1
1539710671,1,3
1539712880,7,4
1539714739,575,2
1539716723,0,3
1539718589,1,2
1539720519,2,2
1539722430,3,2
1539724608,0,2
1539726497,3,1
1539728416,0,1
1539730598,1,5
1539734438,1,3
1539736345,1,4
1539738287,2,4
1539740177,2,6
1539744020,1,2
1539747870,0,1
1539749807,0,1
1539751713,0,2
1539753615,0,1
1539755558,0,3
1539757495,1,2
1539759377,2,2
1539761316,1,3
1539764210,2,1
1539766346,3,1
1539768263,3,0
1539770215,3,3
1539772098,0,1
1539774073,1,1
1539775949,1,1
1539777887,1,2
1539779795,4,1
1539781725,3,0
1539783618,3,0
1539785560,0,1
1539787472,2,0
1539789513,3,1
1539791563,2,0
1539793469,1,2
1539797308,4,0
1539800198,4,581
1539802100,6,0
1539804021,4,1
1539805948,1,1
1539807859,3,2
1539810079,5,0
1539811955,1,1
1539813874,2,2
1539815811,0,1
1539819635,2,1
1539821568,0,1
1539823465,3,0
1539825558,1,2
1539827535,0,2
1539829494,0,3
1539835322,1,0
1539843166,0,1
1539845092,0,1
1539847006,0,1
1539850838,1,1
1539852769,1,4
1539854674,0,1
1539858512,2,1
1539860485,1,0
1539862362,2,2
1539864305,2,0
1539866200,2,4
1539868123,1,3
1539870032,0,2
1539873881,2,1
1539875797,3,3
1539877703,1,2
1539879650,2,0
1539881561,1,0
1539883481,1,3
1539885385,3,4
1539887567,1,4
1539889510,3,1
1539891386,0,3
1539893314,3,2
1539895220,1,6
1539897170,2,2
1539899068,0,3
1539901002,0,2
1539904852,1,0
1539906781,1,1
1539908692,1,1
1539910587,2,4
1539912532,2,4
1539914537,2,2
1539916375,1,0
1539918274,0,1
1539920180,2,0
1539922117,1,1
1539924045,3,0
1539927871,2,1
1539929821,2,0
1539931730,3,0
1539933641,2,0
1539935576,3,0
1539937481,4,1
1539939424,3,0
1539941323,2,0
1539943287,2,1
1539945155,2,1
1539947133,3,2
1539949219,1,2
1539951402,1,3
1539953316,3,0
1539955224,1,1
1539957179,0,1
1539959069,2,0
1539961003,2,3
1539962903,2,0
1539965139,2,4
1539966996,3,0
1539968899,0,2
1539971065,2,4
1539972991,0,2
1539974919,1,0
1539976832,1,1
1539978744,0,4
1539980691,0,4
1539982588,1,0
1539984514,1,1
1539986543,0,1
1539988353,1,1
1539990299,0,1
1539992202,1,1
1539994116,1,1
1539996030,1,1
1539997956,1,1
1540001797,0,1
1540003712,2,1
1540005637,1,1
1540007544,2,1
1540009483,0,3
1540011390,1,0
1540015296,2,2
1540017196,1,1
1540019096,1,4
1540020991,1,3
1540022921,0,7
1540024853,0,4
1540026777,0,2
1540028675,2,3
1540030615,2,1
1540032510,1,6
1540034432,3,0
1540036356,1,3
1540038281,0,1
1540040202,0,2
1540042120,0,1
1540044094,3,1
1540045962,1,1
1540047888,2,4
1540049808,0,2
1540051771,2,2
1540053639,0,3
1540055576,3,1
1540057484,0,1
1540059401,2,0
1540061317,4,1
1540063232,6,1
1540065181,3,0
1540067167,6,0
1540068997,2,1
1540070915,1,1
1540072928,1,1
1540074758,2,1
1540076728,0,1
1540078602,1,0
1540080532,0,1
1540082456,2,1
1540084359,0,1
1540086276,1,0
1540090112,1,2
1540092054,1,1
1540093959,2,1
1540097815,3,2
1540101720,2,2
1540103583,1,0
1540105755,3,0
1540109808,1,1
1540111713,1,0
1540113874,1,2
1540115809,586,1
1540117708,1,1
1540119695,0,2
1540123504,0,1
1540125390,2,0
1540127388,3,1
1540129245,0,2
1540131174,2,1
1540133068,0,2
1540135219,3,0
1540137146,0,2
1540139342,1,0
1540141290,1,1
1540143159,3,0
1540145112,1,0
1540147022,1,2
1540148939,0,2
1540150845,0,2
1540152775,2,2
1540154669,1,1
1540156615,4,0
1540158500,1,1
1540160445,1,1
1540162376,2,0
1540166184,4,0
1540171965,5,0
1540174068,1,2
1540176038,0,1
1540179869,1,2
1540181778,3,0
1540185882,3,0
1540187792,1,3
1540191696,1,1
1540193555,2,1
1540195495,3,1
1540197387,2,0
1540199395,1,3
1540201258,1,501
1540203167,1,0
