DateTime,AddedIPs,RemovedIPs
1537939495,0,3
1537943347,1,0
1537947171,1,0
1537949137,1,0
1537951013,0,1
1538030686,0,1
1538034790,0,1
1538065484,1,1
1538069547,3,0
1538112564,2,0
1538114520,1,0
1538153315,0,1
1538155260,0,3
1538182611,1,0
1538197980,1,0
1538199876,2,2
1538201814,3,1
1538217176,1,0
1538267307,0,1
1538284588,0,1
1538286515,1,2
1538288455,1,3
1538290362,5,0
1538292277,1,0
1538296105,1,0
1538298085,1,0
1538301872,1,1
1538307651,1,0
1538309801,1,0
1538321304,1,0
1538371954,1,1
1538375801,0,5
1538377733,0,2
1538383466,0,1
1538385423,0,1
1538389275,0,1
1538395320,0,2
1538406778,0,1
1538455714,0,1
1538889870,1,0
1538975818,0,1
1539120015,1,0
1539121962,2,0
1539123851,1,0
1539125788,4,0
1539127688,5,0
1539129664,3,0
1539131810,4,0
1539133703,3,0
1539135617,3,0
1539137558,2,0
1539139462,2,0
1539141407,7,0
1539143301,3,0
1539145223,2,0
1539147172,1,0
1539151000,3,0
1539152911,3,0
1539154866,7,0
1539158666,2,0
1539160597,3,0
1539162500,1,0
1539164433,1,0
1539166348,2,0
1539168262,2,0
1539170204,6,0
1539174025,1,0
1539175937,3,0
1539177891,3,0
1539179774,3,0
1539181692,1,0
1539183675,5,0
1539185541,1,0
1539187490,1,0
1539189644,2,0
1539191538,1,0
1539193460,1,0
1539195390,4,0
1539199254,1,0
1539201138,4,0
1539203076,2,0
1539206893,3,1
1539208893,4,2
1539210741,1,1
1539212656,2,7
1539214591,4,3
1539216526,4,4
1539218412,3,2
1539220595,1,3
1539222492,1,4
1539224423,6,2
1539226361,1,3
1539228258,5,5
1539230170,0,3
1539232117,1,3
1539234086,1,0
1539235966,2,0
1539237890,0,3
1539239821,0,3
1539241830,1,7
1539243640,2,1
1539245546,1,3
1539247465,0,2
1539249387,2,1
1539251297,1,1
1539253245,1,2
1539255150,1,1
1539257052,0,6
1539258998,4,0
1539261147,3,1
1539263076,4,4
1539264972,1,2
1539266906,3,3
1539268837,0,2
1539270748,5,5
1539272659,1,1
1539274848,2,1
1539276736,1,1
1539278658,3,1
1539280594,1,3
1539282502,0,2
1539284485,1,0
1539286349,3,3
1539288272,2,3
1539290176,1,1
1539292122,1,1
1539294041,3,3
1539295939,0,4
1539299798,3,3
1539301727,0,5
1539303723,0,4
1539305564,0,1
1539307472,1,1
1539309399,1,4
1539311320,2,3
1539313273,1,2
1539315137,3,4
1539318982,1,1
1539320931,1,1
1539322834,1,2
1539324749,3,0
1539326682,2,1
1539328610,2,0
1539330742,1,3
1539332688,1,0
1539334593,1,1
1539336495,0,1
1539338487,1,1
1539340379,0,1
1539342263,2,1
1539344184,0,3
1539346122,0,1
1539348053,0,3
1539349942,1,5
1539351895,0,1
1539353802,0,2
1539355975,0,2
1539357874,0,4
1539359811,1,0
1539361718,1,2
1539364610,1,4
1539366493,0,1
1539370360,2,1
1539372295,2,3
1539374169,3,1
1539376113,1,1
1539378082,1,2
1539379957,0,3
1539381880,2,0
1539383772,3,0
1539385970,0,3
1539387855,1,0
1539391695,3,0
1539393639,0,1
1539395566,1,1
1539397473,0,2
1539399375,0,1
1539401313,0,2
1539403300,0,1
1539405170,0,1
1539407081,0,1
1539409003,0,1
1539410922,1,3
1539412835,1,1
1539414762,1,2
1539416782,0,2
