DateTime,AddedIPs,RemovedIPs
1539071815,0,1
1539073776,1,1
1539075895,1,1
1539078047,2,0
1539079966,5,2
1539081898,1,0
1539083803,2,1
1539085743,0,1
1539087642,1,0
1539089565,0,3
1539091609,5,0
1539093709,3,0
1539095562,1,2
1539097553,2,0
1539099643,5,0
1539101561,3,0
1539103499,2,0
1539105412,1,1
1539107335,2,1
1539109266,1,0
1539111157,1,1
1539113119,0,1
1539115009,3,0
1539116924,1,1
1539118910,1,1
1539120752,0,1
1539122689,2,3
1539124609,0,2
1539126555,2,1
1539128461,1,1
1539130374,0,4
1539132277,1,1
1539134193,5,2
1539136147,2,3
1539138044,1,0
1539139997,0,3
1539141876,2,1
1539143789,4,0
1539149574,0,1
1539153416,0,2
1539157268,2,0
1539161076,3,2
1539163025,2,1
1539166858,0,3
1539168769,2,1
1539170677,2,3
1539172596,0,1
1539174537,0,5
1539178381,0,3
1539180538,3,2
1539182453,0,2
1539184799,1,3
1539186741,2,2
1539188696,1,1
1539190590,2,1
1539194500,4,3
1539196386,3,1
1539198276,1,1
1539200206,1,0
1539202133,2,1
1539204038,2,1
1539205990,2,0
1539209794,2,0
1539211728,1,1
1539213646,3,1
1539215572,0,1
1539217487,3,1
1539219689,1,1
1539221596,1,2
1539223496,1,1
1539225416,1,0
1539227312,1,0
1539229250,3,1
1539231155,0,1
1539233068,1,0
1539235017,0,2
1539237044,1,0
1539240773,1,0
1539242699,1,0
1539246529,1,0
1539248505,1,2
1539250374,1,3
1539254208,1,1
1539258035,2,0
1539260188,2,0
1539262114,0,2
1539264052,1,0
1539266170,2,2
1539268112,2,1
1539270109,3,2
1539271943,0,3
1539273930,0,1
1539275784,1,2
1539277725,0,2
1539279635,2,1
1539281578,0,4
1539283480,1,1
1539285398,0,2
1539287329,1,1
1539289240,4,4
1539291165,5,2
1539293087,2,0
1539296926,3,1
1539298917,2,2
1539300772,2,2
1539302701,2,2
1539304597,2,5
1539306536,1,4
1539308426,2,2
1539310369,1,0
1539312291,1,3
1539314199,0,1
1539316135,0,1
1539318051,4,1
1539319975,0,1
1539321899,0,1
1539323791,0,1
1539325733,0,1
1539327702,0,2
1539329571,0,3
1539331742,1,1
1539335570,1,0
1539337471,0,1
1539341563,1,0
1539343461,1,0
1539345399,2,0
1539347299,1,1
1539349352,2,0
1539351422,1,3
1539353444,5,1
1539355501,1,2
1539357406,0,1
1539359315,1,1
1539361252,2,2
1539363170,0,2
1539365084,1,3
1539368918,1,1
1539370909,1,1
1539372766,1,0
1539374722,2,3
1539376602,2,3
1539378534,3,4
1539380445,3,1
1539382373,2,2
1539384808,1,2
1539386946,1,5
1539392676,1,0
1539394612,1,2
1539396570,0,3
1539400359,2,0
1539404200,0,1
1539406106,0,1
1539408057,1,1
1539411914,1,1
1539413818,1,2
1539415702,0,1
1539417710,0,1
1539419580,1,1
1539423383,14,3
1539425337,1,0
