DateTime,Entries,UniqueIPs
1539235017,538,538
1539237044,536,536
1539238845,532,532
1539240773,526,526
1539242700,520,520
1539244597,521,521
1539246529,523,523
1539248505,520,520
1539250375,515,515
1539252279,512,512
1539254208,511,511
1539256139,515,515
1539258035,515,515
1539260189,514,514
1539262115,567,567
1539264052,570,570
1539266170,586,586
1539268113,596,596
1539270110,597,597
1539271944,593,593
1539273931,602,602
1539275784,603,603
1539277725,606,606
1539279635,598,598
1539281579,595,595
1539283481,587,587
1539285399,574,574
1539287329,568,568
1539289241,570,570
1539291165,566,566
1539293088,568,568
1539294983,563,563
1539296927,544,544
1539298917,529,529
1539300773,512,512
1539302710,498,498
1539304598,480,480
1539306537,448,448
1539308427,431,431
1539310370,409,409
1539312292,380,380
1539314200,365,365
1539316136,361,361
1539318052,350,350
1539319979,348,348
1539321900,336,336
1539323791,338,338
1539325734,341,341
1539327703,342,342
1539329572,346,346
1539331743,342,342
1539333666,348,348
1539335570,349,349
1539337471,348,348
1539339413,354,354
1539341564,350,350
1539343461,344,344
1539345399,347,347
1539347300,349,349
1539349355,347,347
1539351424,337,337
1539353444,322,322
1539355503,322,322
1539357407,324,324
1539359316,271,271
1539361253,263,263
1539363171,265,265
1539365085,269,269
1539367011,268,268
1539368918,271,271
1539370910,273,273
1539372767,273,273
1539374723,269,269
1539376603,272,272
1539378534,268,268
1539380446,267,267
1539382373,264,264
1539384808,264,264
1539386947,278,278
1539388850,288,288
1539390792,294,294
1539392677,307,307
1539394613,319,319
1539396570,320,320
1539398457,319,319
1539400359,313,313
1539402289,317,317
1539404200,326,326
1539406107,322,322
1539408057,322,322
1539409981,322,322
1539411914,327,327
1539413818,325,325
1539415702,323,323
1539417711,329,329
1539419588,315,315
1539421480,312,312
1539423384,319,319
1539425337,323,323
1539427263,317,317
1539429157,318,318
1539431092,309,309
1539433024,316,316
1539434916,343,343
1539436856,382,382
1539438773,414,414
1539440789,427,427
1539442593,441,441
1539444776,469,469
1539446696,483,483
1539448616,499,499
1539450544,514,514
1539452449,532,532
1539454370,539,539
1539456284,561,561
1539458215,578,578
1539460138,587,587
1539462037,590,590
1539463976,592,592
1539465906,596,596
1539467790,602,602
1539469728,601,601
1539471715,598,598
1539473606,586,586
1539475486,581,581
1539477429,574,574
1539479351,571,571
1539481255,562,562
1539483171,565,565
1539485088,563,563
1539487053,563,563
1539488907,562,562
1539490866,565,565
1539492759,578,578
1539494689,600,600
1539496626,616,616
1539498534,621,621
1539500514,620,620
1539502374,624,624
1539504540,622,622
1539506456,626,626
1539508351,633,633
1539510302,629,629
1539512226,627,627
1539514131,635,635
1539516074,639,639
1539517985,645,645
1539519915,640,640
1539521808,619,619
1539523723,593,593
1539525709,569,569
1539527580,555,555
1539529535,532,532
1539531415,510,510
1539533360,495,495
1539535256,480,480
1539537158,460,460
1539539100,446,446
1539541026,434,434
1539542930,413,413
1539544854,396,396
1539546771,383,383
1539548689,367,367
1539550607,364,364
1539552525,363,363
1539554538,356,356
1539556433,357,357
1539558798,359,359
1539560731,359,359
1539562621,355,355
1539564534,351,351
1539566450,352,352
1539568403,343,343
1539570410,340,340
1539572244,346,346
1539574125,351,351
1539576117,351,351
1539577976,350,350
1539579904,329,329
1539581793,299,299
1539583740,289,289
1539585655,282,282
1539587560,278,278
1539589501,273,273
1539591565,272,272
1539593577,268,268
1539595482,258,258
1539597398,255,255
1539599321,250,250
1539601322,245,245
1539603166,241,241
1539605142,230,230
1539607002,222,222
1539608942,217,217
1539610838,209,209
1539612776,201,201
1539614675,194,194
1539616851,194,194
1539618768,192,192
1539620682,193,193
1539622629,193,193
1539624530,202,202
1539626493,206,206
1539628611,212,212
1539630537,220,220
1539632448,235,235
1539634368,241,241
1539636311,243,243
1539638192,246,246
1539640127,249,249
1539642276,248,248
1539644223,250,250
1539646113,256,256
1539648041,257,257
1539649972,267,267
1539651896,293,293
1539653806,311,311
1539655722,339,339
1539657642,364,364
1539659580,388,388
1539661485,406,406
1539663421,422,422
1539665313,442,442
1539667235,456,456
1539669154,477,477
1539671100,492,492
1539673005,506,506
1539674915,507,507
1539676905,505,505
1539678890,502,502
1539681164,513,513
1539683094,514,514
1539684995,518,518
1539686924,521,521
1539688834,525,525
1539690746,527,527
1539692689,530,530
1539694599,535,535
1539696511,540,540
1539698491,539,539
1539700352,541,541
1539702397,537,537
1539704433,536,536
1539706644,535,535
1539708759,535,535
1539710677,530,530
1539712891,527,527
1539714745,525,525
1539716731,538,538
1539718596,545,545
1539720526,560,560
1539722436,565,565
1539724616,574,574
1539726513,587,587
1539728424,592,592
1539730604,599,599
1539732504,602,602
1539734456,605,605
1539736350,609,609
1539738297,596,596
1539740183,595,595
1539742130,573,573
1539744026,553,553
1539745955,540,540
1539747875,534,534
1539749812,535,535
1539751721,530,530
1539753623,525,525
1539755564,509,509
1539757502,496,496
1539759383,488,488
1539761322,491,491
1539763294,492,492
1539765164,495,495
1539767068,485,485
1539768974,487,487
1539770915,485,485
1539773069,486,486
1539774994,483,483
1539776904,481,481
1539778841,483,483
1539780767,485,485
1539782684,500,500
1539784589,527,527
1539786503,548,548
1539788489,568,568
1539790605,604,604
1539792549,641,641
1539794421,672,672
1539796371,692,692
1539798269,714,714
1539800205,732,732
1539802106,754,754
1539804026,746,746
1539805953,729,729
1539807865,726,726
1539810101,722,722
1539811962,712,712
1539813898,708,708
1539815816,714,714
1539817739,716,716
1539819641,716,716
1539821574,717,717
1539823470,719,719
1539825573,704,704
1539827540,701,701
1539829500,704,704
1539831388,707,707
1539833303,701,701
1539835329,694,694
1539837160,691,691
1539839076,686,686
1539841262,687,687
1539843171,687,687
1539845098,686,686
1539847012,687,687
1539848924,690,690
1539850844,688,688
1539852785,687,687
1539854680,684,684
1539856612,686,686
1539858518,686,686
1539860492,691,691
1539862369,696,696
1539864316,691,691
1539866206,701,701
1539868130,712,712
1539870038,681,681
1539871968,652,652
1539873887,634,634
1539875804,608,608
1539877722,579,579
1539879655,540,540
1539881567,512,512
1539883487,492,492
1539885391,467,467
1539887573,443,443
1539889517,436,436
1539891401,440,440
1539893320,435,435
1539895226,439,439
1539897176,445,445
1539899074,447,447
1539901008,435,435
1539902945,424,424
1539904858,426,426
1539906789,418,418
1539908698,403,403
1539910593,403,403
1539912537,404,404
1539914546,405,405
1539916380,418,418
1539918280,441,441
1539920190,458,458
1539922130,451,451
1539924051,465,465
1539925980,475,475
1539927876,487,487
1539929827,510,510
1539931745,505,505
1539933646,519,519
1539935582,513,513
1539937487,514,514
1539939430,513,513
1539941329,512,512
1539943295,523,523
1539945161,523,523
1539947140,520,520
1539949225,516,516
1539951407,515,515
1539953322,507,507
1539955230,500,500
1539957184,505,505
1539959083,502,502
1539961019,500,500
1539962909,497,497
1539965146,497,497
1539967002,492,492
1539968904,491,491
1539971070,485,485
1539972998,486,486
1539974925,499,499
1539976838,507,507
1539978750,512,512
1539980697,524,524
1539982598,530,530
1539984521,534,534
1539986551,524,524
1539988372,522,522
1539990336,518,518
1539992209,517,517
1539994127,518,518
1539996036,532,532
1539997962,539,539
1539999905,534,534
1540001803,532,532
1540003717,510,510
1540005643,499,499
1540007558,499,499
1540009490,489,489
1540011395,476,476
1540013307,466,466
1540015302,450,450
1540017215,443,443
1540019102,434,434
1540020997,439,439
1540022927,439,439
1540024859,446,446
1540026783,453,453
1540028681,448,448
1540030621,443,443
1540032516,443,443
1540034437,434,434
1540036362,432,432
1540038287,430,430
1540040208,461,461
1540042126,479,479
1540044112,507,507
1540045968,531,531
1540047894,544,544
1540049830,544,544
1540051777,543,543
1540053645,541,541
1540055584,531,531
1540057490,529,529
1540059422,531,531
1540061325,520,520
1540063244,511,511
1540065187,513,513
1540067173,508,508
1540069013,503,503
1540070921,501,501
1540072934,506,506
1540074773,513,513
1540076734,514,514
1540078608,517,517
1540080538,518,518
1540082462,514,514
1540084365,522,522
1540086281,554,554
1540088214,565,565
1540090136,590,590
1540092059,588,588
1540093964,593,593
1540095884,605,605
1540097822,609,609
1540099727,610,610
1540101726,609,609
1540103588,604,604
1540105762,606,606
1540107881,602,602
1540109814,599,599
1540111719,599,599
1540113880,598,598
1540115815,599,599
1540117714,602,602
1540119701,604,604
1540121566,605,605
1540123511,601,601
1540125396,585,585
1540127395,558,558
1540129251,533,533
1540131180,518,518
1540133084,502,502
1540135231,503,503
1540137152,508,508
1540139348,513,513
1540141298,512,512
1540143165,512,512
1540145121,517,517
1540147028,524,524
1540148945,519,519
1540150851,513,513
1540152781,516,516
1540154685,518,518
1540156621,516,516
1540158506,512,512
1540160450,506,506
1540162382,503,503
1540164285,507,507
1540166191,499,499
1540168130,499,499
1540170110,501,501
1540171971,476,476
1540174075,451,451
1540176057,414,414
1540177953,418,418
1540179875,431,431
1540181784,441,441
1540183704,454,454
1540185889,475,475
1540187799,474,474
1540189715,478,478
1540191703,479,479
1540193563,477,477
1540195537,484,484
1540197393,507,507
1540199402,527,527
1540201264,569,569
1540203174,585,585
