DateTime,Entries,UniqueIPs
1539775467,9451,9627
1539776429,9451,9629
1539777143,9450,9628
1539777872,9442,9619
1539778584,9446,9623
1539779308,9446,9623
1539780276,9445,9622
1539781238,9438,9615
1539782184,9434,9611
1539783142,9431,9608
1539783849,9434,9611
1539784571,9427,9604
1539785291,9433,9611
1539786030,9432,9610
1539786998,9436,9614
1539787957,9433,9611
1539788921,9428,9605
1539790132,9430,9607
1539791063,9433,9610
1539791786,9437,9615
1539792531,9436,9614
1539793455,9445,9625
1539794169,9444,9624
1539794895,9443,9623
1539795867,9450,9630
1539796821,9461,9639
1539797538,9471,9651
1539798253,9447,9627
1539798967,9464,9644
1539799715,9468,9648
1539800671,9462,9644
1539801629,9468,9652
1539802344,9473,9657
1539803071,9470,9654
1539803785,9466,9649
1539804510,9461,9645
1539805470,9461,9645
1539806441,9462,9646
1539807412,9463,9646
1539808358,9463,9647
1539809063,9467,9649
1539810040,9463,9645
1539810987,9459,9641
1539811946,9456,9639
1539812650,9454,9636
1539813372,9454,9637
1539814344,9453,9636
1539815049,9450,9632
1539815795,9449,9630
1539816753,9444,9625
1539817715,9445,9626
1539818669,9445,9625
1539819626,9437,9616
1539820585,9435,9614
1539821552,9434,9613
1539822506,9425,9603
1539823227,9433,9611
1539823973,9422,9599
1539824677,9414,9590
1539825401,9420,9596
1539826354,9399,9575
1539827062,9419,9595
1539827791,9401,9576
1539828502,9408,9583
1539829481,9400,9575
1539830180,9409,9585
1539830907,9407,9583
1539831634,9404,9580
1539832354,9408,9584
1539833062,9403,9579
1539833798,9399,9575
1539834769,9404,9580
1539835719,9396,9571
1539836664,9384,9558
1539837627,9392,9566
1539838585,9396,9569
1539839557,9389,9561
1539840261,9392,9563
1539841234,9389,9560
1539841942,9393,9564
1539842671,9358,9512
1539843637,9357,9511
1539844344,9356,9510
1539845069,9358,9512
1539845791,9363,9518
1539846517,9352,9507
1539847475,9351,9506
1539848426,9346,9501
1539849140,9353,9508
1539849872,9345,9498
1539850584,9342,9495
1539851311,9338,9491
1539852269,9340,9493
1539853401,9342,9495
