DateTime,AddedIPs,RemovedIPs
1539773558,6,3
1539774514,4,3
1539775467,2,5
1539776429,6,1
1539777143,5,0
1539777872,3,3
1539778584,2,5
1539779308,6,2
1539780276,4,0
1539781238,2,6
1539782184,2,11
1539783142,4,3
1539783849,1,0
1539784571,2,5
1539785291,3,2
1539786030,0,7
1539786998,5,2
1539787957,0,1
1539788921,3,3
1539790132,5,10
1539791063,5,0
1539791786,7,2
1539792531,2,0
1539793455,11,4
1539794169,3,5
1539794895,3,0
1539795867,9,3
1539796821,10,8
1539797538,5,4
1539798253,4,4
1539798967,4,8
1539799715,2,9
1539800671,6,2
1539801629,5,8
1539802344,6,0
1539803071,1,9
1539803785,2,6
1539804510,6,0
1539805470,3,7
1539806441,6,15
1539807412,8,7
1539808358,6,3
1539809063,5,0
1539810040,2,5
1539810987,5,4
1539811946,6,5
1539812650,2,6
1539813372,7,3
1539814344,3,7
1539815049,2,0
1539815795,5,8
1539816753,4,5
1539817715,2,5
1539818669,5,6
1539819626,1,4
1539820585,5,6
1539821552,4,7
1539822506,5,12
1539823227,3,2
1539823973,0,2
1539824677,3,6
1539825401,4,4
1539826354,11,11
1539827062,15,3
1539827791,9,12
1539828502,5,10
1539829481,7,11
1539830180,7,5
1539830907,5,4
1539831634,7,8
1539832354,11,7
1539833062,4,0
1539833798,2,5
1539834769,9,8
1539835719,11,3
1539836664,6,3
1539837627,5,6
1539838585,9,4
1539839557,2,5
1539840261,2,5
1539841234,8,4
1539841942,1,4
1539842671,2,1
1539843637,8,8
1539844344,5,0
1539845069,4,7
1539845791,7,1
1539847475,2,11
1539848426,4,0
1539849140,4,1
1539849872,0,5
1539850584,4,4
1539851311,3,5
1539852269,3,0
1539853401,5,12
1539854196,6,0
1539855158,7,83
1539856112,6,0
1539857076,5,3
1539858028,10,3
1539858750,0,2
1539859466,2,1
1539860179,2,5
1539860912,1,1
1539861865,8,7
1539862827,6,5
1539863789,2,2
1539864759,4,4
1539865708,3,5
1539866671,6,5
1539867639,5,9
1539868598,3,4
1539869549,0,1
1539870510,5,3
1539871475,2,4
1539872427,6,5
1539873396,4,4
1539874367,4,3
1539875316,3,1
1539876269,6,2
1539877242,3,3
1539877940,3,5
1539878670,7,8
1539879634,2,0
1539880346,10,0
1539881067,4,1
1539882033,3,8
1539882763,5,0
1539883463,6,17
1539884180,5,5
1539884908,9,0
1539885638,3,3
1539886605,7,3
1539887553,5,3
1539888519,5,1
1539889475,10,2
1539890434,7,8
1539891143,3,0
1539891872,5,11
1539892838,9,2
1539893543,5,0
1539894273,4,7
1539894980,3,6
1539895705,3,4
1539896435,3,0
1539897157,6,5
1539897862,2,6
1539898583,5,2
1539899306,1,7
1539900988,3,7
1539901959,4,5
1539902915,3,4
1539903878,4,4
1539904838,4,6
1539906047,8,8
1539906758,1,3
1539907712,6,5
1539908671,10,4
1539909380,5,4
1539910111,7,7
1539911072,8,1
1539911784,5,6
1539912516,8,4
1539913472,12,14
1539914434,11,11
1539915403,13,15
1539916351,7,8
1539917061,4,8
1539917807,5,2
1539918503,4,8
1539919230,7,3
