DateTime,AddedIPs,RemovedIPs
1539775467,32,76
1539776429,84,53
1539777143,53,36
1539777872,41,31
1539778584,36,49
1539779308,50,46
1539780276,43,48
1539781238,41,54
1539782184,52,43
1539783142,46,62
1539783849,54,58
1539784571,52,49
1539785291,55,31
1539786030,33,31
1539786998,46,70
1539787957,65,62
1539788921,41,51
1539790132,64,68
1539791063,67,69
1539791786,73,51
1539792531,63,34
1539793455,48,56
1539794169,40,76
1539794895,75,55
1539795867,67,54
1539796821,61,57
1539797538,41,62
1539798253,60,39
1539798967,54,68
1539799715,58,42
1539800671,59,75
1539801629,66,99
1539802344,61,141
1539803071,137,155
1539803785,181,55
1539804510,57,42
1539805470,46,86
1539806441,85,55
1539807412,76,64
1539808358,53,74
1539809063,72,61
1539810040,45,64
1539810987,70,53
1539811946,57,63
1539812650,44,35
1539813372,37,38
1539814344,37,48
1539815049,39,55
1539815795,53,36
1539816753,41,67
1539817715,50,35
1539818669,35,42
1539819626,36,57
1539820585,55,53
1539821552,64,55
1539822506,47,59
1539823227,61,68
1539823973,58,45
1539824677,51,21
1539825401,20,54
1539826354,64,52
1539827062,64,56
1539827791,50,58
1539828502,46,47
1539829481,40,65
1539830180,62,31
1539830907,31,50
1539831634,47,60
1539832354,77,60
1539833062,33,51
1539833798,49,40
1539834769,51,55
1539835719,63,37
1539836664,33,59
1539837627,66,80
1539838585,88,37
1539839557,41,79
1539840261,66,29
1539841234,41,61
1539841942,47,54
1539842671,59,53
1539843637,60,37
1539844344,38,51
1539845069,57,36
1539845791,32,73
1539846517,62,62
1539847475,67,41
1539848426,54,50
1539849140,44,57
1539849872,59,37
1539850584,34,47
1539851311,47,42
1539852269,44,46
1539853401,52,54
1539854196,68,57
1539855158,57,59
1539856112,57,63
1539857076,51,123
1539858028,129,77
1539858750,71,21
1539859466,21,51
1539860179,55,54
1539860912,52,22
1539861865,37,65
1539862827,68,34
1539863789,29,60
1539864759,52,68
1539865708,54,56
1539866671,67,38
1539867639,43,97
1539868598,98,67
1539869549,55,30
1539870510,40,44
1539871475,40,105
1539872427,110,70
1539873396,73,70
1539874367,65,49
1539875316,55,46
1539876269,41,85
1539877242,95,44
