DateTime,Entries,UniqueIPs
1539775467,8245,8245
1539776429,8276,8276
1539777143,8293,8293
1539777872,8303,8303
1539778584,8290,8290
1539779308,8294,8294
1539780276,8289,8289
1539781238,8276,8276
1539782184,8285,8285
1539783142,8269,8269
1539783849,8265,8265
1539784571,8268,8268
1539785291,8292,8292
1539786030,8294,8294
1539786998,8270,8270
1539787957,8273,8273
1539788921,8263,8263
1539790132,8259,8259
1539791063,8257,8257
1539791786,8279,8279
1539792531,8308,8308
1539793455,8300,8300
1539794169,8264,8264
1539794895,8284,8284
1539795867,8297,8297
1539796821,8301,8301
1539797538,8280,8280
1539798253,8301,8301
1539798967,8287,8287
1539799715,8303,8303
1539800671,8287,8287
1539801629,8254,8254
1539802344,8174,8174
1539803071,8156,8156
1539803785,8282,8282
1539804510,8297,8297
1539805470,8257,8257
1539806441,8287,8287
1539807412,8299,8299
1539808358,8278,8278
1539809063,8289,8289
1539810040,8270,8270
1539810987,8287,8287
1539811946,8281,8281
1539812650,8290,8290
1539813372,8289,8289
1539814344,8278,8278
1539815049,8262,8262
1539815795,8279,8279
1539816753,8253,8253
1539817715,8268,8268
1539818669,8261,8261
1539819626,8240,8240
1539820585,8242,8242
1539821552,8251,8251
1539822506,8239,8239
1539823227,8232,8232
1539823973,8245,8245
1539824677,8275,8275
1539825401,8241,8241
1539826354,8253,8253
1539827062,8261,8261
1539827791,8253,8253
1539828502,8252,8252
1539829481,8227,8227
1539830180,8258,8258
1539830907,8239,8239
1539831634,8226,8226
1539832354,8243,8243
1539833062,8225,8225
1539833798,8234,8234
1539834769,8230,8230
1539835719,8256,8256
1539836664,8230,8230
1539837627,8216,8216
1539838585,8267,8267
1539839557,8229,8229
1539840261,8266,8266
1539841234,8246,8246
1539841942,8239,8239
1539842671,8245,8245
1539843637,8268,8268
1539844344,8255,8255
1539845069,8276,8276
1539845791,8235,8235
1539846517,8235,8235
1539847475,8261,8261
1539848426,8265,8265
1539849140,8252,8252
1539849872,8274,8274
1539850584,8261,8261
1539851311,8266,8266
1539852269,8264,8264
1539853401,8262,8262
1539854196,8273,8273
1539855158,8271,8271
1539856112,8265,8265
1539857076,8193,8193
1539858028,8245,8245
1539858750,8295,8295
1539859466,8265,8265
1539860179,8266,8266
1539860912,8296,8296
1539861865,8268,8268
1539862827,8302,8302
1539863789,8271,8271
1539864759,8255,8255
1539865708,8253,8253
1539866671,8282,8282
1539867639,8228,8228
1539868598,8259,8259
1539869549,8284,8284
1539870510,8280,8280
1539871475,8215,8215
1539872427,8255,8255
1539873396,8258,8258
1539874367,8274,8274
1539875316,8283,8283
1539876269,8239,8239
1539877242,8290,8290
1539877940,8281,8281
1539878670,8268,8268
1539879634,8211,8211
1539880346,8219,8219
1539881067,8293,8293
1539882033,8283,8283
1539882763,8283,8283
1539883463,8275,8275
1539884180,8261,8261
1539884908,8293,8293
1539885638,8286,8286
1539886605,8267,8267
1539887553,8305,8305
1539888519,8303,8303
1539889475,8278,8278
1539890434,8273,8273
1539891143,8317,8317
1539891872,8299,8299
1539892838,8294,8294
1539893543,8287,8287
1539894273,8284,8284
1539894980,8279,8279
1539895705,8262,8262
1539896435,8255,8255
1539897157,8296,8296
1539897862,8246,8246
1539898583,8257,8257
1539899306,8255,8255
1539900041,8243,8243
1539900988,8271,8271
1539901959,8274,8274
1539902915,8258,8258
1539903878,8243,8243
1539904838,8257,8257
1539906047,8246,8246
1539906758,8243,8243
1539907712,8244,8244
1539908671,8241,8241
1539909380,8233,8233
1539910111,8238,8238
1539911072,8248,8248
1539911784,8248,8248
1539912516,8248,8248
1539913472,8246,8246
1539914434,8232,8232
1539915403,8221,8221
1539916351,8228,8228
1539917061,8226,8226
1539917807,8207,8207
1539918503,8238,8238
1539919230,8217,8217
1539919948,8230,8230
1539920666,8237,8237
1539921680,8225,8225
1539922594,8196,8196
1539923300,8206,8206
1539924032,8189,8189
1539924989,8183,8183
1539925961,8191,8191
1539926661,8202,8202
1539927383,8201,8201
1539928105,8208,8208
1539928832,8220,8220
1539929805,8206,8206
1539930750,8200,8200
1539931716,8221,8221
1539932673,8199,8199
1539933382,8207,8207
1539934100,8200,8200
1539934821,8228,8228
1539935562,8237,8237
1539936517,8245,8245
1539937466,8230,8230
1539938427,8245,8245
1539939410,8243,8243
1539940355,8211,8211
1539941309,8244,8244
1539942021,8232,8232
1539942750,8248,8248
1539943716,8258,8258
1539944675,8242,8242
1539945627,8248,8248
1539946343,8255,8255
1539947077,8272,8272
1539947802,8277,8277
1539948762,8279,8279
1539949468,8259,8259
1539950184,8266,8266
1539950919,8233,8233
1539951876,8267,8267
1539952826,8253,8253
1539953530,8242,8242
1539954262,8196,8196
1539954971,8243,8243
1539955694,8266,8266
1539956669,8274,8274
1539957626,8199,8199
1539958599,8272,8272
1539959555,8218,8218
1539960263,8256,8256
1539960984,8282,8282
1539961705,8309,8309
1539962433,8268,8268
1539963149,8314,8314
1539963868,8271,8271
1539964615,8305,8305
1539965590,8303,8303
1539966264,8295,8295
1539966982,8300,8300
1539967706,8305,8305
1539968437,8307,8307
1539969148,8285,8285
1539969862,8305,8305
1539970592,8304,8304
1539971555,8296,8296
1539972528,8315,8315
1539973470,8271,8271
1539974433,8285,8285
1539975388,8296,8296
1539976363,8274,8274
1539977309,8283,8283
1539978276,8260,8260
1539979238,8281,8281
1539980195,8304,8304
1539981155,8288,8288
1539982112,8279,8279
1539983074,8287,8287
1539984043,8279,8279
1539984980,8291,8291
1539985959,8287,8287
1539986916,8292,8292
1539987874,8253,8253
1539988831,8290,8290
1539989540,8261,8261
1539990270,8279,8279
1539990985,8271,8271
1539991710,8236,8236
1539992421,8263,8263
1539993149,8277,8277
1539993866,8276,8276
1539994673,8250,8250
1539995562,8256,8256
1539996509,8238,8238
1539997478,8181,8181
1539998433,8276,8276
1539999145,8272,8272
1539999864,8252,8252
1540000580,8255,8255
1540001319,8269,8269
1540002022,8254,8254
1540002751,8214,8214
1540003461,8274,8274
