DateTime,Entries,UniqueIPs
1539526528,9447,9447
1539528061,9434,9434
1539528994,9436,9436
1539530197,9431,9431
1539531760,9435,9435
1539533442,9450,9450
1539533670,9452,9452
1539534950,9446,9446
1539536193,9449,9449
1539537370,9450,9450
1539538970,9445,9445
1539540424,9444,9444
1539541531,9451,9451
1539543392,9450,9450
1539544551,9451,9451
1539545744,9454,9454
1539547809,9453,9453
1539549336,9444,9444
1539549744,9445,9445
1539551113,9441,9441
1539552513,9445,9445
1539553347,9440,9440
1539554194,9444,9444
1539556112,9437,9437
1539557798,9430,9430
1539558882,9429,9429
1539560439,9427,9427
1539561401,9426,9426
1539562465,9426,9426
1539564149,9421,9421
1539564993,9422,9422
1539566082,9422,9422
1539568597,9417,9417
1539569702,9418,9418
1539571371,9420,9420
1539572193,9423,9423
1539573340,9425,9425
1539574138,9427,9427
1539575450,9427,9427
1539576883,9430,9430
1539579385,9432,9432
1539580537,9433,9433
1539581745,9425,9425
1539583837,9426,9426
1539585776,9421,9421
1539587136,9424,9424
1539588515,9427,9427
1539589367,9424,9424
1539590606,9431,9431
1539591271,9432,9432
1539592835,9431,9431
1539594251,9430,9430
1539595524,9436,9436
1539597390,9434,9434
1539598465,9428,9428
1539600147,9431,9431
1539601540,9430,9430
1539602921,9435,9435
1539603784,9433,9433
1539604902,9436,9436
1539606055,9440,9440
1539607246,9440,9440
1539608737,9444,9444
1539610262,9446,9446
1539611686,9449,9449
1539612938,9458,9458
1539614531,9458,9458
1539616476,9474,9474
1539618165,9479,9479
1539619495,9485,9485
1539620079,9494,9494
1539620930,9498,9498
1539622592,9489,9489
1539623692,9487,9487
1539624937,9481,9481
1539626194,9486,9486
1539627274,9477,9477
1539628768,9493,9493
1539629982,9484,9484
1539630863,9485,9485
1539632166,9484,9484
1539633885,9488,9488
1539634475,9495,9495
1539635333,9502,9502
1539636160,9489,9489
1539636985,9496,9496
1539638065,9489,9489
1539638929,9498,9498
1539641441,9491,9491
1539641674,9494,9494
1539642930,9489,9489
1539645271,9486,9486
1539646842,9482,9482
1539648645,9471,9471
1539649732,9477,9477
1539651327,9469,9469
1539652535,9471,9471
1539653344,9480,9480
1539654988,9483,9483
1539656926,9496,9496
1539657759,9477,9477
1539659136,9487,9487
1539660689,9490,9490
1539662204,9490,9490
1539664121,9496,9496
1539665810,9483,9483
1539666868,9478,9478
1539667724,9484,9484
1539669331,9471,9471
1539670487,9464,9464
1539671738,9461,9461
1539672997,9461,9461
1539674146,9463,9463
1539677686,9451,9451
1539679011,9456,9456
1539680130,9462,9462
1539681278,9464,9464
1539682136,9470,9470
1539683439,9468,9468
1539684648,9467,9467
1539685851,9464,9464
1539687033,9460,9460
1539688491,9464,9464
1539690028,9463,9463
1539691842,9462,9462
1539692079,9465,9465
1539693309,9465,9465
1539695146,9465,9465
1539696329,9471,9471
1539698208,9472,9472
1539699283,9469,9469
1539700528,9459,9459
1539700958,9462,9462
1539701787,9466,9466
1539703729,9461,9461
1539705122,9439,9439
1539706242,9436,9436
