DateTime,AddedIPs,RemovedIPs
1539551136,1,2
1539552632,3,6
1539554210,4,0
1539556140,3,10
1539557813,0,8
1539558896,0,1
1539560458,6,7
1539561415,2,2
1539562479,3,1
1539564167,2,5
1539565007,2,0
1539566097,3,3
1539567352,2,5
1539568620,1,1
1539569722,3,2
1539571402,3,0
1539572211,2,0
1539573356,5,3
1539574211,2,3
1539575465,2,0
1539576898,2,0
1539577842,0,1
1539579398,4,1
1539580550,3,2
1539581759,1,8
1539583851,6,5
1539585800,0,7
1539587155,5,2
1539588586,2,3
1539589390,3,2
1539590645,4,0
1539591284,1,0
1539592850,2,3
1539594279,4,4
1539595537,3,1
1539597402,5,8
1539598478,1,5
1539600161,5,1
1539601553,1,1
1539603000,5,5
1539603800,5,2
1539604935,5,3
1539607269,9,5
1539608753,8,5
1539610317,8,9
1539611702,6,4
1539612954,10,1
1539614558,13,13
1539616490,19,3
1539618178,11,5
1539619513,10,3
1539620099,9,0
1539620994,5,10
1539622177,6,10
1539622605,4,0
1539623707,9,10
1539624951,8,15
1539626208,9,4
1539627287,6,16
1539628785,19,5
1539629996,10,19
1539630877,2,1
1539632211,9,12
1539633911,13,10
1539634488,8,1
1539635400,7,23
1539636179,10,0
1539636998,7,0
1539638080,8,14
1539638988,9,14
1539641456,20,13
1539641688,4,0
1539642945,7,13
1539645285,12,14
1539646856,9,13
1539648664,6,17
1539649799,5,9
1539651342,10,8
1539653417,22,24
1539654192,11,6
1539655002,11,0
1539656098,15,15
1539657021,13,17
1539657774,5,6
1539659160,20,11
1539660725,13,10
1539662219,10,10
1539664136,18,11
1539665825,11,24
1539666882,8,14
1539667824,7,20
1539670504,17,19
1539671756,14,17
1539673014,8,8
1539674177,11,11
1539677702,23,38
1539679057,9,4
1539681293,16,7
1539682212,6,8
1539683454,8,3
1539684774,9,8
1539686084,6,9
1539687921,13,18
1539688505,3,0
1539690042,7,8
1539691854,11,14
1539692093,3,0
1539693335,6,6
1539695176,11,13
1539696344,5,0
1539698224,15,9
1539699298,5,8
1539700543,14,22
1539700971,3,0
1539701821,4,0
1539702955,9,20
1539703797,7,17
1539705154,8,10
1539706255,3,7
1539707446,13,11
1539708638,9,0
1539709845,6,3
1539711781,6,8
1539713065,5,4
1539714512,12,0
1539716781,7,7
1539718200,8,1
1539719808,31,0
1539720952,20,3
1539722099,24,2
1539723351,18,1
1539724557,32,4
1539725746,36,7
1539726898,34,0
1539728101,26,1
1539729749,30,2
1539731692,30,1
1539732599,18,3
1539733803,17,1
1539735045,12,2
1539736198,18,1
1539737448,22,2
1539738888,29,2
1539740565,27,5
1539741843,24,4
1539743341,27,0
1539745047,24,8
1539746202,18,1
1539747370,15,2
1539749433,37,4
1539750628,16,5
1539752228,22,2
1539754138,7,3
1539755802,14,5
1539756977,7,4
1539758147,5,7
1539760000,5,7
1539761453,3,5
1539763011,10,2
1539764163,5,5
1539765047,0,4
1539766214,3,0
1539767705,8,6
1539769016,4,3
1539770152,9,1
1539771302,2,2
1539772558,4,3
1539773008,1,2
1539773828,4,0
1539774955,3,6
1539776196,12,6
1539777364,14,3
1539778557,15,1
1539780047,18,9
1539781003,18,5
1539782167,8,7
1539783355,11,9
1539784671,12,1
1539786064,22,6
1539787270,14,9
1539788762,14,10
1539790202,3,14
1539791698,7,0
1539792949,5,3
1539794568,4,7
1539795415,1,1
1539796480,3,9
1539798168,10,20
1539799015,4,0
1539800080,6,8
1539801313,3,10
1539802599,10,0
1539803685,6,9
1539804851,3,11
1539806141,0,40
1539807352,3,58
1539808862,5,62
1539810004,6,10
1539810880,7,0
1539812455,4,15
1539813409,3,0
1539814574,9,8
1539816062,8,10
1539817004,4,3
1539818164,5,6
1539819786,8,12
1539821453,13,8
1539822540,4,0
1539824228,7,9
1539825293,9,18
1539826217,5,15
1539827753,7,3
1539828883,2,13
1539830214,9,13
1539831930,4,13
1539833421,3,12
1539834190,1,2
1539835037,2,0
1539836155,1,12
1539837027,0,7
1539837786,3,0
1539838622,2,1
1539839779,5,9
1539840619,8,13
1539843289,17,10
1539845177,6,11
1539845804,1,0
1539846894,6,7
1539847819,1,14
1539849861,5,12
1539850484,1,0
1539851810,2,12
1539852962,2,3
1539854097,2,11
1539855562,10,10
1539856602,4,5
1539857698,3,7
1539859391,37,17
1539860225,10,1
1539861359,16,9
1539862865,8,17
1539864664,7,15
1539865844,7,11
1539866595,2,2
1539867950,2,10
1539869128,3,0
1539870356,5,40
1539871821,4,15
1539873004,1,13
1539873769,2,0
1539875161,6,12
1539875689,2,0
1539879286,14,21
1539880970,1,10
1539882880,7,14
1539884445,6,15
1539885407,2,3
1539886562,2,6
1539888064,4,13
1539889545,5,19
1539890737,2,0
1539891943,10,12
1539893253,21,15
1539894364,14,1
1539894596,3,23
1539896212,21,10
1539897354,9,22
1539898967,32,24
1539900898,26,21
1539902153,16,13
1539903351,14,7
1539904493,27,13
1539905396,25,10
1539908092,54,16
1539909728,14,22
1539910609,11,0
1539911780,12,17
1539912609,6,21
1539913388,7,10
1539914633,2,11
1539915283,3,0
1539917850,21,22
1539918966,3,14
1539919841,0,17
1539921439,0,9
1539922483,1,15
1539924198,4,9
1539926094,7,8
1539927667,2,5
1539929455,4,9
1539931428,8,8
1539933300,7,5
1539934228,2,5
1539935810,7,2
1539936977,3,5
1539937857,0,5
1539938599,2,3
1539940491,3,9
1539942180,3,11
1539943017,2,0
1539944175,2,6
1539944996,1,6
1539947716,7,15
1539949427,4,24
1539951072,4,16
1539951291,2,0
1539952198,1,14
1539953449,5,11
1539954658,3,17
1539955851,6,44
1539957019,9,40
1539958277,3,7
1539960059,14,8
1539961001,7,0
1539962141,8,9
1539963028,8,7
1539964601,5,5
1539965749,4,6
1539966594,3,5
1539968182,4,0
1539969360,3,8
1539971146,6,7
1539972892,14,12
1539974580,7,12
1539975946,2,4
1539977397,5,10
1539978187,3,0
1539979853,5,5
1539981359,1,4
1539982598,2,2
1539983754,2,5
1539984958,1,16
1539986208,3,0
1539987300,5,12
1539988554,5,9
1539989746,3,4
1539990896,0,9
1539991815,1,9
1539992913,3,1
1539993409,0,1
1539994518,2,7
1539996171,8,6
1539997014,4,0
1539998172,19,9
1539999750,10,9
1540001459,4,2
1540003259,7,2
1540004754,8,8
1540005295,4,0
1540006966,4,6
1540007815,2,0
1540008914,2,2
1540010589,3,16
1540011963,1,9
1540013936,4,12
1540015795,3,8
1540017664,10,7
1540019699,13,2
1540021263,7,2
1540022664,4,5
1540024201,1,5
1540024972,2,4
1540025810,2,0
1540026963,2,5
1540027797,0,7
1540028580,7,0
1540030489,3,25
1540032057,2,19
1540033288,1,9
1540036024,8,13
1540037482,4,5
1540038951,3,8
1540040222,3,0
1540041355,3,6
1540042980,6,4
1540044660,8,3
1540044891,1,0
1540046144,3,7
1540046579,2,0
1540048485,14,5
1540050186,7,3
1540051850,4,8
1540053226,4,8
1540054601,2,1
1540055738,3,2
1540057384,5,9
1540058198,3,0
1540059284,1,7
1540060549,1,4
1540062250,4,14
1540064140,2,28
1540065397,4,0
1540066478,4,19
1540067391,0,23
1540068738,1,0
1540070099,2,23
1540070993,2,24
1540071770,1,11
1540072607,3,0
1540073753,1,20
1540075393,4,73
1540077315,6,40
1540078218,1,30
1540078988,2,0
1540079801,1,0
1540080880,2,23
1540082586,2,30
1540083962,1,6
1540085458,1,19
1540086187,1,6
1540087893,2,7
1540088083,1,0
