DateTime,AddedIPs,RemovedIPs
1539540367,55,117
1539541509,32,0
1539543367,48,125
1539544507,42,83
1539545709,51,123
1539547168,60,113
1539548047,49,10
1539549727,38,139
1539550849,18,102
1539552489,44,0
1539554167,49,130
1539556088,45,105
1539557767,67,163
1539558846,49,57
1539560413,64,81
1539561367,56,30
1539562447,44,59
1539564128,58,116
1539564967,21,0
1539566046,27,65
1539567308,53,58
1539568572,36,27
1539569660,29,53
1539571328,48,59
1539572169,23,0
1539573307,38,75
1539574089,28,0
1539575422,71,92
1539576848,74,65
1539577687,32,0
1539579367,69,116
1539580506,43,76
1539581707,49,103
1539583815,106,84
1539585729,83,131
1539587108,83,162
1539588490,53,0
1539589329,36,124
1539590566,67,40
1539591247,26,0
1539592808,70,63
1539594219,57,64
1539595506,51,0
1539597368,85,87
1539598447,41,59
1539600128,76,68
1539601507,47,82
1539602889,63,1
1539603760,43,95
1539604880,52,50
1539606008,55,0
1539607214,53,83
1539608708,58,73
1539610238,62,78
1539611666,78,33
1539612907,45,37
1539614451,87,78
1539616448,118,62
1539618130,94,70
1539619467,45,83
1539620047,30,0
1539620888,56,0
1539622567,64,119
1539623648,70,67
1539624908,93,107
1539626167,112,34
1539627248,87,82
1539628735,85,97
1539629962,98,102
1539630847,35,7
1539632148,100,122
1539633660,93,89
1539634449,58,0
1539635289,55,1
1539636128,49,99
1539636967,48,0
1539638047,63,115
1539638892,48,0
1539641407,128,191
1539641647,9,0
1539642908,63,102
1539645247,150,84
1539646806,75,78
1539648608,88,63
1539649689,51,0
1539651307,100,134
1539652507,71,68
1539653296,53,1
1539654967,98,154
1539656891,184,63
1539657738,53,107
1539659108,95,58
1539660660,134,88
1539662167,90,49
1539664091,127,88
1539665768,81,145
1539666848,74,119
1539667688,33,0
1539669307,86,133
1539670448,78,57
1539671709,95,87
1539672972,133,29
1539674107,103,69
1539677648,282,196
1539678964,104,73
1539680107,102,23
1539681257,83,66
1539682087,57,0
1539683417,94,99
1539684612,108,69
1539685818,88,91
1539687013,100,52
1539688457,106,97
1539690008,74,122
1539691808,161,125
1539692047,20,1
1539693269,98,70
1539695108,250,150
1539696282,155,0
1539698167,243,142
1539699247,128,61
1539700508,178,107
1539700928,39,0
1539701768,137,0
1539703686,196,103
1539705103,83,160
1539706207,72,75
1539707409,75,112
1539708600,68,23
1539709807,97,56
1539710899,55,0
1539711739,42,59
1539712988,80,60
1539714469,93,1
1539716451,150,144
1539717607,56,0
1539719035,133,81
1539719768,43,0
1539720890,77,26
1539722062,74,49
1539723307,74,14
1539724517,95,31
1539725710,90,43
1539726829,81,23
1539728048,94,44
1539729629,80,61
1539731659,124,96
1539732487,75,0
1539733610,64,87
1539734457,53,34
1539736090,132,0
1539737407,94,84
1539738846,81,43
1539740535,108,74
1539741766,81,38
1539743290,112,1
1539744979,123,74
1539746126,100,51
1539747308,102,76
1539749019,128,71
1539750491,120,0
1539752167,111,87
1539753247,77,61
1539754088,66,2
1539755767,123,114
1539756918,88,86
1539758108,62,83
1539759919,84,91
1539760447,41,0
1539761290,37,0
1539762972,72,110
1539764892,118,63
1539766129,56,99
1539767647,83,59
1539768961,98,59
1539770107,93,20
1539771248,67,36
1539772514,98,68
1539772953,31,27
1539773777,39,0
1539774913,53,69
1539776142,73,95
1539777317,53,27
1539778507,70,44
1539780007,86,73
1539780967,74,37
1539782116,69,49
1539783308,88,78
1539784621,77,1
1539786013,106,117
1539787217,70,99
1539788691,88,79
1539789797,98,0
1539790090,19,0
1539791628,94,118
1539792907,79,50
1539794529,94,112
1539795366,40,1
1539796449,95,87
1539798130,135,126
1539798967,62,0
1539800048,64,80
1539801274,70,77
1539802567,83,0
1539804767,143,187
1539806107,203,33
1539807308,333,56
1539808808,290,79
1539809940,85,65
1539810846,47,5
1539812413,79,101
1539813366,60,0
1539814511,57,105
1539816014,84,86
1539816967,28,18
1539818117,44,76
1539819745,67,110
1539821408,110,68
1539822487,74,0
1539824179,79,92
1539826097,85,96
1539827707,83,195
1539828848,67,77
1539830169,82,149
1539831571,73,114
1539832807,68,8
1539834018,72,124
1539834968,40,20
1539836887,121,60
1539838568,100,88
1539840489,111,81
1539843248,153,195
1539845107,92,131
1539845768,37,0
1539847691,114,54
1539848555,53,85
1539850448,124,124
1539851745,93,95
1539852918,88,26
1539854048,77,71
1539855527,114,113
1539856568,65,45
1539857647,78,76
1539858494,80,0
1539860168,173,106
1539861307,138,97
1539862808,155,130
1539864618,190,193
1539865808,90,195
1539866537,58,65
1539867907,97,135
1539869068,90,0
1539870307,98,322
1539871768,107,176
1539872889,87,0
1539873728,64,246
1539875649,125,102
1539879247,180,248
1539880928,104,110
1539882847,154,131
1539884413,99,125
1539885366,61,37
1539886517,86,100
1539888007,156,104
1539889508,93,144
1539890707,79,0
1539891907,87,109
1539893199,75,94
1539894488,95,1
1539896167,128,150
1539897315,87,79
1539898929,147,111
1539900617,122,103
1539900848,14,1
1539902109,59,89
1539903308,46,28
1539904446,59,95
1539905288,56,0
1539908047,166,227
1539909607,70,84
1539910567,50,34
1539912488,103,77
1539913345,46,141
1539914557,66,93
1539915248,34,0
1539917768,148,195
1539918917,75,82
1539919691,50,0
1539921383,108,178
1539922448,59,92
1539924142,93,172
1539926048,99,109
1539927609,62,124
1539929408,100,97
1539931345,105,134
1539933248,112,52
1539934090,80,0
1539935768,128,113
1539937687,111,79
1539938543,49,149
1539939907,94,102
1539940448,28,0
1539942140,159,182
1539942968,60,0
1539944889,104,78
1539947107,130,181
1539947648,36,1
1539948489,107,0
1539949344,83,130
1539951246,154,90
1539952088,64,0
1539953408,116,165
1539954617,80,84
1539955817,120,132
1539956947,124,34
1539958207,100,69
1539960013,147,120
1539960966,71,0
1539962071,86,132
1539962888,59,0
1539964567,126,197
1539966497,157,84
1539968114,115,148
1539969316,90,129
1539971107,96,177
1539972847,121,102
1539973723,70,0
1539974541,51,160
1539975907,89,90
1539977094,88,1
1539977294,20,0
1539978127,62,152
1539979815,133,127
1539980047,22,0
1539981307,86,66
1539982567,98,29
1539983708,116,61
1539984907,88,108
1539986168,90,0
1539987247,59,88
1539988509,74,89
1539989677,85,28
1539991691,127,73
1539993367,96,158
1539994448,60,49
1539995786,76,92
1539996128,20,0
1539996967,45,0
1539998117,75,98
1539999641,95,144
1540001649,148,90
1540003208,78,102
1540004708,87,107
1540005249,31,0
1540006928,113,129
1540007768,46,0
1540008856,84,126
1540010548,133,167
1540011917,82,77
1540013869,104,102
1540015747,95,103
1540016048,25,0
1540017609,152,110
1540019648,187,119
1540021208,124,115
1540022581,100,137
1540024089,110,0
1540024932,47,165
1540025766,56,0
1540026907,117,97
1540027696,61,0
1540028527,61,105
1540030216,77,144
1540030447,14,0
1540032006,67,184
1540033155,54,148
1540034408,78,9
1540035979,85,180
1540037407,110,90
1540038912,86,113
1540040166,91,0
1540041306,66,185
1540042936,95,189
1540044608,85,68
1540044847,11,0
1540046107,79,130
1540046533,22,19
1540048447,116,66
1540050127,85,153
1540051807,87,124
1540052046,26,0
1540053165,127,152
1540054849,104,128
1540056007,95,0
1540057120,69,168
1540057335,15,49
1540058166,57,0
1540059246,54,125
1540060507,56,129
1540062205,94,119
1540064108,99,123
1540065367,59,1
1540067295,83,129
1540068703,62,145
1540070058,64,124
1540070899,46,0
1540072567,86,144
1540073708,45,68
1540075345,58,178
1540077248,115,106
1540078090,56,0
1540079766,172,104
1540080846,59,100
1540082548,133,150
1540083907,86,74
1540085417,94,97
1540086138,34,33
1540087813,107,75
1540088047,7,0
1540089310,57,121
