DateTime,Entries,UniqueIPs
1539538968,24263,24263
1539540412,24206,24206
1539541528,24228,24228
1539543389,24169,24169
1539544542,24134,24134
1539545741,24067,24067
1539547213,24028,24028
1539548060,24056,24056
1539549742,23988,23988
1539551107,23941,23941
1539552507,23968,23968
1539553344,23884,23884
1539554191,23895,23895
1539556108,23844,23844
1539557795,23784,23784
1539558880,23785,23785
1539560436,23768,23768
1539561395,23780,23780
1539562463,23765,23765
1539564146,23727,23727
1539564991,23737,23737
1539566080,23710,23710
1539567327,23694,23694
1539568594,23689,23689
1539569699,23670,23670
1539571366,23661,23661
1539572190,23668,23668
1539573336,23650,23650
1539574124,23661,23661
1539575447,23644,23644
1539576880,23647,23647
1539577722,23666,23666
1539579383,23620,23620
1539580533,23589,23589
1539581737,23554,23554
1539583835,23582,23582
1539585764,23550,23550
1539587133,23475,23475
1539588509,23508,23508
1539589357,23445,23445
1539590599,23458,23458
1539591269,23477,23477
1539592833,23482,23482
1539594243,23476,23476
1539595522,23512,23512
1539597386,23511,23511
1539598463,23501,23501
1539600144,23513,23513
1539601538,23493,23493
1539602912,23527,23527
1539603779,23491,23491
1539604898,23487,23487
1539606049,23523,23523
1539607243,23503,23503
1539608734,23487,23487
1539610259,23473,23473
1539611684,23503,23503
1539612933,23503,23503
1539614469,23526,23526
1539616474,23548,23548
1539618163,23561,23561
1539619493,23530,23530
1539620077,23543,23543
1539620919,23589,23589
1539622590,23547,23547
1539623683,23552,23552
1539624935,23509,23509
1539626191,23521,23521
1539627272,23508,23508
1539628759,23464,23464
1539629979,23461,23461
1539630861,23465,23465
1539632164,23444,23444
1539633880,23464,23464
1539634472,23484,23484
1539635320,23520,23520
1539636157,23495,23495
1539636983,23506,23506
1539638063,23458,23458
1539638922,23491,23491
1539641439,23422,23422
1539641672,23428,23428
1539642928,23410,23410
1539645269,23460,23460
1539646839,23459,23459
1539648642,23482,23482
1539649719,23517,23517
1539651324,23508,23508
1539652531,23508,23508
1539653336,23537,23537
1539654985,23490,23490
1539656923,23558,23558
1539657756,23544,23544
1539659130,23567,23567
1539660683,23611,23611
1539662200,23649,23649
1539664113,23676,23676
1539665803,23632,23632
1539666865,23606,23606
1539667716,23625,23625
1539669329,23594,23594
1539670484,23601,23601
1539671735,23583,23583
1539672993,23616,23616
1539674143,23596,23596
1539677684,23582,23582
1539679006,23596,23596
1539680127,23637,23637
1539681275,23631,23631
1539682122,23665,23665
1539683437,23641,23641
1539684642,23659,23659
1539685844,23643,23643
1539687031,23644,23644
1539688488,23652,23652
1539690025,23595,23595
1539691837,23617,23617
1539692077,23627,23627
1539693301,23622,23622
1539695139,23599,23599
1539696325,23639,23639
1539698201,23613,23613
1539699272,23610,23610
1539700526,23603,23603
1539700952,23612,23612
1539701784,23632,23632
1539703717,23663,23663
1539705120,23629,23629
1539706240,23619,23619
1539707427,23590,23590
1539708622,23619,23619
1539709830,23659,23659
1539710924,23693,23693
1539711765,23682,23682
1539713011,23706,23706
1539714491,23749,23749
1539716744,23749,23749
1539718064,23788,23788
1539719792,23801,23801
1539720914,23825,23825
1539722078,23842,23842
1539723331,23865,23865
1539724537,23885,23885
1539725729,23895,23895
1539726848,23907,23907
1539728076,23925,23925
1539729664,23927,23927
1539731674,23935,23935
1539732505,23962,23962
1539733631,23944,23944
1539735008,23997,23997
1539736119,24040,24040
1539737432,24068,24068
1539738872,24083,24083
1539740551,24102,24102
1539741790,24122,24122
1539743316,24182,24182
1539745015,24217,24217
1539746155,24238,24238
1539747338,24255,24255
1539749056,24287,24287
1539750515,24365,24365
1539752201,24383,24383
1539753274,24384,24384
1539754110,24436,24436
1539755786,24445,24445
1539756946,24447,24447
1539758128,24430,24430
1539759952,24426,24426
1539760477,24444,24444
1539761319,24466,24466
1539762992,24442,24442
1539764930,24484,24484
1539766156,24452,24452
1539767684,24477,24477
1539768987,24517,24517
1539770135,24575,24575
1539771270,24595,24595
1539772536,24629,24629
1539772990,24640,24640
1539773809,24666,24666
1539774937,24660,24660
1539776161,24641,24641
1539777342,24653,24653
1539778529,24655,24655
1539780030,24652,24652
1539780986,24671,24671
1539782147,24691,24691
1539783339,24693,24693
1539784640,24740,24740
1539786041,24718,24718
1539787248,24686,24686
1539788712,24696,24696
1539789825,24777,24777
1539790114,24791,24791
1539791658,24789,24789
1539792930,24819,24819
1539794552,24811,24811
1539795396,24836,24836
1539796463,24855,24855
1539798146,24875,24875
1539798997,24923,24923
1539800063,24913,24913
1539801290,24928,24928
1539802583,24989,24989
1539803669,24993,24993
1539804807,24961,24961
1539806125,25133,25133
1539807333,25429,25429
1539808844,25643,25643
1539809972,25655,25655
1539810864,25676,25676
1539812438,25664,25664
1539813389,25702,25702
1539814543,25658,25658
1539816042,25651,25651
1539816984,25656,25656
1539818146,25641,25641
1539819768,25601,25601
1539821434,25630,25630
1539822504,25689,25689
1539824209,25689,25689
1539826132,25685,25685
1539827735,25636,25636
1539828865,25638,25638
1539830194,25596,25596
1539831595,25565,25565
1539832841,25611,25611
1539834051,25578,25578
1539835004,25594,25594
1539836931,25675,25675
1539838600,25685,25685
1539840521,25724,25724
1539843273,25727,25727
1539845149,25712,25712
1539845787,25742,25742
1539847710,25809,25809
1539848580,25811,25811
1539850466,25813,25813
1539851765,25836,25836
1539852944,25897,25897
1539854079,25931,25931
1539855545,25950,25950
1539856585,25988,25988
1539857680,25989,25989
1539858530,26017,26017
1539860191,26021,26021
1539861337,26003,26003
1539862842,26040,26040
1539864649,26089,26089
1539865824,26102,26102
1539866578,26112,26112
1539867928,26143,26143
1539869091,26205,26205
1539870337,26228,26228
1539871786,26285,26285
1539872921,26352,26352
1539873754,26328,26328
1539875674,26347,26347
1539879269,26338,26338
1539880952,26335,26335
1539882863,26360,26360
1539884429,26349,26349
1539885384,26381,26381
1539886543,26381,26381
1539888043,26438,26438
1539889529,26410,26410
1539890723,26465,26465
1539891925,26432,26432
1539893217,26429,26429
1539894527,26476,26476
1539896195,26462,26462
1539897336,26479,26479
1539898946,26510,26510
1539900647,26515,26515
1539900878,26525,26525
1539902135,26501,26501
1539903335,26512,26512
1539904475,26486,26486
1539905322,26503,26503
1539908075,26416,26416
1539909640,26419,26419
1539910591,26421,26421
1539912514,26435,26435
1539913371,26379,26379
1539914578,26365,26365
1539915265,26389,26389
1539917806,26348,26348
