DateTime,Entries,UniqueIPs
1539540393,3466,3466
1539541522,3472,3472
1539543382,3455,3455
1539544526,3446,3446
1539545729,3438,3438
1539547199,3431,3431
1539548056,3439,3439
1539549737,3415,3415
1539552037,3391,3391
1539552501,3394,3394
1539554181,3384,3384
1539556102,3381,3381
1539557784,3350,3350
1539558864,3342,3342
1539560427,3333,3333
1539561381,3347,3347
1539562458,3345,3345
1539564139,3331,3331
1539564981,3339,3339
1539566067,3332,3332
1539567322,3343,3343
1539568587,3349,3349
1539569681,3343,3343
1539571353,3336,3336
1539572182,3343,3343
1539573323,3323,3323
1539574107,3335,3335
1539575437,3333,3333
1539576865,3331,3331
1539577705,3339,3339
1539579377,3339,3339
1539580525,3337,3337
1539581725,3328,3328
1539583829,3315,3315
1539585750,3302,3302
1539587121,3300,3300
1539588504,3314,3314
1539589344,3291,3291
1539590585,3293,3293
1539591261,3297,3297
1539592822,3300,3300
1539594232,3301,3301
1539595518,3309,3309
1539597380,3306,3306
1539598458,3307,3307
1539600138,3303,3303
1539601529,3292,3292
1539602903,3312,3312
1539603774,3302,3302
1539604892,3298,3298
1539606032,3310,3310
1539607229,3300,3300
1539608724,3297,3297
1539610252,3296,3296
1539611678,3305,3305
1539612921,3311,3311
1539614463,3295,3295
1539616464,3305,3305
1539618149,3307,3307
1539619483,3297,3297
1539620063,3301,3301
1539620903,3306,3306
1539622580,3299,3299
1539623668,3299,3299
1539624921,3334,3334
1539626181,3393,3393
1539627262,3418,3418
1539628747,3434,3434
1539629974,3444,3444
1539630856,3466,3466
1539632158,3473,3473
1539633875,3470,3470
1539634463,3483,3483
1539635303,3493,3493
1539636143,3483,3483
1539636978,3505,3505
1539638057,3512,3512
1539638910,3518,3518
1539641424,3523,3523
1539641662,3522,3522
1539642922,3507,3507
1539645264,3524,3524
1539646826,3520,3520
1539648629,3524,3524
1539649706,3535,3535
1539651318,3533,3533
1539652521,3533,3533
1539653319,3546,3546
1539654979,3535,3535
1539656917,3570,3570
1539657750,3552,3552
1539659124,3555,3555
1539660676,3554,3554
1539662185,3558,3558
1539664103,3561,3561
1539665788,3557,3557
1539666860,3547,3547
1539667705,3553,3553
1539669322,3547,3547
1539670468,3568,3568
1539671728,3598,3598
1539672987,3671,3671
1539674129,3718,3718
1539677669,3838,3838
1539678992,3857,3857
1539680121,3889,3889
1539681270,3911,3911
1539682104,3927,3927
1539683431,3951,3951
1539684627,3976,3976
1539685832,3996,3996
1539687025,4047,4047
1539688475,4050,4050
1539690019,4061,4061
1539691822,4076,4076
1539692062,4080,4080
1539693289,4114,4114
1539695129,4231,4231
1539696295,4344,4344
1539698187,4465,4465
1539699258,4546,4546
1539700520,4637,4637
1539700944,4662,4662
1539701778,4779,4779
1539703701,4839,4839
1539705115,4835,4835
1539706231,4844,4844
1539707421,4834,4834
1539708612,4841,4841
1539709825,4842,4842
1539710915,4859,4859
1539711751,4860,4860
1539713001,4859,4859
1539714481,4888,4888
1539716731,4917,4917
1539718059,4939,4939
1539719782,4953,4953
1539720902,4960,4960
1539722072,4950,4950
1539723320,4960,4960
1539724532,4975,4975
1539725723,4983,4983
1539726842,4992,4992
1539728063,4999,4999
1539729648,5003,5003
1539731669,4992,4992
1539732500,5008,5008
1539733621,5006,5006
1539735627,5018,5018
1539736104,5023,5023
1539737421,4992,4992
1539738860,4996,4996
1539740545,4993,4993
1539741778,5003,5003
1539743304,5023,5023
1539744997,5025,5025
1539746143,5038,5038
1539747324,5037,5037
1539749044,5038,5038
1539750509,5055,5055
1539752183,5046,5046
1539753264,5052,5052
1539754105,5063,5063
1539755781,5058,5058
1539756934,5059,5059
1539758121,5058,5058
1539759941,5059,5059
1539760462,5081,5081
1539761306,5092,5092
1539762985,5082,5082
1539764912,5090,5090
1539766149,5079,5079
1539767668,5085,5085
1539768973,5085,5085
1539770125,5091,5091
1539771264,5098,5098
1539772529,5091,5091
1539772976,5092,5092
1539773795,5098,5098
1539774926,5097,5097
1539776155,5090,5090
1539777331,5097,5097
1539778524,5105,5105
1539780024,5110,5110
1539780981,5112,5112
1539782137,5113,5113
1539783328,5118,5118
1539784635,5134,5134
1539786027,5135,5135
1539787235,5139,5139
1539788706,5136,5136
1539789812,5147,5147
1539790103,5151,5151
1539791648,5139,5139
1539792921,5135,5135
1539794542,5131,5131
1539795384,5143,5143
1539796458,5137,5137
1539798141,5141,5141
1539798984,5149,5149
1539800058,5131,5131
1539801285,5112,5112
1539802577,5127,5127
1539803660,5127,5127
1539804797,5128,5128
1539806119,5147,5147
1539807323,5188,5188
1539808829,5241,5241
1539809957,5251,5251
1539810858,5265,5265
1539812426,5266,5266
1539813378,5282,5282
1539814528,5277,5277
1539816028,5282,5282
1539816979,5287,5287
1539818133,5276,5276
1539819758,5273,5273
1539821424,5276,5276
1539822498,5285,5285
1539824198,5274,5274
1539826115,5269,5269
1539827725,5229,5229
1539828859,5229,5229
1539830184,5216,5216
1539831589,5216,5216
1539832827,5227,5227
1539834035,5212,5212
1539834988,5213,5213
1539836907,5208,5208
1539838586,5201,5201
1539840504,5186,5186
1539843261,5148,5148
1539845132,5129,5129
1539845781,5134,5134
1539847704,5131,5131
1539848573,5109,5109
1539850461,5105,5105
1539851758,5085,5085
1539852933,5084,5084
1539854069,5066,5066
1539855539,5045,5045
1539856579,5030,5030
1539857667,5033,5033
1539858513,5065,5065
1539860184,5118,5118
1539861324,5176,5176
1539862828,5177,5177
1539864636,5134,5134
1539865819,5027,5027
1539866564,5006,5006
1539867923,4946,4946
1539869085,4965,4965
1539870327,4758,4758
1539871781,4648,4648
1539872904,4664,4664
1539873742,4519,4519
1539875663,4523,4523
1539879260,4506,4506
1539880943,4504,4504
1539882858,4505,4505
1539884424,4494,4494
1539885379,4489,4489
1539886533,4483,4483
1539888028,4484,4484
1539889519,4477,4477
1539890717,4500,4500
1539891918,4508,4508
1539893211,4502,4502
1539894511,4531,4531
1539896182,4534,4534
1539897331,4538,4538
1539898940,4535,4535
1539900632,4548,4548
1539900863,4549,4549
1539902124,4546,4546
1539903323,4549,4549
1539904462,4527,4527
1539905304,4542,4542
1539908062,4536,4536
1539909627,4527,4527
1539910581,4535,4535
1539912503,4536,4536
1539913360,4519,4519
1539914573,4510,4510
1539915260,4514,4514
1539917790,4501,4501
1539918939,4502,4502
1539919706,4511,4511
1539921400,4497,4497
1539922460,4488,4488
1539924154,4472,4472
1539926064,4473,4473
1539927629,4460,4460
1539929420,4445,4445
1539931358,4413,4413
1539933266,4408,4408
1539934118,4415,4415
1539935782,4408,4408
1539937702,4427,4427
1539938562,4406,4406
1539939922,4422,4422
1539940463,4432,4432
1539942150,4475,4475
1539942983,4497,4497
1539944907,4505,4505
1539947124,4495,4495
1539947664,4515,4515
1539948512,4544,4544
1539949357,4537,4537
1539951264,4555,4555
1539952110,4570,4570
1539953425,4553,4553
1539954635,4560,4560
1539955828,4559,4559
1539956967,4570,4570
1539958231,4576,4576
1539960027,4594,4594
1539960978,4604,4604
1539962083,4610,4610
1539962903,4623,4623
1539964579,4614,4614
1539966516,4632,4632
1539968134,4636,4636
1539969333,4641,4641
1539971117,4637,4637
1539972860,4654,4654
1539973737,4667,4667
1539974554,4656,4656
1539975920,4661,4661
1539977313,4685,4685
1539978149,4690,4690
1539979827,4673,4673
1539980065,4680,4680
1539981325,4682,4682
1539982578,4707,4707
1539983724,4716,4716
1539984925,4713,4713
1539986180,4724,4724
1539987261,4721,4721
1539988523,4716,4716
1539989700,4731,4731
1539991702,4743,4743
1539993381,4724,4724
1539994468,4726,4726
1539995800,4731,4731
1539996143,4735,4735
1539996983,4745,4745
1539998134,4732,4732
1539999661,4706,4706
1540001663,4711,4711
1540003230,4710,4710
1540004724,4705,4705
1540005265,4712,4712
1540006942,4703,4703
1540007783,4711,4711
1540008884,4698,4698
1540010566,4696,4696
1540011936,4698,4698
1540013882,4697,4697
1540015767,4702,4702
1540016064,4708,4708
1540017636,4717,4717
1540019667,4722,4722
1540021231,4717,4717
1540022594,4726,4726
1540024100,4745,4745
1540024943,4729,4729
1540025782,4740,4740
1540026921,4737,4737
1540027712,4740,4740
1540028548,4727,4727
1540030238,4706,4706
1540030462,4708,4708
1540032024,4636,4636
1540033172,4632,4632
1540034429,4648,4648
1540035989,4612,4612
1540037437,4621,4621
1540038925,4621,4621
1540040184,4638,4638
1540041321,4630,4630
1540042952,4615,4615
1540044622,4620,4620
1540044861,4621,4621
1540046123,4615,4615
1540046550,4613,4613
1540048461,4618,4618
1540050148,4612,4612
1540051830,4599,4599
1540052055,4601,4601
1540053179,4585,4585
1540054859,4563,4563
1540056025,4610,4610
