DateTime,Entries,UniqueIPs
1539151468,1259,1300
1539153393,1253,1294
1539155318,1240,1278
1539157227,1233,1272
1539161056,1199,1238
1539163003,1190,1229
1539164891,1195,1234
1539166827,1194,1234
1539168747,1188,1227
1539170660,1214,1254
1539172580,1206,1246
1539178357,1151,1190
1539180504,1146,1185
1539182430,1131,1169
1539184337,1135,1174
1539186255,1169,1210
1539188674,1170,1209
1539190571,1152,1189
1539192492,1148,1183
1539194437,1140,1174
1539196353,1132,1166
1539198261,1126,1158
1539202108,1099,1130
1539204011,1084,1115
1539205951,1090,1120
1539209777,1063,1093
1539213617,1047,1077
1539221570,994,1024
1539223476,996,1026
1539225385,1001,1033
1539227295,999,1033
1539229229,992,1028
1539231139,1001,1037
1539233053,993,1029
1539234995,1017,1055
1539236910,1025,1059
1539238829,1044,1080
1539240749,1048,1081
1539242672,1065,1097
1539244574,1070,1099
1539246506,1097,1126
1539248425,1089,1119
1539252259,1075,1105
1539254170,1081,1110
1539256108,1087,1115
1539258014,1085,1116
1539260686,1095,1126
1539262588,1113,1144
1539266468,1117,1148
1539268341,1119,1150
1539270268,1132,1163
1539272172,1139,1169
1539276269,1093,1122
1539282009,1048,1077
1539283932,1044,1073
1539285888,1055,1085
1539287773,1071,1101
1539289707,1068,1099
1539291635,1067,1100
1539293534,1069,1102
1539295471,1089,1123
1539297372,1087,1121
1539299295,1100,1134
1539301211,1099,1130
1539303139,1125,1156
1539305056,1149,1180
1539306987,1161,1192
1539308894,1154,1185
1539310828,1147,1181
1539314673,1120,1154
1539316570,1127,1161
1539318503,1112,1145
1539320440,1118,1151
1539322342,1118,1151
1539324271,1121,1156
1539326171,1124,1159
1539328102,1123,1158
1539330022,1122,1159
1539332187,1111,1147
1539334092,1100,1137
1539336009,1079,1116
1539337931,1090,1127
1539339856,1094,1131
1539343689,1090,1126
1539345664,1081,1116
1539347539,1075,1109
1539349467,1079,1113
1539353310,1082,1116
1539355213,1093,1128
1539357385,1088,1122
1539359293,1077,1111
1539361230,1101,1136
1539363142,1105,1139
1539366984,1133,1167
1539368895,1138,1171
1539370843,1142,1176
1539372741,1136,1169
1539374670,1135,1168
1539376571,1121,1153
1539378507,1122,1154
1539380414,1124,1158
1539382341,1125,1159
1539384266,1149,1182
1539386429,1153,1186
1539388345,1160,1193
1539390257,1166,1203
1539392192,1160,1197
1539394090,1164,1203
1539396033,1169,1208
1539397940,1180,1216
1539399868,1198,1235
1539403707,1173,1208
1539407538,1165,1200
1539409457,1165,1198
1539411382,1163,1196
1539413294,1169,1202
1539415220,1167,1199
1539417155,1169,1199
1539419053,1172,1203
1539420986,1183,1213
1539422892,1188,1218
1539424835,1197,1227
1539428670,1203,1232
1539430572,1196,1225
1539432508,1205,1233
1539434411,1214,1243
1539436349,1210,1240
1539438253,1241,1273
1539442105,1218,1250
1539446182,1209,1242
1539448137,1209,1244
1539450040,1213,1251
1539451939,1231,1270
1539453862,1231,1272
1539455783,1234,1277
1539457695,1236,1276
1539459610,1240,1280
1539461541,1251,1291
1539463454,1259,1300
1539465387,1264,1305
1539467306,1266,1309
1539469214,1265,1307
1539473056,1245,1286
1539474983,1245,1287
1539476895,1236,1277
1539478832,1232,1273
1539480738,1238,1279
1539482668,1237,1280
1539484572,1235,1277
1539486496,1239,1281
1539488410,1256,1299
1539490334,1255,1298
1539492268,1277,1320
1539494189,1276,1319
1539496093,1278,1322
1539498028,1274,1318
1539499945,1251,1295
1539501856,1258,1302
1539503908,1263,1307
1539505940,1272,1317
1539507869,1270,1315
1539509771,1272,1316
1539511695,1265,1308
