DateTime,AddedIPs,RemovedIPs
1539151468,10,23
1539153393,16,9
1539155318,13,10
1539157227,14,17
1539161056,21,24
1539163003,11,10
1539164891,10,4
1539166827,12,5
1539168747,11,10
1539170660,18,4
1539172580,11,8
1539178357,9,35
1539180504,9,17
1539182430,9,13
1539184337,14,10
1539186255,19,15
1539188674,18,6
1539190571,6,10
1539192492,15,3
1539194437,6,6
1539196353,11,11
1539198261,7,8
1539202108,19,10
1539204011,14,5
1539205951,11,9
1539209777,10,7
1539213617,14,42
1539221570,16,44
1539223476,14,10
1539225385,16,15
1539227295,10,12
1539229229,10,22
1539231139,12,9
1539233053,7,11
1539234995,24,17
1539236910,20,16
1539238829,24,15
1539240749,21,12
1539242672,20,17
1539244574,16,13
1539246506,19,8
1539248425,13,11
1539252259,9,18
1539254170,13,15
1539256108,9,8
1539258014,18,8
1539260686,11,23
1539262588,9,14
1539266468,9,26
1539268341,12,12
1539270268,12,6
1539272172,22,5
1539276269,15,21
1539282009,12,27
1539283932,12,0
1539285888,20,11
1539287773,10,8
1539289707,16,7
1539291635,10,11
1539293534,10,12
1539295471,15,3
1539297372,8,14
1539299295,6,12
1539301211,14,12
1539303139,16,14
1539305056,13,11
1539306987,7,9
1539308894,9,17
1539310828,8,14
1539314673,15,26
1539316570,13,13
1539318503,11,13
1539320440,11,18
1539322342,15,20
1539324271,12,0
1539326171,28,15
1539328102,22,21
1539330022,14,23
1539332187,8,26
1539334092,10,11
1539336009,6,14
1539337931,6,8
1539339856,11,0
1539343689,20,20
1539345664,14,15
1539347539,18,9
1539349467,15,0
1539353310,17,15
1539355213,18,0
1539357385,9,27
1539359293,9,0
1539361230,14,11
1539363142,12,0
1539366984,20,5
1539368895,12,0
1539370843,10,15
1539372741,16,0
1539374670,8,0
1539376571,5,10
1539378507,8,18
1539380414,15,6
1539382341,11,15
1539384266,18,25
1539386429,8,11
1539388345,16,17
1539390257,18,11
1539392192,7,3
1539394090,8,17
1539396033,12,9
1539397940,13,19
1539399868,4,0
1539403707,9,8
1539407538,21,15
1539409457,17,28
1539411382,17,16
1539413294,28,0
1539415220,22,0
1539417155,13,35
1539419053,17,0
1539420986,16,17
1539422892,6,27
1539424835,14,13
1539428670,9,6
1539430572,14,7
1539432508,17,11
1539434411,10,23
1539436349,9,27
1539438253,20,0
1539442105,15,22
1539446182,17,11
1539448137,9,8
1539450040,16,10
1539451939,9,9
1539453862,16,13
1539455783,12,0
1539457695,17,13
1539459610,17,12
1539461541,13,21
1539463454,12,16
1539465387,12,9
1539467306,18,18
1539469214,15,14
1539473056,18,7
1539474983,14,8
1539476895,15,0
1539478832,7,0
1539480738,9,11
1539482668,9,9
1539484572,14,16
1539486496,8,0
1539488410,10,16
1539490334,9,0
1539492268,10,0
1539494189,20,0
1539496093,22,26
1539498028,14,9
1539499945,17,0
1539501856,30,29
1539503908,15,13
1539505940,28,0
1539507869,18,17
1539509771,6,6
1539511695,10,6
1539513616,6,11
1539515538,19,6
1539517465,12,10
1539519387,15,16
1539521293,13,25
1539523217,17,0
1539525132,12,18
1539527055,18,15
1539528979,16,0
1539530890,6,0
1539532830,14,0
1539534740,8,13
1539536668,11,0
1539538571,14,11
1539540495,11,9
1539542416,9,17
1539544341,15,0
1539546256,25,0
1539548195,16,7
1539550097,8,6
1539552017,14,12
1539553932,13,1
1539555854,10,8
1539557782,12,19
1539559694,13,18
1539561652,9,5
1539563563,9,16
1539565475,6,0
1539567393,9,7
1539569311,5,4
1539571220,16,11
1539573152,8,9
1539577000,17,11
1539578914,14,13
1539580836,26,0
1539582741,25,16
1539584665,22,26
1539586570,13,0
1539588507,22,39
1539590455,21,22
1539592581,20,20
1539594523,18,0
1539596426,10,0
1539598355,7,0
1539600254,10,0
1539602196,15,17
1539604113,11,17
1539606043,10,0
1539607944,13,0
1539609868,14,11
1539611777,11,0
1539613697,18,17
1539617545,13,0
1539619738,8,12
1539621613,18,0
1539623552,11,0
1539625467,9,17
1539627385,12,0
1539629551,15,35
1539631468,14,18
1539633370,8,15
1539635302,7,13
1539637463,11,11
1539639383,8,0
1539641314,10,11
1539643211,18,9
1539645140,15,14
1539647059,12,0
1539648984,9,13
1539650893,15,14
1539654737,9,33
1539656664,8,15
1539658584,12,16
1539660488,14,16
1539662433,8,12
1539664337,15,8
1539666257,16,0
1539668183,22,25
1539670094,10,16
1539672014,23,0
1539673937,16,0
1539675857,15,8
1539677780,17,0
1539679693,26,18
1539681630,12,7
1539683553,9,7
1539685474,14,5
1539687375,12,0
1539689290,13,5
1539691264,12,2
1539693134,11,7
1539695055,15,0
1539698911,2,10
1539700826,13,4
1539703008,11,1
1539704907,11,11
1539707308,18,20
1539709233,9,18
1539711135,12,14
1539713322,8,3
1539715226,5,19
1539717151,10,0
1539719052,6,0
1539720991,7,5
1539722908,6,9
1539725053,12,6
1539727004,6,8
1539729138,7,13
1539731066,7,0
1539732995,9,9
1539734920,4,9
1539736831,14,14
1539738745,2,0
1539740666,6,0
1539742597,8,10
1539744508,17,0
1539746436,14,15
1539748390,8,10
1539750257,8,14
1539752171,13,12
1539754107,18,12
1539756031,13,21
1539757974,24,15
1539759871,15,9
1539761785,20,22
1539765617,17,25
1539767534,7,10
1539769465,15,7
1539771380,11,5
1539773555,15,5
1539775463,8,6
1539777372,15,15
1539779305,19,10
1539781235,15,8
1539783139,23,21
1539785074,12,15
1539786995,10,15
1539788918,7,7
1539791059,8,5
1539792999,14,6
1539794892,10,9
1539796818,14,12
1539798750,12,16
1539800667,10,0
1539802568,13,12
1539804507,18,6
1539806437,3,8
1539808355,10,21
1539810512,5,5
1539812427,9,10
1539814341,11,5
1539816260,9,8
1539818187,10,11
1539820099,17,9
1539822017,16,15
1539823970,9,10
1539825852,7,0
1539827788,7,16
1539829934,12,16
1539831858,12,0
1539833795,11,0
1539835716,5,18
1539837624,11,13
1539839554,16,13
1539841698,21,11
1539843634,25,7
1539845538,18,13
1539847472,14,19
1539849370,13,19
1539851308,10,10
1539853397,19,20
1539855618,6,7
1539857540,10,5
1539859463,14,9
1539861384,18,7
1539863292,15,26
1539865228,13,12
1539867142,14,0
1539869053,23,8
1539870982,11,8
1539872893,15,8
1539874847,12,0
1539876737,14,11
1539878667,12,10
1539880570,11,7
1539884653,21,17
1539886602,14,0
1539890431,14,22
1539892340,11,13
1539894270,9,10
1539896199,14,5
1539898096,17,9
1539900038,8,7
1539901956,12,18
1539903874,15,4
1539906043,10,6
1539908184,11,5
1539910107,10,8
1539912009,6,11
1539913943,14,13
1539915856,13,0
1539917803,14,13
1539919691,14,0
