DateTime,AddedIPs,RemovedIPs
1539151468,33,51
1539153393,49,31
1539155318,42,50
1539157227,42,45
1539161056,51,43
1539163003,31,52
1539164891,28,33
1539166827,24,29
1539168747,40,23
1539170660,50,36
1539172580,41,49
1539178357,38,42
1539180504,34,35
1539182430,35,39
1539184337,42,32
1539186255,63,44
1539188674,46,60
1539190571,35,51
1539192492,52,32
1539194437,34,50
1539196353,45,34
1539198261,46,42
1539202108,45,48
1539204011,29,45
1539205951,36,30
1539209777,46,39
1539213617,47,42
1539221570,46,45
1539223476,50,50
1539225385,47,45
1539227295,43,47
1539229229,38,47
1539231139,46,40
1539233053,42,49
1539234995,56,37
1539236910,48,59
1539238829,54,48
1539240749,52,52
1539242672,54,53
1539244574,49,53
1539246506,36,49
1539248425,48,37
1539252259,34,51
1539254170,40,35
1539256108,39,36
1539258014,57,37
1539260686,58,57
1539262588,44,61
1539266468,39,45
1539268341,43,33
1539270268,39,43
1539272172,47,41
1539276269,43,52
1539282009,53,42
1539283932,37,48
1539285888,59,41
1539287773,38,58
1539289707,54,37
1539291635,39,55
1539293534,40,36
1539295471,38,42
1539297372,40,39
1539299295,28,34
1539301211,43,30
1539303139,44,41
1539305056,43,43
1539306987,24,48
1539308894,48,25
1539310828,43,45
1539314673,53,44
1539316570,43,51
1539318503,47,48
1539320440,43,46
1539322342,53,43
1539324271,57,54
1539326171,60,56
1539328102,59,61
1539330022,53,55
1539332187,35,57
1539334092,41,39
1539336009,22,39
1539337931,19,23
1539339856,30,20
1539343689,61,28
1539345664,44,55
1539347539,49,45
1539349467,47,51
1539353310,41,49
1539355213,48,40
1539357385,44,46
1539359293,34,43
1539361230,52,41
1539363142,45,46
1539366984,45,43
1539368895,43,45
1539370843,54,47
1539372741,53,56
1539374670,40,46
1539376571,35,46
1539378507,42,30
1539380414,51,40
1539382341,42,53
1539384266,59,49
1539386429,45,54
1539388345,53,46
1539390257,56,54
1539392192,49,57
1539394090,35,47
1539396033,46,32
1539397940,50,43
1539399868,48,53
1539403707,48,47
1539407538,55,47
