DateTime,AddedIPs,RemovedIPs
1539715696,33,41
1539716668,66,46
1539717612,47,27
1539718582,44,42
1539719542,41,41
1539720512,38,34
1539721465,37,31
1539722424,61,60
1539723639,42,39
1539724596,35,48
1539725575,38,38
1539726491,35,44
1539727466,49,52
1539728410,39,41
1539729634,36,42
1539730591,33,41
1539731555,27,53
1539732490,51,57
1539733463,44,56
1539734425,38,44
1539735381,32,39
1539736338,51,58
1539737293,42,63
1539738281,39,63
1539739239,40,55
1539740172,59,50
1539741142,46,55
1539742114,35,39
1539743074,75,46
1539744014,34,5
1539744973,49,83
1539745942,49,2
1539746906,38,94
1539747861,34,4
1539748821,37,67
1539749797,37,101
1539750738,1,0
1539751693,28,45
1539752678,49,87
1539753609,54,4
1539754573,68,41
1539755551,48,55
1539756526,41,83
1539757472,44,57
1539758441,52,54
1539759372,25,6
1539760345,53,86
1539761309,43,54
1539762265,33,46
1539763224,28,3
1539764197,45,82
1539765155,43,0
1539766340,62,87
1539767309,49,54
1539768257,44,62
1539769211,50,57
1539770208,48,67
1539771140,57,49
1539772091,67,35
1539773060,73,61
1539774043,47,18
1539774985,75,64
1539775943,59,60
1539776894,45,60
1539777880,47,52
1539778823,50,56
1539779785,35,53
1539780757,78,66
1539781717,44,59
1539782674,53,50
1539783612,43,45
1539784579,20,45
1539785544,45,51
1539786493,42,3
1539787465,30,48
1539788425,46,39
1539789507,29,57
1539790596,41,81
1539791556,33,3
1539792539,38,66
1539793463,42,85
1539794412,42,9
1539795389,40,87
1539796360,37,49
1539797302,42,41
1539798261,43,5
1539799238,39,73
1539800192,38,6
1539801143,46,91
1539802094,30,3
1539803079,67,48
1539804011,93,1724
1539804985,42,83
1539805942,33,4
1539807420,48,88
1539808366,24,38
1539809544,33,41
1539810517,35,37
1539811472,45,45
1539812431,50,42
1539813380,34,45
1539814353,39,39
1539815302,39,52
1539816264,37,40
1539817219,43,41
1539818191,53,45
1539819142,49,41
1539820103,48,42
1539821059,37,59
1539822021,36,32
1539822973,43,4
1539823980,36,80
1539824896,53,5
1539825856,46,45
1539826817,53,71
1539827798,39,57
1539829488,70,46
1539830412,53,57
1539831373,42,37
1539832361,39,46
1539833293,50,34
1539834259,46,34
1539835234,35,45
