DateTime,Entries,UniqueIPs
1539715696,178557,178557
1539716668,178577,178577
1539717612,178597,178597
1539718582,178599,178599
1539719542,178599,178599
1539720512,178603,178603
1539721465,178609,178609
1539722424,178610,178610
1539723639,178613,178613
1539724596,178600,178600
1539725575,178600,178600
1539726491,178591,178591
1539727466,178588,178588
1539728410,178586,178586
1539729634,178580,178580
1539730591,178572,178572
1539731555,178546,178546
1539732490,178540,178540
1539733463,178528,178528
1539734425,178522,178522
1539735381,178515,178515
1539736338,178508,178508
1539737293,178487,178487
1539738281,178463,178463
1539739239,178448,178448
1539740172,178457,178457
1539741142,178448,178448
1539742114,178444,178444
1539743074,178473,178473
1539744014,178502,178502
1539744973,178468,178468
1539745942,178515,178515
1539746906,178459,178459
1539747861,178489,178489
1539748821,178459,178459
1539749797,178395,178395
1539750738,178396,178396
1539751693,178379,178379
1539752678,178341,178341
1539753609,178391,178391
1539754573,178418,178418
1539755551,178411,178411
1539756526,178369,178369
1539757472,178356,178356
1539758441,178354,178354
1539759372,178373,178373
1539760345,178340,178340
1539761309,178329,178329
1539762265,178316,178316
1539763224,178341,178341
1539764197,178304,178304
1539765155,178347,178347
1539766340,178322,178322
1539767309,178317,178317
1539768257,178299,178299
1539769211,178292,178292
1539770208,178273,178273
1539771140,178281,178281
1539772091,178313,178313
1539773060,178325,178325
1539774043,178354,178354
1539774985,178365,178365
1539775943,178364,178364
1539776894,178349,178349
1539777880,178344,178344
1539778823,178338,178338
1539779785,178320,178320
1539780757,178332,178332
1539781717,178317,178317
1539782674,178320,178320
1539783612,178318,178318
1539784579,178293,178293
1539785544,178287,178287
1539786493,178326,178326
1539787465,178308,178308
1539788425,178315,178315
1539789507,178287,178287
1539790596,178247,178247
1539791556,178277,178277
1539792539,178249,178249
1539793463,178206,178206
1539794412,178239,178239
1539795389,178192,178192
1539796360,178180,178180
1539797302,178181,178181
1539798261,178219,178219
1539799238,178185,178185
1539800192,178217,178217
1539801143,178172,178172
1539802094,178199,178199
1539803079,178218,178218
1539804011,176587,176587
1539804985,176546,176546
1539805942,176575,176575
1539807420,176535,176535
1539808366,176521,176521
1539809544,176513,176513
1539810517,176511,176511
1539811472,176511,176511
1539812431,176519,176519
1539813380,176508,176508
1539814353,176508,176508
1539815302,176495,176495
1539816264,176492,176492
1539817219,176494,176494
1539818191,176502,176502
1539819142,176510,176510
1539820103,176516,176516
1539821059,176494,176494
1539822021,176498,176498
1539822973,176537,176537
1539823980,176493,176493
1539824896,176541,176541
1539825856,176542,176542
1539826817,176524,176524
1539827798,176506,176506
1539829488,176530,176530
1539830412,176526,176526
1539831373,176531,176531
1539832361,176524,176524
1539833293,176540,176540
1539834259,176552,176552
1539835234,176542,176542
1539836186,176544,176544
1539837142,176536,176536
1539838097,176524,176524
1539839058,176545,176545
1539840018,176539,176539
1539841244,176511,176511
1539842171,176540,176540
1539843150,176468,176468
1539844091,176504,176504
1539845078,176489,176489
1539846022,176493,176493
1539846994,176468,176468
1539847942,176471,176471
1539848897,176504,176504
1539849881,176446,176446
1539850817,176483,176483
1539851782,176483,176483
1539852755,176433,176433
1539853703,176433,176433
1539854656,176431,176431
1539855622,176399,176399
1539856583,176429,176429
1539857545,176406,176406
1539858496,176436,176436
1539859476,176437,176437
1539860426,176445,176445
1539861388,176377,176377
1539862343,176404,176404
1539863296,176383,176383
1539864292,176376,176376
1539865232,176372,176372
1539866188,176369,176369
1539867146,176369,176369
1539868101,176354,176354
1539869059,176330,176330
1539870019,176300,176300
1539870987,176272,176272
1539871948,176223,176223
1539872898,176201,176201
1539873859,176148,176148
1539874851,176099,176099
1539875785,176028,176028
1539876842,176030,176030
1539877947,175997,175997
1539879171,175992,175992
1539880089,176008,176008
1539881077,176002,176002
1539882041,175987,175987
1539883229,175989,175989
1539884187,175973,175973
1539885131,175961,175961
1539886097,175950,175950
1539887057,175956,175956
1539888014,175952,175952
1539888975,175941,175941
1539889942,174423,174423
1539890891,174434,174434
1539891881,174433,174433
1539892846,174425,174425
1539893779,174418,174418
1539894739,174418,174418
1539895713,174402,174402
1539896660,174405,174405
1539897615,174389,174389
1539898591,174380,174380
1539899533,174369,174369
1539900509,174370,174370
1539901455,174368,174368
1539902417,174349,174349
1539903376,174342,174342
1539904347,174341,174341
1539906055,174334,174334
1539907225,174327,174327
1539908188,174309,174309
1539909139,174319,174319
1539910118,174320,174320
1539911080,174291,174291
1539912012,174276,174276
1539912983,174278,174278
1539913951,174275,174275
1539914912,174252,174252
1539915860,174242,174242
1539916818,174238,174238
1539917815,174232,174232
1539918738,174222,174222
1539919695,174216,174216
1539920674,174216,174216
1539921689,174225,174225
1539922601,174201,174201
1539923542,174194,174194
1539924496,174173,174173
1539925493,174182,174182
1539926413,174169,174169
1539927393,174199,174199
1539928333,174193,174193
1539929303,174205,174205
1539930260,174217,174217
1539931218,174227,174227
1539932178,174217,174217
1539933144,174221,174221
1539934108,174224,174224
1539935057,174227,174227
1539936026,174242,174242
1539936991,174230,174230
1539937942,174255,174255
1539938898,174258,174258
1539939867,174251,174251
1539940946,174240,174240
1539942031,174276,174276
1539943241,174211,174211
1539944184,174249,174249
1539945142,174229,174229
1539946098,174229,174229
1539947085,174215,174215
1539948261,174232,174232
1539949477,174193,174193
1539950467,174176,174176
1539951388,174203,174203
1539952356,174167,174167
1539953294,174197,174197
1539954270,174153,174153
1539955211,174192,174192
1539956185,174167,174167
1539957156,174176,174176
1539958103,174197,174197
1539959056,174200,174200
1539960012,174197,174197
1539960991,174156,174156
1539961941,174199,174199
1539962889,174192,174192
1539964001,174186,174186
1539965119,174116,174116
1539966273,174104,174104
1539967212,174105,174105
1539968170,174102,174102
1539969157,174109,174109
1539970095,174119,174119
1539971054,174124,174124
1539972011,174117,174117
1539972980,174116,174116
1539973940,174122,174122
1539974906,174133,174133
1539975869,172482,172482
1539976819,172479,172479
1539977779,172478,172478
1539978733,172471,172471
1539979712,172469,172469
1539980674,172466,172466
1539981618,172469,172469
1539982576,172465,172465
1539983545,172469,172469
1539984503,172476,172476
1539985459,172482,172482
1539986427,172477,172477
1539987383,172490,172490
1539988340,172476,172476
1539989293,172474,172474
1539990278,172476,172476
1539991210,172487,172487
1539992173,172492,172492
1539993157,172488,172488
1539994095,172495,172495
1539995054,172495,172495
1539996018,172502,172502
1539996981,172500,172500
1539997945,172511,172511
1539998894,172503,172503
1539999873,172496,172496
1540000819,172492,172492
1540001776,172501,172501
1540002759,172498,172498
1540003701,172476,172476
1540004664,172478,172478
1540005614,172468,172468
1540006593,172468,172468
1540007533,172455,172455
1540008498,172439,172439
1540009471,172430,172430
1540010412,172425,172425
1540011369,172427,172427
1540012339,172415,172415
1540013289,172418,172418
1540014272,172414,172414
1540015222,172397,172397
1540016189,172397,172397
1540017165,172354,172354
1540018092,172352,172352
1540019081,172360,172360
1540020014,172340,172340
1540020976,172342,172342
1540021934,172322,172322
1540022901,172305,172305
1540023887,172298,172298
1540024839,172294,172294
1540025789,172265,172265
1540026765,172221,172221
1540027695,172253,172253
1540028660,172197,172197
1540029619,172229,172229
1540030594,172169,172169
1540031547,172152,172152
1540032497,172181,172181
1540033466,172161,172161
1540034416,172148,172148
1540035389,172085,172085
1540036340,172111,172111
1540037296,172112,172112
1540038263,172109,172109
1540039213,172113,172113
1540040189,172063,172063
1540041163,172038,172038
1540042097,172031,172031
1540043057,172054,172054
1540044039,171986,171986
1540044993,171982,171982
1540045948,171982,171982
1540046896,172018,172018
1540047874,171993,171993
