DateTime,Entries,UniqueIPs
1539715696,3085,3085
1539716668,3088,3088
1539717612,3050,3050
1539718582,3049,3049
1539719542,3034,3034
1539720512,3008,3008
1539721465,3002,3002
1539722424,3009,3009
1539723639,2995,2995
1539724596,2993,2993
1539725575,2980,2980
1539726491,2982,2982
1539727466,2972,2972
1539728410,2969,2969
1539729634,2968,2968
1539730591,2964,2964
1539731555,2940,2940
1539732490,2946,2946
1539733463,2942,2942
1539734425,2924,2924
1539735381,2906,2906
1539736338,2899,2899
1539737293,2879,2879
1539738281,2871,2871
1539739239,2863,2863
1539740172,2855,2855
1539741142,2848,2848
1539742114,2832,2832
1539743074,2851,2851
1539744014,2861,2861
1539744973,2852,2852
1539745942,2836,2836
1539746906,2843,2843
1539747861,2830,2830
1539748821,2837,2837
1539749797,2829,2829
1539750738,2832,2832
1539751693,2805,2805
1539752678,2805,2805
1539753609,2803,2803
1539754573,2785,2785
1539755551,2792,2792
1539756526,2810,2810
1539757472,2797,2797
1539758441,2800,2800
1539759372,2810,2810
1539760345,2803,2803
1539761309,2831,2831
1539762265,2826,2826
1539763224,2799,2799
1539764197,2794,2794
1539765155,2788,2788
1539766340,2788,2788
1539767309,2801,2801
1539768257,2809,2809
1539769211,2796,2796
1539770208,2815,2815
1539771140,2797,2797
1539772091,2821,2821
1539773060,2824,2824
1539774043,2866,2866
1539774985,2878,2878
1539775943,2870,2870
1539776894,2887,2887
1539777880,2900,2900
1539778823,2914,2914
1539779785,2900,2900
1539780757,2893,2893
1539781717,2896,2896
1539782674,2887,2887
1539783612,2899,2899
1539784579,2890,2890
1539785544,2905,2905
1539786493,2917,2917
1539787465,2921,2921
1539788425,2918,2918
1539789507,2909,2909
1539790596,2902,2902
1539791556,2908,2908
1539792539,2892,2892
1539793463,2889,2889
1539794412,2910,2910
1539795389,2901,2901
1539796360,2910,2910
1539797302,2915,2915
1539798261,2918,2918
1539799238,2919,2919
1539800192,2903,2903
1539801143,2916,2916
1539802094,2910,2910
1539803079,2947,2947
1539804011,2907,2907
1539804985,2907,2907
1539805942,2934,2934
1539807420,2938,2938
1539808366,2930,2930
1539809544,2932,2932
1539810517,2947,2947
1539811472,2930,2930
1539812431,2948,2948
1539813380,2957,2957
1539814353,2939,2939
1539815302,2968,2968
1539816264,2947,2947
1539817219,2963,2963
1539818191,2956,2956
1539819142,2951,2951
1539820103,2950,2950
1539821059,2958,2958
1539822021,2938,2938
1539822973,2932,2932
1539823980,2921,2921
1539824896,2919,2919
1539825856,2926,2926
1539826817,2920,2920
1539827798,2920,2920
1539829488,2913,2913
1539830412,2915,2915
1539831373,2921,2921
1539832361,2926,2926
1539833293,2942,2942
1539834259,2930,2930
1539835234,2933,2933
1539836186,2946,2946
1539837142,2949,2949
1539838097,2929,2929
1539839058,2960,2960
1539840018,2976,2976
1539841244,2946,2946
1539842171,2954,2954
1539843150,2976,2976
1539844091,2970,2970
1539845078,2975,2975
1539846022,2970,2970
1539846994,2986,2986
1539847942,2987,2987
1539848897,2999,2999
1539849881,3015,3015
1539850817,3011,3011
1539851782,3003,3003
1539852755,3021,3021
1539853703,2997,2997
1539854656,2992,2992
1539855622,2991,2991
1539856583,2977,2977
1539857545,2960,2960
1539858496,2959,2959
1539859476,2944,2944
1539860426,2961,2961
1539861388,2960,2960
1539862343,2945,2945
1539863296,2950,2950
1539864292,2942,2942
1539865232,2938,2938
1539866188,2944,2944
1539867146,2960,2960
1539868101,2964,2964
1539869059,2964,2964
1539870019,2980,2980
1539870987,2936,2936
1539871948,2955,2955
1539872898,2969,2969
1539873859,2967,2967
1539874851,2974,2974
1539875785,2946,2946
1539876842,2960,2960
1539877947,2975,2975
1539879171,2967,2967
1539880089,2986,2986
1539881077,2971,2971
1539882041,2968,2968
1539883229,2977,2977
1539884187,2972,2972
1539885131,2977,2977
1539886097,2966,2966
1539887057,2974,2974
1539888014,2968,2968
1539888975,2964,2964
1539889942,2985,2985
1539890891,2973,2973
1539891881,2989,2989
1539892846,2996,2996
1539893779,2989,2989
1539894739,3004,3004
1539895713,2985,2985
1539896660,2983,2983
1539897615,2993,2993
1539898591,2984,2984
1539899533,2980,2980
1539900509,2984,2984
1539901455,2986,2986
1539902417,2999,2999
1539903376,3004,3004
1539904347,2992,2992
1539906055,2978,2978
1539907225,2968,2968
1539908188,2934,2934
1539909139,2939,2939
1539910118,2925,2925
1539911080,2929,2929
1539912012,2905,2905
1539912983,2908,2908
1539913951,2920,2920
1539914912,2907,2907
1539915860,2913,2913
1539916818,2893,2893
1539917815,2889,2889
1539918738,2887,2887
1539919695,2884,2884
1539920674,2885,2885
1539921689,2893,2893
1539922601,2897,2897
1539923542,2873,2873
1539924496,2868,2868
1539925493,2861,2861
1539926413,2863,2863
1539927393,2849,2849
1539928333,2852,2852
1539929303,2874,2874
1539930260,2853,2853
1539931218,2868,2868
1539932178,2864,2864
1539933144,2870,2870
1539934108,2873,2873
1539935057,2882,2882
1539936026,2904,2904
1539936991,2879,2879
1539937942,2897,2897
1539938898,2878,2878
1539939867,2883,2883
1539940946,2886,2886
1539942031,2897,2897
1539943241,2903,2903
1539944184,2903,2903
1539945142,2877,2877
1539946098,2901,2901
1539947085,2919,2919
1539948261,2916,2916
1539949477,2930,2930
1539950467,2926,2926
1539951388,2921,2921
1539952356,2915,2915
1539953294,2911,2911
1539954270,2928,2928
1539955211,2925,2925
1539956185,2918,2918
1539957156,2934,2934
1539958103,2924,2924
1539959056,2927,2927
1539960012,2954,2954
1539960991,2931,2931
1539961941,2951,2951
1539962889,2964,2964
1539964001,2941,2941
1539965119,2943,2943
1539966273,2937,2937
1539967212,2931,2931
1539968170,2938,2938
1539969157,2937,2937
1539970095,2926,2926
1539971054,2930,2930
1539972011,2936,2936
1539972980,2927,2927
1539973940,2931,2931
1539974906,2930,2930
1539975869,2983,2983
1539976819,2929,2929
1539977779,2935,2935
1539978733,2939,2939
1539979712,2938,2938
1539980674,2940,2940
1539981618,2935,2935
1539982576,2944,2944
1539983545,2970,2970
1539984503,2949,2949
1539985459,2953,2953
1539986427,2987,2987
1539987383,2981,2981
1539988340,2977,2977
1539989293,2993,2993
1539990278,2991,2991
1539991210,2982,2982
1539992173,2976,2976
1539993157,2975,2975
1539994095,2957,2957
