DateTime,AddedIPs,RemovedIPs
1539714731,8,5
1539715694,5,7
1539716666,18,5
1539717611,8,10
1539718581,19,9
1539719539,10,10
1539720510,12,25
1539721462,14,22
1539722421,9,0
1539723637,11,9
1539724593,14,15
1539725573,8,18
1539726489,15,10
1539727463,15,29
1539728408,9,18
1539729631,15,21
1539730589,7,0
1539731553,7,42
1539732487,7,0
1539733460,11,15
1539734423,13,56
1539735379,9,0
1539736336,17,33
1539737292,14,23
1539738278,11,33
1539739237,12,26
1539740170,20,0
1539741139,12,12
1539742113,14,64
1539743072,36,17
1539744012,14,0
1539744971,16,12
1539745940,17,13
1539746905,7,18
1539747859,15,0
1539748820,8,15
1539749796,8,29
1539751691,6,16
1539752676,10,42
1539753607,21,0
1539754571,37,20
1539755549,16,39
1539756524,12,4
1539757470,6,14
1539758439,28,23
1539759370,4,0
1539760343,9,35
1539761306,13,21
1539762262,11,21
1539763221,12,0
1539764195,6,35
1539765153,20,0
1539766338,26,23
1539767307,22,21
1539768254,17,18
1539769210,15,16
1539770207,24,13
1539771137,17,14
1539772090,31,10
1539773057,18,0
1539774041,32,0
1539774984,25,0
1539775941,18,0
1539776893,18,0
1539777878,13,0
1539778821,20,3
1539779783,14,17
1539780756,17,33
1539781716,15,32
1539782672,9,13
1539783611,15,28
1539784577,5,22
1539785541,16,25
1539786491,8,17
1539787462,11,14
1539788422,17,11
1539789505,5,17
1539790594,10,16
1539791553,10,12
1539792536,11,14
1539793461,10,13
1539794410,15,8
1539795386,13,23
1539796358,15,17
1539797300,6,18
1539798259,14,28
1539799237,10,13
1539800190,22,32
1539801141,10,25
1539802092,12,0
1539803077,12,47
1539804010,9,0
1539804984,16,46
1539805939,11,0
1539807418,19,48
1539808365,8,19
1539809542,17,18
1539810515,9,18
1539811470,13,17
1539812429,16,14
1539813378,12,11
1539814350,10,10
1539815299,12,25
1539816262,16,18
1539817217,13,19
1539818189,23,11
1539819141,19,22
1539820101,17,26
1539821057,11,27
1539822019,9,30
1539822972,30,26
1539823979,10,32
1539824894,26,14
1539825854,31,21
1539826814,20,12
1539827796,14,16
1539829486,32,43
1539830409,25,0
1539831371,18,21
1539832359,12,32
1539833290,21,0
1539834256,12,18
1539835232,11,25
1539836184,11,0
1539837140,7,28
1539838095,24,34
1539839055,21,0
1539840016,24,31
1539841242,14,12
1539842168,13,13
1539843148,29,9
1539844090,17,21
1539845076,20,10
1539846020,15,10
1539846992,20,8
1539847940,10,10
1539848894,11,21
1539849878,19,9
1539850815,22,20
1539851780,32,18
1539852752,20,20
1539853701,18,0
1539854653,20,22
1539855620,15,31
1539856581,15,0
1539857543,15,26
1539858494,14,13
1539859473,22,18
1539860424,14,0
1539861387,19,25
1539862341,9,7
1539863294,7,6
1539864290,10,12
1539865230,16,17
1539866186,20,17
1539867144,12,0
1539868100,5,8
1539869056,9,6
1539870017,11,22
1539870985,7,14
1539871946,12,15
1539872895,17,11
1539873856,7,0
1539874849,16,20
1539875783,7,0
1539876839,24,14
1539877946,13,17
1539879169,27,22
1539880087,11,5
1539881074,12,15
1539882039,8,11
1539883227,8,5
1539884185,10,15
1539885129,10,12
1539886096,4,9
1539887055,8,8
1539888012,12,8
1539888973,19,9
1539889941,16,10
1539890888,11,14
1539891878,22,9
1539892844,12,15
1539893777,7,0
1539894738,10,10
1539895710,4,5
1539896658,6,6
1539897613,9,9
1539898589,13,8
1539899531,13,9
1539900507,14,12
1539901452,15,7
1539902415,11,15
1539903374,19,2
1539904345,10,23
1539906053,24,33
1539907222,10,14
1539908186,23,32
1539909137,22,22
1539910116,14,14
1539911077,13,23
1539912011,10,21
1539912981,27,22
1539913950,20,26
1539914911,14,37
1539915858,16,0
1539916817,18,22
1539917813,9,13
1539918735,13,0
1539919693,11,19
1539920671,13,10
1539921687,17,10
1539922599,13,1
1539923540,11,0
1539924494,9,5
1539925466,5,37
1539926412,15,0
1539927390,31,18
1539928330,13,16
1539929300,42,9
1539930257,22,4
1539931216,19,24
1539932174,19,7
1539933141,22,21
1539934107,24,8
1539935054,17,9
1539936023,26,13
1539936989,11,15
1539937940,16,23
1539938897,10,26
1539939866,12,22
1539940943,14,33
1539942029,26,65
1539943239,12,26
1539944182,18,27
1539945140,11,22
1539946096,24,16
1539947083,12,15
1539948258,14,18
1539949474,6,14
1539950465,5,13
1539951386,5,11
1539952354,16,16
1539953293,12,8
1539954268,7,14
1539955208,17,7
1539956183,14,14
1539957153,21,16
1539958100,13,18
1539959054,11,7
1539960011,16,12
1539960990,16,9
1539961938,18,8
1539962888,5,12
1539963999,9,33
1539965117,13,20
1539966271,15,7
1539967210,14,12
1539968168,9,14
1539969154,12,6
1539970092,13,14
1539971052,9,11
1539972010,14,18
1539972977,8,7
1539973938,15,9
1539974904,19,12
1539975867,11,13
1539976817,11,12
1539977778,18,11
1539978731,6,7
1539979710,13,5
1539980673,13,12
1539981616,11,8
1539982574,27,5
1539983543,7,12
1539984501,16,18
1539985457,9,16
1539986425,21,11
1539987381,22,5
1539988338,12,7
1539989291,17,18
1539990276,15,21
1539991208,22,25
1539992170,18,0
1539993155,20,29
1539994094,32,32
1539995052,34,21
1539996016,24,18
1539996978,37,29
1539997944,18,21
1539998891,30,29
1539999870,18,20
1540000816,23,16
1540001774,21,9
1540002756,14,26
1540003699,10,22
1540004661,14,12
1540005612,22,11
1540006591,21,14
1540007530,12,16
1540008496,17,11
1540009469,22,17
1540010409,12,13
1540011368,16,16
1540012337,16,14
1540013288,15,22
1540014269,10,16
1540015218,11,15
1540016186,15,23
1540017163,5,15
1540018090,18,18
1540019078,19,17
1540020012,7,26
1540020973,21,10
1540021931,13,14
1540022898,20,23
1540023885,21,16
1540024838,15,17
1540025787,14,9
1540026763,4,21
1540027693,14,11
1540028657,13,9
1540029617,12,0
1540030592,17,35
1540031546,14,8
1540032495,11,0
1540033463,7,6
1540034415,21,22
1540035388,17,12
1540036339,12,5
1540037294,10,12
1540038261,14,12
1540039210,15,13
1540040187,17,2
1540041161,13,13
1540042096,12,11
1540043055,15,8
1540044038,6,10
1540044991,18,9
1540045946,20,9
1540046893,6,17
1540047871,12,13
1540048820,6,9
1540049793,21,22
1540050739,17,17
1540051749,5,18
1540052656,17,0
1540053623,10,30
1540054576,16,12
1540055545,10,0
1540056490,19,11
1540057467,9,23
1540058433,16,5
1540059385,5,14
1540060341,15,18
1540061300,11,0
1540062259,18,12
1540063216,8,12
1540064171,9,17
1540065163,13,17
1540066094,8,0
1540067074,11,18
1540068014,9,0
1540068982,8,25
1540069941,11,0
1540070896,9,17
1540071854,16,2
1540072847,16,24
1540073783,15,8
1540074742,11,12
1540075763,17,16
1540076676,18,0
1540077614,10,35
1540078587,19,16
1540079531,11,0
1540080515,11,48
1540081476,16,10
1540082441,37,32
1540083373,19,0
1540084345,33,43
1540085289,10,0
1540086261,12,28
1540087232,19,33
1540088193,11,9
1540089150,21,0
1540090098,11,13
1540091060,19,22
1540092031,14,34
1540092983,23,0
1540093944,15,34
1540094896,14,0
1540095863,3,18
1540096813,12,20
1540097793,19,14
1540098762,19,10
1540099697,14,14
1540100653,14,0
1540101642,14,33
1540102590,13,19
1540103549,5,0
1540104495,21,30
1540105724,22,9
1540106896,17,20
1540107858,8,14
1540108823,15,12
1540109791,19,18
1540110748,9,14
1540111696,14,19
1540112780,21,12
1540113857,11,8
1540114814,16,13
1540115793,9,18
1540116735,14,11
1540117693,12,13
1540118655,18,10
1540119627,12,7
1540120594,17,11
1540121546,10,16
1540122495,17,8
1540123480,10,11
1540124410,17,12
1540125374,16,11
1540126340,9,11
1540127819,21,27
1540128732,12,15
1540129696,8,14
1540130665,12,11
1540131624,19,9
1540132590,11,15
1540133537,17,27
1540134498,10,9
1540135482,12,12
1540136411,5,18
1540137374,14,25
1540138469,15,13
1540139804,9,9
1540140734,6,19
1540141714,9,23
1540142664,5,20
1540143619,16,16
1540144577,13,20
1540145552,9,13
1540146492,7,17
1540147460,11,19
1540148441,5,16
1540149384,5,15
1540150338,5,13
1540151298,2,16
1540152262,7,6
1540153212,9,14
1540154189,13,18
1540155137,13,18
1540156104,5,11
1540157056,9,8
1540158015,4,15
1540158994,13,23
1540159934,11,14
1540160892,9,20
1540161856,3,7
1540162835,6,12
1540163789,9,19
1540164742,13,19
1540165712,8,23
1540166659,10,28
1540167615,7,37
1540168584,21,32
1540169555,10,30
1540170519,13,22
1540171452,4,13
1540172421,14,21
1540173375,9,24
1540174343,13,10
1540175313,13,17
1540176255,15,23
1540177238,33,17
1540178178,13,22
1540179146,9,12
1540180109,21,7
1540181078,16,11
1540182016,10,18
1540182985,21,18
1540183935,28,18
1540184900,18,14
1540185868,46,11
1540186814,12,8
1540187777,30,16
1540188740,16,20
1540189695,16,3
1540190656,15,34
1540191621,21,20
1540192589,13,28
1540193543,13,15
1540194493,10,25
1540195479,30,21
1540196421,31,13
1540197374,26,11
1540198341,17,12
1540199820,26,15
1540200741,15,19
1540201697,11,14
1540202785,17,18
