DateTime,Entries,UniqueIPs
1539714731,2591,2597
1539715694,2589,2595
1539716666,2602,2608
1539717611,2600,2606
1539718581,2609,2616
1539719539,2610,2616
1539720510,2597,2603
1539721462,2589,2595
1539722421,2598,2604
1539723637,2600,2606
1539724593,2599,2605
1539725573,2589,2595
1539726489,2594,2600
1539727463,2580,2586
1539728408,2571,2577
1539729631,2564,2571
1539730589,2571,2578
1539731553,2536,2543
1539732487,2543,2550
1539733460,2539,2546
1539734423,2496,2503
1539735379,2505,2512
1539736336,2489,2496
1539737292,2480,2487
1539738278,2458,2465
1539739237,2444,2451
1539740170,2464,2471
1539741139,2464,2471
1539742113,2414,2421
1539743072,2433,2440
1539744012,2447,2454
1539744971,2451,2458
1539745940,2455,2462
1539746905,2444,2451
1539747859,2459,2466
1539748820,2452,2459
1539749796,2431,2438
1539751691,2421,2428
1539752676,2389,2396
1539753607,2410,2417
1539754571,2427,2434
1539755549,2404,2411
1539756524,2412,2419
1539757470,2404,2411
1539758439,2408,2416
1539759370,2412,2420
1539760343,2386,2394
1539761306,2378,2386
1539762262,2368,2376
1539763221,2380,2388
1539764195,2351,2359
1539765153,2371,2379
1539766338,2374,2382
1539767307,2375,2383
1539768254,2374,2382
1539769210,2373,2381
1539770207,2384,2392
1539771137,2387,2395
1539772090,2408,2416
1539773057,2424,2434
1539774041,2456,2466
1539774984,2481,2491
1539775941,2499,2509
1539776893,2517,2527
1539777878,2530,2540
1539778821,2547,2557
1539779783,2545,2554
1539780756,2529,2538
1539781716,2512,2521
1539782672,2508,2517
1539783611,2495,2504
1539784577,2478,2487
1539785541,2468,2478
1539786491,2459,2469
1539787462,2456,2466
1539788422,2462,2472
1539789505,2450,2460
1539790594,2444,2454
1539791553,2442,2452
1539792536,2439,2449
1539793461,2436,2446
1539794410,2443,2453
1539795386,2433,2443
1539796358,2432,2441
1539797300,2420,2429
1539798259,2406,2415
1539799237,2403,2412
1539800190,2393,2402
1539801141,2378,2387
1539802092,2390,2399
1539803077,2357,2364
1539804010,2366,2373
1539804984,2336,2343
1539805939,2347,2354
1539807418,2319,2325
1539808365,2308,2314
1539809542,2307,2313
1539810515,2298,2304
1539811470,2294,2300
1539812429,2295,2302
1539813378,2295,2303
1539814350,2295,2303
1539815299,2282,2290
1539816262,2279,2288
1539817217,2273,2282
1539818189,2283,2294
1539819141,2280,2291
1539820101,2271,2282
1539821057,2255,2266
1539822019,2234,2245
1539822972,2237,2249
1539823979,2215,2227
1539824894,2227,2239
1539825854,2237,2249
1539826814,2245,2257
1539827796,2243,2255
1539829486,2231,2244
1539830409,2255,2269
1539831371,2252,2266
1539832359,2232,2246
1539833290,2253,2267
1539834256,2247,2261
1539835232,2233,2247
1539836184,2244,2258
1539837140,2223,2237
1539838095,2212,2227
1539839055,2233,2248
1539840016,2226,2241
1539841242,2228,2243
1539842168,2228,2243
1539843148,2248,2263
1539844090,2244,2259
1539845076,2254,2269
1539846020,2259,2274
1539846992,2271,2286
1539847940,2271,2286
1539848894,2261,2276
1539849878,2272,2286
1539850815,2274,2288
1539851780,2287,2302
1539852752,2286,2302
1539853701,2304,2320
1539854653,2302,2318
1539855620,2286,2302
1539856581,2301,2317
1539857543,2290,2306
1539858494,2291,2307
1539859473,2295,2311
1539860424,2309,2325
1539861387,2304,2319
1539862341,2306,2321
1539863294,2309,2322
1539864290,2307,2320
1539865230,2306,2319
1539866186,2309,2322
1539867144,2321,2334
1539868100,2318,2331
1539869056,2321,2334
1539870017,2310,2323
1539870985,2303,2316
1539871946,2300,2313
1539872895,2306,2319
1539873856,2313,2326
1539874849,2309,2322
1539875783,2316,2329
1539876839,2326,2339
1539877946,2323,2335
1539879169,2328,2340
1539880087,2334,2346
1539881074,2331,2343
1539882039,2328,2340
1539883227,2331,2343
1539884185,2326,2338
1539885129,2324,2336
1539886096,2319,2331
1539887055,2319,2331
1539888012,2323,2335
1539888973,2333,2345
1539889941,2339,2351
1539890888,2336,2348
1539891878,2349,2361
1539892844,2346,2358
1539893777,2353,2365
1539894738,2353,2365
1539895710,2352,2364
1539896658,2352,2364
1539897613,2352,2364
1539898589,2357,2369
1539899531,2361,2373
1539900507,2363,2375
1539901452,2371,2383
1539902415,2367,2379
1539903374,2384,2396
1539904345,2371,2383
1539906053,2362,2374
1539907222,2358,2370
1539908186,2349,2361
1539909137,2349,2361
1539910116,2349,2361
1539911077,2339,2351
1539912011,2328,2340
1539912981,2333,2345
1539913950,2327,2339
1539914911,2304,2316
1539915858,2320,2332
1539916817,2316,2328
1539917813,2312,2324
1539918735,2325,2337
1539919693,2317,2329
1539920671,2320,2332
1539921687,2327,2339
1539922599,2339,2351
1539923540,2350,2362
1539924494,2354,2366
1539925466,2322,2334
1539926412,2337,2349
1539927390,2350,2362
1539928330,2347,2359
1539929300,2380,2392
1539930257,2398,2410
1539931216,2393,2405
1539932174,2405,2417
1539933141,2406,2418
1539934107,2422,2434
1539935054,2430,2442
1539936023,2443,2455
1539936989,2439,2451
1539937940,2432,2444
1539938897,2417,2428
1539939866,2407,2418
1539940943,2392,2399
1539942029,2356,2360
1539943239,2343,2346
1539944182,2334,2337
1539945140,2323,2326
1539946096,2331,2334
1539947083,2328,2331
1539948258,2324,2327
1539949474,2316,2319
1539950465,2309,2311
1539951386,2303,2305
1539952354,2303,2305
1539953293,2307,2309
1539954268,2300,2302
1539955208,2310,2312
1539956183,2310,2312
1539957153,2315,2317
1539958100,2310,2312
1539959054,2314,2316
1539960011,2318,2320
1539960990,2325,2327
1539961938,2335,2337
1539962888,2328,2330
1539963999,2304,2306
1539965117,2296,2299
1539966271,2304,2307
1539967210,2306,2309
1539968168,2301,2304
1539969154,2307,2310
1539970092,2306,2309
1539971052,2304,2307
1539972010,2300,2303
1539972977,2301,2304
1539973938,2307,2310
1539974904,2314,2317
1539975867,2312,2315
1539976817,2311,2314
1539977778,2318,2321
1539978731,2317,2320
1539979710,2325,2328
1539980673,2326,2329
1539981616,2329,2332
1539982574,2350,2354
1539983543,2345,2349
1539984501,2343,2347
1539985457,2336,2340
1539986425,2347,2350
1539987381,2364,2367
1539988338,2369,2372
1539989291,2367,2371
1539990276,2361,2365
1539991208,2357,2362
1539992170,2375,2380
1539993155,2366,2371
1539994094,2366,2371
1539995052,2379,2384
1539996016,2385,2390
1539996978,2393,2398
1539997944,2390,2395
1539998891,2391,2396
1539999870,2389,2394
1540000816,2396,2401
1540001774,2408,2413
1540002756,2396,2401
1540003699,2384,2389
1540004661,2386,2391
1540005612,2397,2402
1540006591,2404,2409
1540007530,2400,2405
1540008496,2406,2411
1540009469,2411,2416
1540010409,2410,2415
1540011368,2410,2415
1540012337,2412,2417
1540013288,2405,2410
1540014269,2398,2404
1540015218,2394,2400
1540016186,2386,2392
1540017163,2376,2382
1540018090,2376,2382
1540019078,2378,2384
1540020012,2359,2365
1540020973,2370,2376
1540021931,2369,2375
1540022898,2366,2372
1540023885,2371,2377
1540024838,2370,2375
1540025787,2375,2380
1540026763,2358,2363
1540027693,2361,2366
1540028657,2365,2370
1540029617,2377,2382
1540030592,2359,2364
1540031546,2365,2370
1540032495,2376,2381
1540033463,2377,2382
1540034415,2376,2381
1540035388,2381,2386
1540036339,2388,2393
1540037294,2386,2391
1540038261,2388,2393
1540039210,2390,2395
1540040187,2405,2410
1540041161,2405,2410
1540042096,2406,2411
1540043055,2413,2418
1540044038,2409,2414
1540044991,2418,2423
1540045946,2429,2434
1540046893,2418,2423
1540047871,2417,2422
1540048820,2414,2419
1540049793,2412,2418
1540050739,2412,2418
1540051749,2399,2405
1540052656,2416,2422
1540053623,2396,2402
1540054576,2400,2406
1540055545,2410,2416
1540056490,2418,2424
1540057467,2404,2410
1540058433,2415,2421
