DateTime,AddedIPs,RemovedIPs
1539715694,5,25
1539716666,18,28
1539717611,8,19
1539718581,19,24
1539719539,10,22
1539720510,12,20
1539721462,14,28
1539722421,9,19
1539723637,11,18
1539724593,14,18
1539725573,8,17
1539726489,15,14
1539727463,15,11
1539728408,9,10
1539729631,15,25
1539730589,7,18
1539731553,7,19
1539732487,7,11
1539733460,11,22
1539734423,13,26
1539735379,9,27
1539736336,17,30
1539737292,14,26
1539738278,11,32
1539739237,12,14
1539740170,20,21
1539741139,12,12
1539742113,14,16
1539743072,36,18
1539744012,14,25
1539744971,16,21
1539745940,17,19
1539746905,7,13
1539747859,15,18
1539748820,8,15
1539749796,8,10
1539750735,0,1
1539751691,6,27
1539752676,10,34
1539753607,21,13
1539754571,37,18
1539755549,16,12
1539756524,12,13
1539757470,6,9
1539758439,28,21
1539759370,4,10
1539760343,9,10
1539761306,13,8
1539762262,11,10
1539763221,12,21
1539764195,6,9
1539765153,20,20
1539766338,26,18
1539767307,22,20
1539768254,17,22
1539769210,15,17
1539770207,24,14
1539771137,17,10
1539772090,31,16
1539773057,18,13
1539774041,32,18
1539774984,25,8
1539775941,18,17
1539776893,18,7
1539777878,13,6
1539778821,20,12
1539779783,14,17
1539780756,17,17
1539781716,15,8
1539782672,9,6
1539783611,15,13
1539784577,5,9
1539785541,16,14
1539786491,8,15
1539787462,11,11
1539788422,17,10
1539789505,5,10
1539790594,10,14
1539791553,10,17
1539792536,11,13
1539793461,10,9
1539794410,15,5
1539795386,13,15
1539796358,15,11
1539797300,6,5
1539798259,14,15
1539799237,10,12
1539800190,22,9
1539801141,10,8
1539802092,12,8
1539803077,12,9
1539804010,9,10
1539804984,16,14
1539805939,11,9
1539807418,19,15
1539808365,8,10
1539809542,17,5
1539810515,9,6
1539811470,13,9
1539812429,16,8
1539813378,12,9
1539814350,10,12
1539815299,12,7
1539816262,16,15
1539817217,13,2
1539818189,23,23
1539819141,19,18
1539820101,17,15
1539821057,11,14
1539822019,9,32
1539822972,30,22
1539823979,10,14
1539824894,26,23
1539825854,31,21
1539826814,20,22
1539827796,14,26
1539829486,32,37
1539830409,25,6
1539831371,18,16
1539832359,12,13
1539833290,21,10
1539834256,12,9
1539835232,11,10
1539836184,11,10
1539837140,7,1
1539838095,24,5
1539839055,21,21
1539840016,24,16
1539841242,14,18
1539842168,13,16
1539843148,29,9
1539844090,17,4
1539845076,20,24
1539846020,15,7
1539846992,20,21
1539847940,10,8
1539848894,11,9
1539849878,19,13
1539850815,22,15
1539851780,32,23
1539852752,20,26
1539853701,18,22
1539854653,20,33
1539855620,15,28
1539856581,15,37
1539857543,15,26
1539858494,14,27
1539859473,22,22
1539860424,14,16
1539861387,19,15
1539862341,9,18
1539863294,7,14
1539864290,10,13
