DateTime,Entries,UniqueIPs
1539715696,36470,38084
1539716668,36989,38616
1539717612,37015,38645
1539718582,37026,38661
1539719542,37028,38664
1539720512,37022,38660
1539721465,36965,38595
1539722424,37229,38874
1539723639,37237,38885
1539724596,37191,38862
1539725575,37226,38886
1539726491,37211,38872
1539727466,37177,38844
1539728410,37173,38847
1539729634,36947,38605
1539730591,37149,38814
1539731555,36913,38564
1539732490,37095,38767
1539733463,37125,38809
1539734425,36864,38514
1539735381,37055,38724
1539736338,37044,38701
1539737293,37014,38656
1539738281,36809,38436
1539739239,36774,38400
1539740172,36991,38630
1539741142,36792,38407
1539742114,36805,38421
1539743074,36827,38438
1539744014,37072,38706
1539744973,37150,38777
1539745942,37188,38807
1539746906,36986,38598
1539747861,37180,38806
1539748821,37182,38823
1539749797,37182,38830
1539750738,37171,38818
1539751693,37165,38821
1539752678,36970,38620
1539753609,37258,38934
1539754573,37309,38984
1539755551,37113,38765
1539756526,37123,38786
1539757472,37119,38788
1539758441,37166,38816
1539759372,37390,39054
1539760345,37212,38861
1539761309,37218,38872
1539762265,37251,38901
1539763224,37434,39101
1539764197,37229,38869
1539765155,37435,39096
1539766340,37456,39113
1539767309,37497,39160
1539768257,37551,39221
1539769211,37602,39276
1539770208,37628,39309
1539771140,37678,39364
1539772091,37756,39448
1539773060,37764,39454
1539774043,37813,39496
1539774985,37829,39518
1539775943,37819,39511
1539776894,37813,39500
1539777880,37814,39497
1539778823,37892,39564
1539779785,37899,39594
1539780757,37965,39657
1539781717,37943,39635
1539782674,37940,39633
1539783612,38011,39708
1539784579,37978,39667
1539785544,38008,39701
1539786493,38019,39713
1539787465,38044,39728
1539788425,38031,39710
1539789507,37986,39658
1539790596,37978,39650
1539791556,37941,39620
1539792539,37871,39548
1539793463,37864,39540
1539794412,37832,39514
1539795389,37807,39483
1539796360,37784,39457
1539797302,37760,39439
1539798261,37791,39468
1539799238,37764,39432
1539800192,37748,39424
1539801143,37791,39479
1539802094,38005,39706
1539803079,37827,39510
1539804011,38027,39729
1539804985,37716,39399
1539805942,37910,39609
1539807420,37670,39342
1539808366,37698,39368
1539809544,37652,39326
1539810517,37615,39271
1539811472,37630,39289
1539812431,37592,39258
1539813380,37623,39294
1539814353,37636,39312
1539815302,37649,39324
1539816264,37660,39345
1539817219,37683,39370
1539818191,37738,39430
1539819142,37780,39474
1539820103,37743,39440
1539821059,37763,39461
1539822021,37742,39437
1539822973,37751,39441
1539823980,37720,39410
1539824896,37703,39405
1539825856,37657,39357
1539826817,37634,39333
1539827798,37626,39328
