DateTime,AddedIPs,RemovedIPs
1539715696,71,56
1539716668,763,65
1539717612,83,65
1539718582,86,61
1539719542,72,60
1539720512,62,54
1539721465,48,65
1539722424,98,53
1539723639,66,44
1539724596,56,53
1539725575,66,60
1539726491,61,49
1539727466,59,64
1539728410,67,50
1539729634,53,47
1539730591,60,32
1539731555,54,46
1539732490,51,55
1539733463,76,48
1539734425,55,41
1539735381,48,39
1539736338,66,53
1539737293,62,53
1539738281,55,52
1539739239,50,52
1539740172,81,55
1539741142,69,71
1539742114,54,53
1539743074,85,59
1539744014,70,53
1539744973,74,43
1539745942,78,46
1539746906,67,44
1539747861,55,51
1539748821,65,60
1539749797,69,70
1539750738,2,69
1539751693,63,60
1539752678,77,58
1539753609,84,60
1539754573,82,63
1539755551,84,79
1539756526,73,60
1539757472,63,86
1539758441,89,74
1539759372,64,69
1539760345,74,76
1539761309,69,65
1539762265,55,79
1539763224,61,84
1539764197,70,87
1539765155,68,72
1539766340,75,88
1539767309,85,161
1539768257,83,66
1539769211,104,0
1539770208,100,246
1539771140,109,0
1539772091,105,69
1539773060,116,115
1539774043,96,63
1539774985,110,0
1539775943,103,150
1539776894,90,0
1539777880,97,77
1539778823,83,161
1539779785,74,72
1539780757,153,71
1539781717,74,0
1539782674,97,76
1539783612,78,125
1539784579,52,73
1539785544,77,86
1539786493,75,72
1539787465,60,77
1539788425,81,68
1539789507,52,84
1539790596,76,61
1539791556,62,82
1539792539,62,71
1539793463,63,59
1539794412,64,59
1539795389,49,68
1539796360,55,63
1539797302,67,77
1539798261,78,62
1539799238,46,69
1539800192,63,61
1539801143,76,64
1539802094,61,54
1539803079,761,60
1539804011,66,52
1539804985,46,50
1539805942,48,61
1539807420,57,114
1539808366,40,60
1539809544,50,42
1539810517,48,54
1539811472,62,53
1539812431,68,62
1539813380,61,56
1539814353,69,53
1539815302,71,57
1539816264,77,57
1539817219,71,51
1539818191,90,68
1539819142,80,68
1539820103,73,75
1539821059,57,60
1539822021,65,66
1539822973,62,53
1539823980,55,61
1539824896,66,0
1539825856,67,114
1539826817,64,63
1539827798,57,63
1539829488,86,48
1539830412,97,54
1539831373,62,45
1539832361,61,41
1539833293,70,61
1539834259,72,55
1539835234,60,48
1539836186,61,54
1539837142,57,68
1539838097,67,65
1539839058,114,58
1539840018,62,58
1539841244,78,115
1539842171,55,0
1539843150,61,65
1539844091,63,68
1539845078,86,112
1539846022,68,57
1539846994,78,0
1539847942,50,145
1539848897,71,69
1539849881,53,61
1539850817,53,0
1539851782,78,115
1539852755,65,66
1539853703,55,0
1539854656,60,54
1539855622,60,109
1539856583,62,0
1539857545,68,124
1539858496,48,80
1539859476,74,74
1539860426,66,53
1539861388,91,64
1539862343,72,0
1539863296,59,140
1539864292,66,0
1539865232,67,71
1539866188,73,63
1539867146,83,67
1539868101,55,66
1539869059,61,69
1539870019,52,59
1539870987,58,87
1539871948,66,90
1539872898,59,61
1539873859,57,83
1539874851,60,64
1539875785,45,76
1539876842,74,73
1539877947,74,72
1539879171,77,120
1539880089,61,0
1539881077,73,75
1539882041,61,136
