DateTime,AddedIPs,RemovedIPs
1539715696,1190,1190
1539716668,1450,1450
1539717612,1427,1427
1539718582,1246,1246
1539719542,1203,1203
1539720512,1223,1223
1539721465,1237,1237
1539722424,1233,1233
1539723639,1234,1234
1539724596,1229,1229
1539725575,1196,1196
1539726491,1196,1196
1539727466,1248,1248
1539728410,1239,1239
1539729634,1221,1221
1539730591,1206,1206
1539731555,1231,1231
1539732490,1216,1216
1539733463,1217,1217
1539734425,1241,1241
1539735381,1232,1232
1539736338,1264,1264
1539737293,1265,1265
1539738281,1243,1243
1539739239,1254,1254
1539740172,1254,1254
1539741142,1188,1188
1539742114,1229,1229
1539743074,1267,1267
1539744014,1252,1252
1539744973,1297,1297
1539745942,1285,1285
1539746906,1306,1306
1539747861,1218,1218
1539748821,1251,1251
1539749797,1293,1293
1539750738,130,130
1539751693,1368,1368
1539752678,1465,1465
1539753609,1561,1561
1539754573,1467,1467
1539755551,1225,1225
1539756526,1322,1322
1539757472,1338,1338
1539758441,1317,1317
1539759372,1332,1332
1539760345,1311,1311
1539761309,1289,1289
1539762265,1315,1315
1539763224,1315,1315
1539764197,1305,1305
1539765155,1318,1318
1539766340,1323,1323
1539767309,1329,1329
1539768257,1348,1348
1539769211,1341,1341
1539770208,1302,1302
1539771140,1297,1297
1539772091,1283,1283
1539773060,1295,1295
1539774043,1279,1279
1539774985,1278,1278
1539775943,1252,1252
1539776894,1260,1260
1539777880,1279,1279
1539778823,1264,1264
1539779785,1300,1300
1539780757,1325,1325
1539781717,1305,1305
1539782674,1297,1297
1539783612,1284,1284
1539784579,1268,1268
1539785544,1253,1253
1539786493,1278,1278
1539787465,1266,1266
1539788425,1241,1241
1539789507,1238,1238
1539790596,1224,1224
1539791556,1241,1241
1539792539,1241,1241
1539793463,1193,1193
1539794412,1217,1217
1539795389,1212,1212
1539796360,1226,1226
1539797302,1236,1236
1539798261,1243,1243
1539799238,1242,1242
1539800192,1227,1227
1539801143,1216,1216
1539802094,1222,1222
1539803079,1427,1427
1539804011,1393,1393
1539804985,1126,1126
1539805942,1154,1154
1539807420,1201,1201
1539808366,1261,1261
1539809544,1207,1207
1539810517,1194,1194
1539811472,1183,1183
1539812431,1193,1193
1539813380,1193,1193
1539814353,1208,1208
1539815302,1247,1247
1539816264,1248,1248
1539817219,1244,1244
1539818191,1281,1281
1539819142,1290,1290
1539820103,1260,1260
1539821059,1307,1307
1539822021,1264,1264
1539822973,1304,1304
1539823980,1259,1259
1539824896,1277,1277
1539825856,1244,1244
1539826817,1290,1290
1539827798,1281,1281
1539829488,1296,1296
1539830412,1293,1293
1539831373,1268,1268
1539832361,1326,1326
1539833293,1322,1322
1539834259,1331,1331
1539835234,1302,1302
1539836186,1289,1289
1539837142,1295,1295
1539838097,1265,1265
1539839058,1299,1299
1539840018,1314,1314
1539841244,1272,1272
1539842171,1290,1290
1539843150,1313,1313
1539844091,1295,1295
1539845078,1279,1279
1539846022,1281,1281
1539846994,1271,1271
1539847942,1259,1259
1539848897,1241,1241
1539849881,1313,1313
1539850817,1308,1308
1539851782,1255,1255
1539852755,1250,1250
1539853703,1294,1294
1539854656,1305,1305
1539855622,1299,1299
1539856583,1275,1275
1539857545,1265,1265
1539858496,1282,1282
1539859476,1313,1313
1539860426,1314,1314
1539861388,1319,1319
