DateTime,Entries,UniqueIPs
1539835234,41568,43357
1539835716,41568,43357
1539836186,41843,43649
1539837142,41776,43574
1539837624,41778,43576
1539838097,41742,43530
1539839058,41993,43795
1539839554,41998,43798
1539840018,41758,43523
1539841244,41779,43534
1539841698,41780,43536
1539842171,41753,43502
1539843150,41718,43467
1539843634,41845,43595
1539844091,41833,43573
1539845078,41858,43606
1539845538,41859,43605
1539846022,41841,43587
1539846994,41990,43737
1539847472,41988,43736
1539847942,41959,43697
1539848897,41966,43695
1539849370,41970,43700
1539849881,41958,43686
1539850502,42122,43855
1539850817,42080,43817
1539851308,42089,43826
1539851782,42066,43796
1539852755,42049,43773
1539853397,42052,43776
1539853703,42231,43968
1539854102,42365,44105
1539854656,42376,44099
1539855136,42403,44127
1539855622,42178,43895
1539856583,42371,44100
1539857545,42146,43845
1539857702,42301,44004
1539858496,42303,44014
1539859476,42311,44015
1539860426,42524,44244
1539861388,42481,44195
1539862343,42683,44419
1539863296,42532,44248
1539864292,42503,44219
1539865232,42591,44304
1539866188,42592,44297
1539867146,42797,44521
1539868101,42702,44425
1539868501,42813,44538
1539869059,42870,44580
1539870019,42663,44341
1539870987,42688,44364
1539871948,42678,44360
1539872102,42784,44467
1539872898,42768,44450
1539873859,42958,44662
1539874851,42801,44487
1539875785,43051,44751
1539876842,43115,44816
1539877947,43181,44886
1539878667,43181,44885
1539879171,43030,44712
1539879302,43138,44821
1539880089,43158,44834
1539880570,43155,44831
1539881077,43179,44865
1539882041,43207,44888
1539883229,43255,44954
1539884187,43262,44967
1539884653,43260,44967
1539885131,43251,44945
1539886097,43296,44979
1539886602,43367,45051
1539887057,43418,45090
1539888014,43396,45072
1539888975,43415,45086
1539889942,42820,44486
1539890431,42889,44554
1539890891,42904,44565
1539891881,42963,44631
1539892340,42958,44626
1539892846,42956,44624
1539893779,43417,45110
1539894270,43418,45111
1539894739,43431,45115
1539895713,43467,45158
1539896199,43474,45165
1539896660,43480,45173
1539897615,43604,45304
1539898096,43606,45305
1539898591,43605,45303
1539899533,43603,45302
