DateTime,AddedIPs,RemovedIPs
1539728410,36,30
1539729634,31,37
1539730591,29,32
1539731056,5,9
1539731555,25,35
1539732490,29,55
1539733463,37,45
1539734425,31,38
1539734896,13,12
1539735381,29,32
1539736338,47,45
1539737293,34,52
1539738281,32,49
1539738734,19,33
1539739239,32,53
1539740172,58,35
1539741142,36,40
1539742114,28,32
1539743074,72,34
1539744014,36,0
1539744973,43,60
1539745942,46,0
1539746906,28,71
1539747861,34,0
1539748821,32,48
1539749797,40,116
1539750738,1,0
1539751693,28,33
1539752678,39,71
1539753609,55,0
1539754573,60,34
1539755551,41,37
1539756526,35,67
1539757472,36,41
1539758441,53,40
1539759372,30,0
1539760345,44,67
1539761309,39,41
1539762265,34,28
1539763224,28,0
1539764197,41,64
1539765155,40,0
1539766340,52,59
1539767309,48,42
1539768257,43,46
1539769211,44,39
1539769450,17,23
1539770208,52,48
1539771140,56,24
1539772091,61,24
1539773060,72,45
1539774043,55,3
1539774985,67,44
1539775943,57,47
1539776894,43,46
1539777880,45,40
1539778823,1053,2529
1539779785,39,38
1539780757,90,33
1539781717,41,46
1539782674,56,28
1539783612,43,27
1539784579,18,31
1539785544,47,38
1539786493,40,0
1539787465,30,33
1539788425,39,33
1539789507,24,44
1539790596,36,63
1539791556,30,0
1539792539,37,54
1539793463,28,66
1539794412,45,0
1539795389,32,75
1539796360,33,38
1539797302,33,27
1539798261,44,0
1539799238,30,61
1539800192,42,0
1539801143,41,69
1539802094,29,0
1539803079,53,42
1539804011,33,1437
1539804985,35,67
1539805942,35,0
1539807420,42,63
1539808366,20,28
1539809544,33,28
1539810517,28,25
1539811472,37,30
1539812431,42,34
1539813380,28,35
1539814353,38,22
1539815302,34,38
1539816264,45,33
1539817219,36,29
1539818191,51,29
1539819142,45,32
1539820103,51,32
1539821059,33,50
1539822021,36,24
1539822973,44,0
1539823980,45,76
1539824896,52,0
1539825856,43,30
1539826817,44,60
1539827798,30,48
1539829488,68,30
1539830412,61,37
1539831373,39,28
1539832361,34,36
1539833293,43,31
1539834259,43,26
1539835234,31,32
1539836186,54,75
1539837142,30,29
1539838097,43,41
1539839058,67,35
1539840018,40,24
1539841244,43,67
1539842171,33,0
1539843150,50,97
1539844091,35,0
1539845078,49,32
1539846022,39,39
1539846994,47,70
1539847942,34,40
1539848897,33,0
1539849881,39,77
1539850817,43,0
1539851782,58,43
1539852755,44,80
1539853703,36,36
1539854656,41,36
1539855136,19,13
1539855622,32,52
1539856583,32,0
1539857545,43,52
1539858496,30,0
1539859476,47,30
1539860426,48,23
1539861388,58,102
1539862343,41,0
1539863296,31,35
1539864292,36,35
1539865232,911,2943
1539866188,47,33
1539867146,46,32
1539868101,30,43
1539869059,33,56
1539870019,31,50
1539870987,31,41
1539871948,35,49
1539872898,41,53
1539873859,30,56
1539874851,36,54
1539875785,25,61
1539876842,59,51
1539877947,41,60
1539879171,53,43
1539880089,36,26
1539881077,39,31
1539882041,34,45
1539883229,34,36
1539884187,35,41
1539885131,22,37
1539886097,23,34
1539887057,37,32
1539888014,32,33
1539888975,38,43
1539889942,39,1431
1539890891,51,35
1539891881,45,44
1539892846,32,37
1539893779,24,34
1539894739,40,23
1539895713,34,33
1539896660,32,32
1539897615,30,38
1539898591,32,44
1539899533,31,41
1539900509,33,26
1539901455,43,33
1539901936,11,13
1539902417,34,51
1539903376,28,27
1539904347,36,28
1539906055,63,83
1539907225,42,32
1539908188,45,57
1539909139,42,29
1539909848,17,9
1539910118,43,46
1539911080,53,44
1539912012,22,33
1539912983,43,35
1539913951,41,42
1539914912,26,44
1539915860,32,35
1539916818,29,32
1539917815,29,24
1539918738,27,24
1539919695,28,30
1539920674,28,22
1539921689,34,21
1539922601,42,70
1539923542,27,29
1539924496,24,35
1539925493,26,22
1539926413,38,34
1539927393,62,28
1539928333,35,33
1539929303,68,43
1539930260,48,37
1539931218,37,46
1539932178,37,44
1539933144,35,29
1539934108,44,31
1539935057,47,32
1539936026,45,28
1539936991,38,37
1539937942,31,0
1539938898,35,38
1539939867,32,51
1539940946,45,49
1539942031,63,35
1539943241,40,82
1539944184,39,0
1539945142,36,45
1539946098,43,35
1539947085,34,39
1539948261,47,25
1539949477,25,64
1539950467,28,32
1539951388,1406,2334
1539952356,35,69
1539953294,36,4
1539954270,32,60
1539955211,40,0
1539956185,41,64
1539957156,50,41
1539958103,29,0
1539959056,33,35
1539960012,33,35
1539960991,34,81
1539961941,42,0
1539962889,33,36
1539964001,33,44
1539965119,34,92
1539966273,35,45
1539967212,41,43
1539968170,33,32
1539969157,36,45
1539970095,42,23
1539971054,33,24
1539972011,29,30
1539972980,38,20
1539973940,47,37
1539974906,44,23
1539975869,66,1505
1539976819,41,36
1539977779,46,42
1539978733,40,34
1539979712,33,35
1539980674,42,32
1539981618,44,37
1539982576,38,28
1539983545,30,34
1539984503,47,29
1539985459,68,39
1539986427,29,27
1539987383,41,18
1539987854,13,14
1539988340,31,36
1539989293,37,28
1539990278,42,34
1539991210,43,21
1539992173,50,43
1539993157,41,38
1539994095,59,41
1539995054,49,40
1539995537,36,31
1539996018,44,37
1539996981,40,38
1539997945,43,28
1539998894,45,37
1539999873,49,30
1540000819,49,46
1540001776,42,32
1540002759,34,28
1540003701,30,40
1540004664,50,44
1540005614,34,29
1540006593,45,33
1540007533,29,28
1540008498,35,33
1540009471,52,76
1540010412,38,38
1540011369,33,30
1540012339,53,38
1540013289,37,24
1540014272,35,25
1540015222,33,37
1540016189,39,28
1540017165,15,50
1540018092,48,45
1540019081,58,32
1540020014,23,29
1540020976,41,34
1540021934,38,39
1540022901,35,51
1540023887,38,34
1540024839,42,39
1540025789,34,44
1540026765,43,51
1540027695,40,0
1540028660,31,84
1540029619,41,0
1540030594,52,82
1540031547,48,46
1540032497,29,0
1540033466,33,44
1540034416,47,43
1540035389,39,88
1540036340,31,0
1540037296,39,30
1540038263,922,1394
1540039213,41,33
1540040189,43,88
1540041163,39,56
1540042097,42,53
1540043057,30,0
1540044039,19,87
1540044993,51,39
1540045948,48,41
1540046896,35,0
1540047874,33,49
1540048821,27,34
1540049795,42,36
1540050741,47,0
1540051752,40,60
1540052658,32,0
1540053625,35,46
1540054577,39,30
1540055548,51,72
1540056493,49,2
1540057470,33,27
1540058434,42,37
1540059386,33,37
1540060343,43,36
1540061303,40,82
1540062262,56,0
1540063218,35,1040
1540064173,37,35
1540065166,42,80
1540066096,35,0
1540067076,44,59
1540068016,26,0
1540068984,38,91
1540069943,43,0
1540070897,43,67
1540071856,39,0
1540072849,43,79
1540073786,47,0
1540074744,40,57
1540075764,57,35
1540076678,40,45
1540077616,34,0
1540078588,33,31
1540079533,32,35
1540080516,51,86
1540081478,44,53
1540082443,62,34
1540083376,43,0
1540084347,70,91
1540085291,41,0
1540086263,41,68
1540087233,36,0
1540088195,29,29
1540089152,53,30
1540090099,32,25
1540091062,36,30
1540092033,27,35
1540092984,47,30
1540093946,36,35
1540094898,38,24
1540095865,38,60
1540096815,33,31
1540097794,38,38
1540098763,48,31
1540099699,46,36
1540100655,34,37
1540101644,33,39
1540102592,38,29
1540103551,33,33
1540104497,46,44
1540105727,40,34
1540106899,38,33
1540107861,31,32
1540108826,39,29
1540109793,34,61
1540110751,39,0
1540111699,30,36
1540112782,40,29
1540113860,41,32
1540114817,22,67
1540115059,16,44
1540115795,29,11
1540116738,35,29
1540117694,27,37
1540118658,39,31
1540119628,29,32
1540120595,50,66
1540121548,33,36
1540122496,38,0
1540123481,33,31
1540124411,878,1353
1540125375,37,28
1540126343,26,35
1540127821,41,60
1540128733,32,36
1540129698,18,32
1540130668,40,29
1540131626,47,35
1540132592,34,27
1540133538,33,29
1540134500,27,33
1540135485,35,33
1540136413,29,34
1540137375,43,27
1540138471,42,37
1540139806,40,35
1540140736,39,35
1540141716,33,37
1540142665,31,38
1540143621,36,31
1540144579,39,33
1540145553,31,45
1540146493,36,29
1540147463,29,33
1540148443,34,27
1540149386,29,456
1540150340,27,42
1540151299,17,31
1540152265,25,38
1540153214,31,27
1540154191,40,33
1540155140,25,36
1540156106,26,31
1540157058,20,35
1540158017,29,34
1540158995,31,39
1540159936,34,29
1540160894,25,34
1540161373,6,15
1540161858,23,36
1540162837,24,30
1540163790,34,54
1540164743,36,33
1540165207,16,21
1540165714,36,55
1540166661,28,41
1540167616,21,39
1540168585,44,43
1540169052,12,0
1540169558,43,48
1540170521,38,52
1540171454,27,64
1540172423,26,0
1540173378,32,45
1540174345,52,28
1540175315,36,42
1540176258,42,34
1540177240,57,43
1540178180,50,35
1540179148,38,46
1540180112,51,49
1540181080,39,32
1540182018,63,41
1540182988,50,29
1540183936,53,28
1540184902,38,28
1540185871,76,36
1540186816,26,35
1540187780,79,27
1540188743,38,62
1540189698,49,42
1540190658,35,46
1540191624,60,37
1540192591,44,31
1540193545,36,24
1540194495,37,34
1540195480,68,50
1540196423,61,45
1540197377,55,44
1540198343,51,32
1540199822,62,98
1540200743,40,47
1540201699,32,26
1540202786,51,26
