DateTime,AddedIPs,RemovedIPs
1539883924,9,2
1539884643,98,20
1539885364,20,62
1539885828,0,1
1539886324,4,0
1539886923,8,0
1539887524,0,77
1539888486,92,1
1539888723,9,0
1539889430,7,1
1539890524,7,0
1539891362,3,76
1539891723,7,0
1539892324,111,0
1539893026,4,0
1539894123,3,0
1539895324,4,0
1539896162,84,22
1539896570,10,0
1539897125,6,177
1539897723,3,0
1539898923,10,0
1539899523,1,0
1539900123,7,0
1539900166,1,1
1539901323,9,0
1539901923,88,0
1539902885,9,124
1539903123,11,0
1539903842,83,0
1539904923,8,0
1539906003,86,19
1539906724,5,203
1539907369,2,0
1539908524,3,0
1539909725,2,0
1539910323,5,0
1539910970,4,0
1539911523,4,0
1539912003,109,0
1539912123,3,0
1539912722,6,0
1539913446,2,124
1539913923,10,0
1539914565,3,4
1539915124,4,0
1539915723,6,0
1539916923,3,0
1539917523,1,0
1539917763,72,0
1539918228,4,0
1539919323,8,0
1539920524,1,0
1539921123,1,101
1539921766,7,3
1539922323,5,0
1539922923,7,0
1539923523,160,0
1539924006,10,108
1539924123,3,0
1539924723,3,0
1539925442,92,12
1539926523,11,0
1539927843,14,80
1539928923,6,0
1539928970,0,2
1539930123,12,0
1539930723,2,0
1539931202,88,18
1539931324,4,0
1539931923,4,0
1539932568,4,0
1539933723,3,0
1539934323,5,0
1539935043,79,26
1539935523,26,126
1539936227,4,0
1539936723,9,0
1539937323,3,0
1539937924,4,0
1539938523,4,0
1539938883,78,20
1539939123,7,0
1539939827,9,2
1539940323,3,0
1539941282,1,105
1539941523,3,0
1539942124,5,1
1539942723,85,0
1539943366,6,1
1539944163,5,46
1539944642,78,0
1539945122,3,0
1539945723,3,1
1539947027,4,2
1539947525,4,0
1539948122,5,0
1539949323,6,0
1539950164,51,49
1539950882,67,57
1539951123,6,0
1539951724,3,0
1539952923,17,0
1539953523,1,0
1539954171,9,1
1539955323,9,0
1539955922,1,0
1539956162,71,59
1539956643,5,54
1539957123,3,0
1539957723,11,0
1539957766,0,2
1539958324,5,0
1539958923,2,1
1539960123,3,1
1539960482,69,0
1539961366,8,0
1539961923,1,0
1539962523,2,0
1539963843,68,54
1539964565,0,83
1539964969,8,0
1539966123,16,0
1539966724,93,0
1539967322,4,0
1539968642,8,92
1539969604,90,0
1539969724,5,0
1539970562,91,54
1539970923,17,0
1539972172,6,1
1539972723,7,0
1539973324,3,0
1539973923,2,0
1539974402,85,22
1539974523,5,0
1539975365,6,131
1539975768,10,1
1539976323,193,0
1539976923,5,0
1539977523,13,0
1539978243,66,176
1539979323,4,0
1539979428,0,2
1539980164,0,90
1539980523,6,0
1539981123,3,0
1539982082,85,0
1539982323,11,0
1539982969,1,0
1539983524,1,0
1539984008,59,72
1539984123,8,0
1539984723,4,0
1539985323,12,0
1539985923,5,1
1539986574,8,2
1539987123,5,0
1539987844,9,97
1539988923,4,0
1539989763,69,0
1539990167,4,0
1539991324,3,0
1539992523,11,0
1539993123,5,0
1539993614,74,17
1539993725,4,0
1539993834,0,1
1539994564,2,175
1539994924,13,0
1539995524,66,0
1539996122,4,0
1539996723,4,0
