DateTime,AddedIPs,RemovedIPs
1539318047,5,0
1539319200,593,554
1539322224,1083,1101
1539323104,3,3
1539325247,2,0
1539326667,662,660
1539332440,7,0
1539333027,1016,1007
1539333600,189,202
1539339643,1,0
1539340800,172,177
1539341548,1,0
1539342028,0,83
1539343802,838,783
1539344667,1,0
1539346835,5,0
1539348000,135,146
1539350222,0,3
1539353704,771,735
1539354039,1,1
1539354421,718,676
1539354943,0,250
1539355200,126,128
1539356199,59,53
1539361236,4,0
1539362170,167,184
1539362400,110,111
1539363036,1,0
1539365036,6,2
1539365417,652,646
1539368445,6,0
1539369600,119,122
1539375650,1,0
1539375866,1,2
1539376021,615,598
1539376800,59,51
1539382855,3,0
1539384000,79,76
1539384652,0,13
1539386665,0,4
1539387027,535,624
1539390037,1,0
1539390720,253,0
1539391200,697,826
1539397243,4,0
1539397803,2160,2144
1539398400,672,547
1539404450,6,0
1539405600,589,558
1539407102,1,2
1539408603,986,1001
1539411642,1,0
1539412800,539,533
1539414904,1,0
1539417995,2,3
1539418846,2,1
1539419403,938,936
1539420000,352,354
1539426046,1,0
1539427200,239,240
1539427906,0,19
1539428747,2,1
1539430021,882,885
1539433252,6,1
1539434400,184,189
1539435948,1,0
1539436621,0,1
1539439230,3,1
1539440127,686,593
1539440438,3,0
1539441026,756,740
1539441600,140,141
1539444750,45,50
1539447647,1,0
1539448800,120,121
1539450009,0,3
1539451621,614,622
1539454836,1,0
1539455738,1,0
1539456000,113,121
1539460807,0,1
1539462032,3,0
1539462604,598,583
1539463200,105,111
1539469240,2,0
1539470400,59,60
1539471486,0,17
1539473420,595,628
1539474010,1,0
1539476431,2,0
1539477600,878,813
1539482116,2,3
1539483630,1,0
1539484021,2102,2138
1539484800,648,667
1539490838,3,0
1539492000,592,557
1539494104,0,1
1539495028,1087,1094
1539498032,3,0
1539499200,496,506
1539503296,1,6
1539505231,2,0
1539505829,1052,1068
1539506400,441,443
1539510304,2,0
1539512430,2,0
1539513030,1,0
1539513903,246,246
1539514292,0,20
1539516421,850,835
1539518778,1,0
1539519628,2,1
1539520800,167,170
1539522903,0,256
1539523021,1,2
1539524540,4,4
1539526503,669,558
1539526836,6,0
1539527431,794,760
1539528303,137,152
1539532568,69,66
1539534029,2,0
1539535200,151,150
1539535503,0,6
1539538021,690,664
1539541239,2,1
1539542703,136,132
1539545939,3,2
1539547225,2,1
1539549022,707,626
1539549600,100,113
1539555639,2,0
1539556889,104,98
1539558031,0,14
1539559621,638,726
1539562835,2,0
1539564000,873,828
1539567013,1,0
1539570037,2,0
1539570626,2333,2428
1539571200,707,737
1539573635,1,0
1539577240,2,1
1539577809,0,1
1539578703,583,547
1539581222,1333,1307
1539584441,3,0
1539585600,564,575
1539588626,0,1
1539591517,0,1
1539591633,3,0
1539592021,1137,1127
1539592800,362,361
1539598032,0,1
1539598834,2,0
1539600000,240,231
1539600722,0,14
1539601535,1,0
1539603031,909,839
1539606931,2,1
1539607468,191,201
1539609303,1,8
1539610230,0,3
1539612027,746,571
1539613621,754,728
1539614400,117,116
1539616175,204,0
1539620183,1,3
1539620657,92,96
1539621600,145,144
1539624618,736,716
1539627629,3,0
1539628800,148,132
1539631229,0,1
1539635301,3,1
1539636000,752,726
1539641184,4,2
1539642031,2,0
1539643502,53,55
1539644404,0,18
1539646204,677,657
1539649230,2,0
1539650400,890,852
1539652504,1,3
1539656435,2,0
1539657026,2539,2640
1539657600,654,696
1539662045,2,3
1539663631,2,0
1539665103,655,625
1539667621,1212,1231
1539670828,4,1
1539672303,477,474
1539672304,2,2
1539678032,11,0
1539678604,1133,1123
1539679451,272,273
1539679503,1,0
1539682402,1,8
1539685227,6,1
1539686400,195,186
1539686704,1,0
1539687027,0,18
1539689221,920,906
1539692433,3,0
1539693411,3,4
1539694105,214,221
1539695059,1,0
1539695822,0,3
1539699303,1126,581
1539699629,1,1
1539700229,799,796
1539700800,134,142
1539702902,248,0
1539704145,1,3
1539706839,5,0
1539708000,150,154
1539708736,69,60
1539711023,733,715
1539714030,3,1
1539715004,1,3
