DateTime,AddedIPs,RemovedIPs
1539820323,9,0
1539820924,3,0
1539821523,2,0
1539822123,11,0
1539823323,6,0
1539824522,4,1
1539825124,6,0
1539825724,4,0
1539826925,10,0
1539827523,5,0
1539828124,3,0
1539829324,3,0
1539830524,2,0
1539831123,3,0
1539831724,3,0
1539832323,3,0
1539833523,4,0
1539834123,2,0
1539834723,4,0
1539835323,9,0
1539835924,6,0
1539836524,8,0
1539837123,8,0
1539837724,18,0
1539838324,2,0
1539838924,12,0
1539839523,3,0
1539840123,8,0
1539840723,6,0
1539841324,7,0
1539842524,11,0
1539843125,3,0
1539843723,5,0
1539844923,14,0
1539846124,2,0
1539846724,5,0
1539847323,9,0
1539847924,12,0
1539848523,5,0
1539849723,1,0
1539850924,5,0
1539851524,4,0
1539852124,3,0
1539852723,3,0
1539853323,5,0
1539853925,2,0
1539854523,3,0
1539855123,3,0
1539855723,5,0
1539856324,5,1
1539856923,1,0
1539858123,10,0
1539858723,4,0
1539859323,4,0
1539860524,4,0
1539861124,3,0
1539861723,6,0
1539862924,5,0
1539863524,4,0
1539864123,6,0
1539864723,1,0
1539865323,2,0
1539865924,2,0
1539866523,9,0
1539867123,2,0
1539867723,2,0
1539868323,4,0
1539868924,2,1
1539870123,4,0
1539870723,2,0
1539871323,3,0
1539871924,3,0
1539872523,4,0
1539873123,3,0
1539873723,11,0
1539874924,8,0
1539875524,6,0
1539876123,4,0
1539877323,2,0
1539878523,7,0
1539879723,10,2
1539880322,1,0
1539880923,4,0
1539881523,2,1
1539882724,9,1
1539883324,9,0
1539883924,9,2
1539884524,2,0
1539886324,4,0
1539886923,8,0
1539888123,2,1
1539888723,9,0
1539889324,7,0
1539890524,7,0
1539891123,3,0
1539891723,7,0
1539892324,1,0
1539892924,4,0
1539894123,3,0
1539895324,4,0
1539895923,10,0
1539896523,10,0
1539897125,6,0
1539897723,3,0
1539898923,10,0
1539899523,1,0
1539900123,7,0
1539901323,9,0
1539902523,9,0
1539903123,11,0
1539903724,3,0
1539904923,8,0
1539905523,10,0
1539906723,5,0
1539907325,2,0
1539908524,3,0
1539909725,2,0
1539910323,5,0
1539910923,4,0
1539911523,4,0
1539912123,3,0
1539912722,6,0
1539913323,2,0
1539913923,10,0
1539914523,3,1
1539915124,4,0
1539915723,6,0
1539916923,3,0
1539917523,1,0
1539918123,4,0
1539919323,8,0
1539920524,1,0
1539921122,1,0
1539921723,3,0
1539922323,5,0
1539922923,7,0
1539923523,3,0
1539924123,3,0
1539924723,3,0
1539925324,3,0
1539926523,11,0
1539927724,3,1
1539928923,6,0
1539930123,12,0
1539930723,2,0
1539931324,4,0
1539931923,4,0
1539932523,4,0
1539933723,3,0
1539934323,5,0
1539934923,10,0
1539936123,4,0
1539936723,9,0
1539937323,3,0
1539937924,4,0
1539938523,4,0
1539939123,7,0
1539939723,9,0
1539940323,3,0
1539940925,1,0
1539941523,3,0
1539942124,5,1
1539942723,9,0
1539943323,6,0
1539943924,5,0
1539944523,4,0
1539945122,3,0
1539945723,3,1
1539946924,4,0
1539947525,4,0
1539948122,5,0
1539949323,6,0
1539950524,4,0
1539951123,6,0
1539951724,3,0
1539952923,17,0
1539953523,1,0
1539954123,9,0
1539955323,9,0
1539955922,1,0
1539956523,5,0
1539957123,3,0
1539957723,11,0
1539958324,5,0
1539958923,2,1
