DateTime,AddedIPs,RemovedIPs
1539234997,17,21
1539236912,16,23
1539238830,25,25
1539240751,18,23
1539242672,37,22
1539244574,38,31
1539246506,19,37
1539248426,18,37
1539250352,39,23
1539252259,38,1389
1539254170,38,27
1539256109,629,1
1539258014,35,26
1539260686,43,23
1539262588,33,18
1539264490,30,19
1539266468,39,27
1539268341,29,21
1539270268,33,15
1539272173,24,23
1539274366,44,14
1539276269,31,18
1539278199,35,23
1539280093,19,28
1539282010,47,40
1539283932,59,32
1539285889,41,34
1539287774,32,36
1539289708,19,51
1539291636,18,48
1539293535,14,34
1539295473,22,24
1539297373,26,28
1539299297,576,0
1539301212,18,21
1539303140,14,17
1539305057,18,16
1539306989,19,19
1539308895,16,23
1539310829,13,21
1539312739,10,13
1539314674,13,19
1539316572,11,14
1539318504,11,15
1539320442,15,18
1539322344,15,25
1539324272,17,27
1539326173,33,42
1539328102,10,29
1539330022,22,37
1539332187,15,51
1539334092,20,40
1539336009,33,44
1539337931,22,29
1539339857,22,1440
1539341780,39,41
1539343689,630,0
1539345664,31,44
1539347540,32,28
1539349468,24,36
1539351380,44,40
1539353311,50,23
1539355214,35,17
1539357385,49,19
1539359293,48,11
1539361231,30,17
1539363142,33,15
1539365053,49,19
1539366985,46,19
1539368896,47,21
1539370843,86,36
1539372742,39,31
1539374670,35,29
1539376572,46,25
1539378508,47,24
1539380415,37,41
1539382342,24,33
1539384268,19,29
1539386430,546,0
1539388346,21,34
1539390258,14,20
1539392193,24,36
1539394091,35,25
1539396034,34,30
1539397942,26,10
1539399870,20,20
1539401772,28,9
1539403709,26,16
1539405610,21,17
1539407540,19,14
1539409458,15,14
1539411384,20,21
1539413295,29,25
1539415220,22,38
1539417156,29,25
1539419053,28,28
1539420986,35,18
1539422893,28,36
1539424836,31,1182
1539426734,30,27
1539428670,457,0
1539430573,34,23
1539432509,10,14
1539434412,14,17
1539436350,26,25
1539438254,28,18
1539440195,26,19
1539442106,28,8
1539444255,33,18
1539446183,34,12
1539448138,21,12
1539450041,29,15
1539451940,25,15
1539453863,25,17
1539455784,38,26
1539457696,25,14
1539459612,19,26
1539461542,17,18
1539463455,25,21
1539465389,23,28
1539467307,31,29
1539469216,25,29
1539471138,15,29
1539473058,417,0
1539474984,16,15
1539476897,16,19
1539478834,15,19
1539480740,20,14
1539482669,13,16
1539484574,21,10
1539486498,11,11
1539488412,16,11
1539490336,11,16
1539492270,21,7
1539494191,73,17
1539496095,10,11
1539498030,21,31
1539499948,14,11
1539501856,19,23
1539503908,13,22
1539505940,20,19
1539507870,15,27
1539509772,12,30
1539511696,9,1535
1539513617,49,35
1539515539,593,0
1539517466,14,16
1539519387,36,28
1539521294,15,25
1539523218,23,29
1539525132,20,33
1539527056,16,21
1539528980,16,30
1539530891,14,27
1539532831,27,30
1539534741,19,13
1539536669,21,26
1539538572,18,18
1539540496,15,12
1539542417,20,30
1539544342,12,26
1539546257,24,24
1539548196,15,40
1539550099,18,31
1539552018,27,29
1539553933,23,28
1539555855,24,23
1539557784,17,33
1539559695,543,0
1539561654,17,25
1539563564,12,15
1539565477,15,26
1539567395,12,32
1539569313,7,27
1539571222,15,19
1539573153,7,25
1539575055,11,24
1539577002,25,26
1539578916,14,17
1539580838,17,22
1539582743,17,8
1539584667,22,13
1539586572,17,33
1539588507,15,25
1539590455,24,35
1539592581,29,30
1539594523,27,23
1539596426,70,40
1539598355,27,1012
1539600255,23,39
1539602197,442,0
1539604113,36,13
1539606043,28,16
1539607945,21,19
1539609868,27,16
1539611778,35,21
1539613698,26,24
1539615651,31,16
1539617545,18,16
1539619739,22,22
1539621614,34,27
1539623553,33,14
1539625468,16,17
1539627387,26,11
1539629552,16,13
1539631469,15,21
1539633371,46,18
1539635303,73,16
1539637464,55,18
1539639384,47,15
1539641315,33,14
1539643213,12,42
1539645141,379,0
1539647060,28,13
1539648985,61,14
1539650894,21,17
1539652823,40,18
1539654738,26,18
1539656665,16,17
1539658585,25,17
1539660489,22,11
1539662434,28,21
1539664338,33,19
1539666258,28,14
1539668185,26,16
1539670096,40,14
1539672016,17,11
1539673937,16,16
1539675857,21,14
1539677779,20,22
1539679693,21,17
1539681630,13,10
1539683553,31,17
1539685474,23,925
1539687375,44,28
1539689290,459,1
1539691265,33,21
1539693135,30,13
1539695055,30,20
1539696981,30,9
1539698911,27,9
1539700827,23,15
1539703009,30,12
1539704908,17,11
1539707308,34,27
1539709234,27,21
1539711136,21,15
1539713323,23,18
1539715226,42,19
1539717151,41,15
1539719053,63,22
1539720992,84,24
1539722909,32,28
1539725054,26,27
1539727005,19,28
1539729139,11,30
1539731067,427,2
1539732997,37,11
1539734921,32,17
1539736832,18,17
1539738746,15,14
1539740667,15,4
1539742598,12,11
1539744509,21,11
1539746438,15,9
1539748391,19,10
1539750258,15,20
1539752172,33,20
1539754109,34,12
1539756032,38,16
1539757976,47,18
1539759871,23,13
1539761785,26,23
1539763723,16,21
1539765617,23,27
1539767535,19,28
1539769465,18,21
1539771380,47,1309
1539773555,45,39
1539775464,643,0
1539777373,36,43
1539779305,19,42
1539781236,23,38
1539783139,25,28
1539785075,24,28
1539786995,29,26
1539788919,22,14
1539791060,34,32
1539793000,53,42
1539794893,24,26
1539796819,30,23
1539798751,15,19
1539800668,28,30
1539802574,20,15
1539804508,31,20
1539806438,29,24
1539808356,16,17
1539810514,24,25
1539812428,26,27
1539814342,16,27
1539816261,33,25
1539818189,574,0
1539820100,17,29
1539822018,15,51
1539823971,11,28
1539825854,11,23
1539827789,18,32
1539829935,6,23
1539831860,14,13
1539833796,24,30
1539835718,10,28
1539837626,14,27
1539839556,23,25
1539841700,33,24
1539843636,39,29
1539845541,26,11
1539847474,32,16
1539849373,24,20
1539851310,30,21
1539853399,39,23
1539855618,27,30
1539857541,21,1360
1539859464,14,35
1539861385,595,1
1539863293,31,32
1539865229,30,26
1539867143,75,20
1539869054,47,14
1539870983,53,11
1539872894,16,14
1539874848,39,26
1539876738,25,12
1539878668,31,26
1539880571,23,28
1539882760,22,40
1539884655,24,32
1539886603,20,39
1539888516,23,27
1539890432,30,24
1539892341,24,21
1539894271,12,27
1539896200,21,20
1539898097,15,21
1539900039,18,41
1539901957,11,37
1539903876,567,1
1539906045,44,42
1539908186,32,28
1539910109,23,14
1539912010,13,12
1539913945,13,10
1539915858,6,14
1539917805,24,25
1539919693,15,12
1539921678,33,26
1539923540,34,21
1539925465,14,25
1539927381,15,42
1539929300,29,25
1539931216,41,37
1539933141,23,25
1539935054,17,16
1539936989,20,28
1539938897,13,18
1539940941,20,23
1539942747,40,26
1539944671,28,1190
1539946569,64,24
1539948759,541,0
1539950916,59,20
1539952822,48,15
1539954753,55,14
1539956666,40,14
1539958596,30,13
1539960501,15,14
1539962430,20,19
1539964612,12,13
1539966742,27,21
1539968659,23,21
1539970589,24,32
1539972525,20,31
1539974430,51,36
1539976361,19,40
1539978274,18,26
1539980192,22,23
1539982110,29,34
1539984041,25,24
1539985956,28,17
1539987872,41,17
1539989773,42,22
1539991708,460,0
1539993647,8,14
1539995559,16,19
1539997475,13,9
1539999376,38,17
1540001311,8,12
1540003250,14,15
1540005164,15,10
1540007058,14,10
1540009219,15,19
1540011133,9,19
1540013058,15,19
1540014985,15,38
1540017161,21,33
1540019069,10,38
1540020972,33,22
1540022896,40,22
1540024836,30,39
1540026762,27,21
1540028655,11,15
1540030590,22,1232
1540032493,52,44
1540034413,596,0
1540036337,22,36
1540038259,21,25
1540040185,24,22
1540042094,22,10
1540044036,27,9
1540045944,27,8
1540047869,32,32
1540049792,26,34
1540051748,28,32
1540053621,24,36
1540055544,50,16
1540057461,15,18
1540059383,21,44
1540061299,17,14
1540063215,39,35
1540065154,42,17
1540067073,49,15
1540068980,33,13
1540070895,19,23
1540072846,34,39
1540074740,17,37
1540076675,518,0
1540078586,25,35
1540080514,11,23
1540082441,13,19
1540084345,24,18
1540086260,32,9
1540088193,22,6
1540090097,13,16
1540092030,12,30
1540093943,5,34
1540095863,8,41
1540097785,16,20
1540099697,22,13
1540101642,17,31
1540103548,14,22
1540105716,12,25
1540107858,11,24
1540109790,20,16
1540111696,23,15
1540113855,14,18
1540115656,25,33
1540117691,19,1223
1540119625,465,3
1540121543,31,16
1540123471,49,6
1540125372,36,16
1540127810,50,24
1540129695,32,29
1540131623,60,10
1540133535,43,12
1540135473,27,15
1540137372,53,21
1540139795,38,17
1540141713,47,17
1540143618,45,13
1540145550,17,13
1540147458,14,14
1540149383,32,12
1540151297,14,41
1540153211,20,35
1540155136,16,29
1540157054,11,21
1540158986,16,13
1540160891,11,25
1540162835,395,0
1540164741,10,12
1540166659,7,6
1540168583,20,14
1540170512,25,11
1540172420,32,39
1540174342,19,7
1540176255,14,13
1540178178,18,13
1540180108,10,18
1540182016,12,14
1540183934,12,12
1540185867,13,14
1540187777,20,15
1540189694,21,15
1540191620,12,8
1540193543,10,22
1540195472,12,39
1540197374,14,30
1540199813,33,34
1540201696,30,14
1540203618,32,1083
