DateTime,Entries,UniqueIPs
1539745205,30727,30727
1539746104,29912,29912
1539747004,29429,29429
1539748804,28279,28279
1539749704,27633,27633
1539750604,26926,26926
1539751504,26444,26444
1539752404,26041,26041
1539753305,25315,25315
1539754205,24827,24827
1539755105,24389,24389
1539756006,23786,23786
1539756907,23319,23319
1539757807,23100,23100
1539758706,22721,22721
1539759607,22271,22271
1539760507,21727,21727
1539761407,21238,21238
1539762307,20778,20778
1539763207,20145,20145
1539764107,18934,18934
1539765007,17304,17304
1539765906,16204,16204
1539766808,14911,14911
1539767707,11708,11708
1539768607,10286,10286
1539769508,8679,8679
1539770409,6682,6682
1539771308,5558,5558
1539772209,4954,4954
1539773109,4816,4816
1539774008,4752,4752
1539774909,4787,4787
1539775809,5862,5862
1539776709,6459,6459
1539777609,6738,6738
1539778510,7325,7325
1539779408,8017,8017
1539780308,8728,8728
1539781208,9097,9097
1539782109,9674,9674
1539783011,10344,10344
1539783908,10256,10256
1539784809,10219,10219
1539785709,10447,10447
1539786609,10543,10543
1539787509,10857,10857
1539788410,11029,11029
1539789310,10743,10743
1539790209,10361,10361
1539791109,10347,10347
1539792011,9942,9942
1539792910,9683,9683
1539793810,9211,9211
1539794711,8488,8488
1539795610,8000,8000
1539796511,7989,7989
1539797411,7838,7838
1539798311,7325,7325
1539799211,7242,7242
1539800113,7021,7021
1539801010,6911,6911
1539801911,6663,6663
1539802812,6404,6404
1539803710,6400,6400
1539804611,6428,6428
1539805511,6153,6153
1539806411,6136,6136
1539807312,5774,5774
1539808211,5478,5478
1539809112,5414,5414
1539810011,5516,5516
1539810912,5317,5317
1539811811,4857,4857
1539812712,4951,4951
1539813611,5174,5174
1539814513,5131,5131
1539815411,5175,5175
1539816312,5270,5270
1539817211,5444,5444
1539818111,5706,5706
1539819012,5939,5939
1539819912,6490,6490
1539820811,7120,7120
1539821712,7664,7664
1539822611,8142,8142
1539823510,8558,8558
1539824412,8887,8887
1539825313,9132,9132
1539826214,9577,9577
1539827111,9983,9983
1539828014,10296,10296
1539829810,10982,10982
1539830712,11139,11139
1539831611,11058,11058
1539832511,11092,11092
1539833411,11190,11190
1539834312,11413,11413
1539835210,11501,11501
1539836111,11613,11613
1539837011,11789,11789
1539837912,12191,12191
1539838811,12517,12517
1539839711,12598,12598
1539840611,12732,12732
1539841511,12819,12819
1539842410,13141,13141
1539843312,13416,13416
1539844209,13380,13380
1539845112,13148,13148
1539846011,13027,13027
1539846911,13147,13147
1539847811,13301,13301
1539848712,13136,13136
1539849609,13032,13032
1539850510,13144,13144
1539851412,13216,13216
1539852312,13099,13099
1539853209,12961,12961
1539854108,12778,12778
1539855010,12708,12708
1539855908,12795,12795
1539856809,12789,12789
1539857709,12751,12751
1539858609,12846,12846
1539859510,12823,12823
1539860410,12682,12682
1539861308,12721,12721
1539862210,12646,12646
1539863110,12872,12872
1539864011,13020,13020
1539864909,13433,13433
1539865810,13674,13674
1539866711,14056,14056
1539867610,14604,14604
1539868508,15062,15062
1539869410,15475,15475
1539870308,15908,15908
1539871208,16210,16210
1539872107,16496,16496
1539873008,16890,16890
1539873907,16458,16458
1539874807,15592,15592
1539875709,15367,15367
1539876609,15384,15384
1539877508,14923,14923
1539878410,14136,14136
1539879309,12532,12532
1539880210,11214,11214
1539881108,9907,9907
1539882008,8647,8647
1539882909,8759,8759
1539883808,8961,8961
1539884709,8978,8978
1539885610,8513,8513
1539886509,8567,8567
1539887410,8570,8570
1539888311,8266,8266
1539889210,8129,8129
1539890109,8172,8172
1539891009,8177,8177
1539891909,7995,7995
1539892810,7702,7702
1539893710,7675,7675
1539894610,7853,7853
1539895509,7693,7693
1539896409,7515,7515
1539897311,7668,7668
1539898210,7523,7523
1539899110,7664,7664
1539900011,7469,7469
1539900910,7400,7400
1539901809,7151,7151
1539902710,7216,7216
1539903610,7171,7171
1539904512,7382,7382
1539906308,7573,7573
1539907210,7701,7701
1539908108,7765,7765
1539909010,8106,8106
1539909909,8242,8242
1539910811,8841,8841
1539911711,9378,9378
1539912609,9747,9747
1539913510,10048,10048
1539914410,10352,10352
1539915311,10642,10642
1539916212,10689,10689
1539917110,10897,10897
1539918010,11149,11149
1539918910,11439,11439
1539919811,11591,11591
1539920710,11827,11827
1539921611,12036,12036
1539922511,12171,12171
1539923410,12233,12233
1539924310,12170,12170
1539925211,12416,12416
1539926111,12691,12691
1539927010,12697,12697
1539927910,12448,12448
1539928811,12244,12244
1539929709,12229,12229
1539930611,12242,12242
1539931511,11964,11964
1539932410,11635,11635
1539933310,10137,10137
1539934211,9618,9618
1539935109,8566,8566
1539936009,7920,7920
1539936909,7480,7480
1539937811,7271,7271
1539938710,7072,7072
1539939611,6499,6499
1539940509,6702,6702
1539941409,6845,6845
1539942311,6320,6320
1539943211,6261,6261
1539944110,6523,6523
1539945011,6547,6547
1539945911,6556,6556
1539946811,5959,5959
1539947710,6231,6231
1539948611,6268,6268
1539949511,6012,6012
1539950411,5933,5933
1539951310,6233,6233
1539952210,6807,6807
1539953110,7274,7274
1539954010,7731,7731
1539954910,8445,8445
1539955810,9046,9046
1539956710,9626,9626
1539957610,10262,10262
1539958511,10731,10731
1539959411,11525,11525
1539960310,12337,12337
1539961209,12951,12951
1539962110,13585,13585
1539963010,14075,14075
1539964809,15276,15276
1539965710,15956,15956
1539966609,16625,16625
1539967510,17332,17332
1539968410,18031,18031
1539969310,18759,18759
1539970210,19313,19313
1539971110,19762,19762
1539972909,20117,20117
1539973810,20238,20238
1539974709,20296,20296
1539975609,20306,20306
1539976509,20292,20292
1539977410,20287,20287
1539978309,20209,20209
1539979210,20150,20150
1539980109,20274,20274
1539981008,20426,20426
1539981908,20599,20599
1539982808,20709,20709
1539983710,20851,20851
1539984609,20897,20897
1539985509,20865,20865
1539986409,20882,20882
1539987308,20782,20782
1539988208,20683,20683
1539989106,20614,20614
1539990007,20580,20580
1539990907,20664,20664
1539991807,20732,20732
1539992707,20666,20666
1539993607,20565,20565
1539994507,20456,20456
1539995407,20382,20382
1539996306,20470,20470
1539997207,20510,20510
1539998106,20647,20647
1539999006,20797,20797
1539999906,21014,21014
1540000807,21266,21266
1540001706,21449,21449
1540002605,21633,21633
1540003505,21765,21765
1540004404,21880,21880
1540005304,21988,21988
1540006205,22066,22066
1540007105,22128,22128
1540008005,22297,22297
1540008905,22491,22491
1540009805,22528,22528
1540010705,22523,22523
1540011605,22506,22506
1540012505,22474,22474
1540013405,22570,22570
1540014305,22718,22718
1540015205,22796,22796
1540016105,22901,22901
1540017005,22962,22962
1540017905,22896,22896
1540018804,22869,22869
1540019705,22820,22820
1540020605,22810,22810
1540021505,22851,22851
1540022405,22889,22889
1540023304,22904,22904
1540024204,22748,22748
1540025105,22674,22674
1540026004,22611,22611
1540026905,22575,22575
1540028704,22053,22053
1540029605,21888,21888
1540030505,21697,21697
1540031405,21553,21553
1540032305,21381,21381
1540033204,21294,21294
1540034105,21142,21142
1540035004,20948,20948
1540035905,20640,20640
1540036805,20657,20657
1540037705,20714,20714
1540038605,20651,20651
1540039505,20563,20563
1540040405,20519,20519
1540041305,20539,20539
1540042205,20526,20526
1540043105,20586,20586
1540044005,20671,20671
1540044904,20805,20805
1540045805,20888,20888
1540046705,20911,20911
1540047604,20884,20884
1540048505,20737,20737
1540049405,20667,20667
1540050304,20634,20634
1540051205,20630,20630
1540052105,20672,20672
1540053005,20808,20808
1540053904,20733,20733
1540054804,20612,20612
1540055704,20453,20453
1540056605,20303,20303
1540057504,20297,20297
1540058405,20359,20359
1540059305,20541,20541
1540060205,20670,20670
1540061104,20724,20724
1540062005,20816,20816
1540062904,20951,20951
1540063804,21057,21057
1540064704,20940,20940
1540065605,20933,20933
1540066505,20721,20721
1540067405,20661,20661
1540068305,20526,20526
1540069204,20442,20442
1540070105,20321,20321
1540071005,19962,19962
1540071905,18840,18840
1540072804,17875,17875
1540073705,16851,16851
1540074604,15415,15415
1540075507,14261,14261
1540076406,13205,13205
1540077306,11813,11813
1540078207,10301,10301
1540079107,9352,9352
1540080007,8392,8392
1540080907,7484,7484
1540081807,7124,7124
1540082707,7149,7149
1540083608,7203,7203
1540084506,7140,7140
1540085407,7108,7108
1540086308,6659,6659
1540087208,6957,6957
1540088107,6993,6993
1540089007,7023,7023
1540089908,7041,7041
1540090807,6987,6987
