DateTime,Entries,UniqueIPs
1539590428,4924,4924
1539590886,4921,4921
1539591370,4920,4920
1539592088,4925,4925
1539592566,4926,4926
1539598328,4925,4925
1539598804,4926,4926
1539605047,4926,4926
1539606023,4925,4925
1539606485,4926,4926
1539613205,4925,4925
1539614165,4926,4926
1539621129,4925,4925
1539621606,4926,4926
1539627371,4925,4925
1539628085,4926,4926
1539634328,4925,4925
1539636250,4926,4926
1539646566,4925,4925
1539647529,4926,4926
1539651848,4918,4918
1539652327,4918,4918
1539652812,4923,4923
1539653289,4918,4918
1539653769,4917,4917
1539654246,4918,4918
1539654727,4920,4920
1539655216,4922,4922
1539655687,4918,4918
1539656167,4920,4920
1539656646,4921,4921
1539657129,4918,4918
1539657605,4919,4919
1539658085,4922,4922
1539658569,4919,4919
1539659050,4915,4915
1539659528,4918,4918
1539660006,4915,4915
1539660486,4918,4918
1539660964,4918,4918
1539661447,4917,4917
1539661925,4917,4917
1539662427,4920,4920
1539662890,4922,4922
1539663376,4920,4920
1539663845,4920,4920
1539664330,4921,4921
1539664807,4921,4921
1539665285,4918,4918
1539665765,4916,4916
1539666249,4919,4919
1539666726,4920,4920
1539667206,4919,4919
1539667688,4919,4919
1539668167,4915,4915
1539668646,4918,4918
1539669125,4917,4917
1539669616,4913,4913
1539670087,4916,4916
1539670567,4913,4913
1539671045,4915,4915
1539671528,4916,4916
1539672010,4917,4917
1539672488,4916,4916
1539672965,4918,4918
1539673446,4915,4915
1539673930,4914,4914
1539674408,4914,4914
1539674884,4917,4917
1539675366,4915,4915
1539675849,4914,4914
1539676326,4913,4913
1539676813,4912,4912
1539677286,4911,4911
1539677768,4915,4915
1539678247,4914,4914
1539678726,4918,4918
1539694566,4917,4917
1539695528,4918,4918
1539702969,4917,4917
1539704406,4918,4918
1539712814,4917,4917
1539713768,4918,4918
1539724567,4917,4917
1539726008,4918,4918
1539731049,4918,4918
1539738729,4914,4914
1539739211,4914,4914
1539739688,4917,4917
1539740164,4916,4916
1539740647,4917,4917
1539741129,4924,4924
1539741610,4925,4925
1539742086,4920,4920
1539742582,4917,4917
1539743046,4918,4918
1539743525,4922,4922
1539744008,4918,4918
1539744491,4917,4917
1539744965,4921,4921
1539745450,4923,4923
1539745926,4927,4927
1539746417,4923,4923
1539746887,4925,4925
1539747365,4928,4928
1539747845,4926,4926
1539748329,4918,4918
1539748815,4923,4923
1539749288,4923,4923
1539749769,4919,4919
1539750247,4919,4919
1539750725,4917,4917
1539751215,4919,4919
1539751685,4919,4919
1539752165,4918,4918
1539752646,4918,4918
1539753126,4915,4915
1539753604,4913,4913
1539754089,4916,4916
1539754565,4913,4913
1539755048,4912,4912
1539755525,4909,4909
1539756022,4908,4908
1539756488,4914,4914
1539756976,4912,4912
1539757444,4902,4902
1539757934,4905,4905
1539758409,4902,4902
1539758886,4901,4901
1539759365,4903,4903
1539759847,4907,4907
1539760329,4904,4904
1539760804,4902,4902
1539761285,4905,4905
1539761770,4905,4905
1539762247,4903,4903
1539762728,4900,4900
1539763215,4901,4901
1539763698,4899,4899
1539764167,4901,4901
1539764645,4899,4899
1539765129,4897,4897
1539765606,4896,4896
1539766326,4894,4894
1539766827,4889,4889
1539767289,4888,4888
1539771604,4887,4887
1539772567,4888,4888
1539781688,4887,4887
1539783129,4888,4888
1539791528,4887,4887
1539792968,4888,4888
1539807372,4887,4887
1539808328,4888,4888
1539823926,4887,4887
1539824419,4886,4886
