DateTime,Entries,UniqueIPs
1539825124,7509,7635
1539825724,7557,7683
1539826925,7531,7661
1539827523,7533,7665
1539828124,7536,7670
1539829324,7477,7611
1539830524,7534,7669
1539831724,7531,7665
1539832323,7533,7668
1539832923,7582,7719
1539833523,7572,7710
1539834123,7572,7712
1539834723,7629,7769
1539835323,7588,7727
1539835924,7644,7784
1539836524,7662,7802
1539837123,7612,7751
1539837724,7606,7747
1539838324,7664,7809
1539838924,7666,7813
1539839523,7655,7803
1539840123,7650,7800
1539840723,7657,7806
1539841324,7660,7810
1539842524,7655,7804
1539843125,7654,7803
1539843723,7615,7763
1539844923,7621,7763
1539846124,7567,7708
1539846724,7622,7765
1539847323,7677,7825
1539847924,7699,7847
1539848523,7705,7848
1539849723,7712,7855
1539850924,7596,7735
1539851524,7582,7723
1539852124,7599,7739
1539853323,7624,7762
1539853925,7671,7812
1539854523,7718,7862
1539855723,7656,7797
1539856324,7659,7797
1539856923,7683,7817
1539858123,7738,7874
1539858723,7739,7874
1539859323,7721,7855
1539860524,7668,7801
1539861124,7728,7862
1539861723,7729,7863
1539862924,7680,7812
1539863524,7735,7868
1539864123,7752,7883
1539865323,7690,7822
1539865924,7744,7881
1539866523,7686,7820
1539867123,7744,7881
1539867723,7801,7939
1539868323,7783,7916
1539868924,7797,7926
1539870123,7795,7927
1539870723,7862,7994
1539871323,7859,7994
1539872523,7850,7984
1539873123,7854,7985
1539873723,7859,7990
1539874924,7866,7996
1539875524,7848,7978
1539876123,7840,7972
1539877323,7778,7908
1539878523,7731,7858
1539879723,7738,7865
1539880322,7766,7892
1539880923,7758,7882
1539882124,7690,7813
1539882724,7708,7825
1539883324,7760,7877
1539883924,7719,7834
1539884524,7716,7833
1539885724,7760,7881
1539886324,7705,7826
1539886923,7703,7825
1539888123,7625,7745
1539888723,7684,7805
1539889324,7691,7811
1539890524,7703,7825
1539891123,7701,7822
1539891723,7645,7764
1539892324,7647,7766
1539892924,7700,7821
1539894123,7690,7811
1539895324,7570,7685
1539895923,7555,7671
1539896523,7615,7732
1539897125,7602,7716
1539897723,7595,7711
1539898923,7503,7612
1539900123,7491,7598
1539900724,7490,7598
1539901323,7501,7608
1539902523,7453,7557
1539903123,7502,7608
1539903724,7553,7662
1539904923,7489,7597
1539905523,7419,7527
1539906723,7418,7526
1539907325,7377,7480
1539907924,7362,7466
1539908524,7420,7525
1539909725,7412,7517
1539910323,7407,7512
1539910923,7456,7562
1539911523,7444,7550
1539912123,7360,7466
1539912722,7409,7517
1539913323,7414,7525
1539913923,7468,7579
1539914523,7429,7537
1539915124,7477,7587
1539915723,7524,7638
1539916923,7535,7646
1539918123,7472,7579
1539919323,7478,7587
1539920524,7432,7541
1539921723,7366,7469
1539922323,7360,7463
1539922923,7275,7374
1539923523,7317,7419
1539924123,7291,7389
1539924723,7279,7376
1539925324,7280,7374
1539926523,7262,7357
1539927724,7205,7298
1539928923,7202,7294
1539929524,7144,7235
1539930123,7196,7290
1539930723,7183,7280
1539931324,7179,7278
1539931923,7242,7342
1539932523,7302,7402
1539933723,7253,7352
1539934323,7188,7282
1539934923,7177,7272
1539936123,7185,7282
1539936723,7244,7342
1539937323,7313,7413
1539937924,7309,7410
1539938523,7308,7413
1539939123,7297,7402
1539939723,7360,7465
1539940323,7337,7445
1539940925,7282,7385
1539941523,7327,7430
1539942124,7381,7487
1539942723,7389,7498
1539943323,7303,7411
1539943924,7342,7452
1539944523,7324,7439
1539945122,7301,7416
1539945723,7348,7464
1539946924,7329,7445
1539947525,7301,7419
1539948122,7244,7364
1539949323,7303,7424
1539950524,7210,7329
1539951123,7261,7382
1539951724,7309,7435
1539952923,7252,7375
1539953523,7267,7391
1539954123,7228,7347
1539955323,7202,7323
1539955922,7191,7311
1539956523,7254,7374
1539957723,7180,7298
1539958324,7175,7296
1539958923,7181,7301
1539960123,7185,7306
1539961323,7173,7293
1539961923,7144,7263
1539962523,7135,7255
1539963723,7077,7192
1539964324,7118,7235
1539964926,7090,7208
1539966123,7065,7184
1539966724,7052,7172
1539967322,7094,7217
1539968524,7087,7210
1539969724,7004,7127
1539970923,6965,7087
1539972124,6928,7053
1539972723,6981,7108
1539973324,6985,7113
1539973923,6976,7106
1539974523,6975,7103
1539975123,6971,7098
1539975723,7028,7156
1539976323,7027,7157
1539976923,7020,7149
1539977523,7086,7216
1539978124,7044,7170
1539979323,7024,7153
1539979923,7006,7138
1539980523,7045,7182
1539981123,7018,7155
1539981723,7013,7150
1539982323,7041,7176
1539982923,7079,7219
1539984123,6997,7138
1539984723,6961,7106
1539985323,7020,7166
1539985923,6979,7128
1539986523,6974,7127
1539987123,7002,7159
1539987723,6930,7084
1539988923,6972,7127
1539990123,6919,7076
1539990723,6903,7060
1539991324,6877,7040
1539992523,6887,7047
1539993123,6914,7074
1539993725,6895,7054
1539994323,6836,6992
1539994924,6886,7045
1539995524,6878,7040
1539996122,6877,7041
1539996723,6864,7030
1539997323,6846,7014
1539997923,6831,6999
1539998524,6867,7038
1539999723,6789,6960
1540000924,6716,6888
1540002123,6667,6837
1540003323,6653,6823
1540003923,6633,6803
1540004523,6685,6856
1540005123,6672,6843
1540005723,6679,6852
1540006324,6712,6886
1540006924,6697,6869
1540008123,6743,6918
1540008723,6747,6918
1540009324,6734,6906
1540009924,6699,6870
1540010523,6750,6925
1540011723,6682,6858
1540012923,6645,6817
1540013524,6698,6873
1540014123,6734,6910
1540014723,6688,6864
1540015323,6659,6837
1540015923,6722,6900
1540016523,6717,6894
1540017724,6655,6830
1540018323,6664,6840
1540018923,6655,6831
1540019524,6631,6807
1540020123,6685,6862
1540021323,6583,6757
1540021923,6632,6810
1540022523,6673,6852
1540023124,6692,6871
1540023723,6650,6826
1540024324,6652,6827
1540024924,6652,6828
1540025523,6697,6875
1540026124,6693,6877
1540026726,6642,6824
1540027323,6698,6881
1540027923,6713,6894
1540028526,6715,6896
1540029123,6630,6809
1540029724,6618,6798
1540030323,6613,6795
1540030923,6652,6836
1540032124,6590,6773
1540032725,6606,6790
1540033324,6599,6783
1540034523,6590,6774
1540035124,6590,6777
1540035723,6638,6826
1540036924,6663,6852
1540037523,6637,6827
1540038123,6660,6848
1540039324,6687,6874
1540040524,6639,6818
1540041723,6649,6830
1540042323,6640,6820
1540042924,6687,6872
1540043523,6680,6864
1540044123,6703,6886
1540044724,6697,6878
1540045323,6740,6923
1540046523,6743,6929
1540047123,6735,6925
1540047723,6752,6946
1540048324,6790,6989
1540048923,6717,6917
1540049523,6765,6969
