DateTime,AddedIPs,RemovedIPs
1539823323,10,27
1539824522,13,46
1539825124,10,21
1539825724,6,35
1539826925,9,13
1539827523,7,0
1539828124,4,0
1539829324,3,66
1539830524,4,0
1539831724,5,40
1539832323,3,32
1539832923,0,11
1539833523,7,51
1539834123,6,16
1539834723,9,0
1539835323,4,25
1539835924,9,0
1539836524,5,23
1539837123,4,0
1539837724,11,8
1539838324,3,24
1539838924,8,9
1539839523,4,0
1539840123,3,28
1539840723,11,20
1539841324,6,16
1539842524,5,19
1539843125,7,32
1539843723,7,28
1539844923,16,10
1539846124,5,24
1539846724,9,15
1539847323,12,16
1539847924,11,8
1539848523,8,0
1539849723,4,52
1539850924,7,35
1539851524,6,0
1539852124,13,15
1539853323,11,86
1539853925,2,16
1539854523,3,0
1539855723,8,15
1539856324,12,75
1539856923,5,0
1539858123,11,45
1539858723,4,43
1539859323,3,0
1539860524,10,42
1539861124,5,46
1539861723,11,0
1539862924,9,30
1539863524,6,35
1539864123,8,0
1539865323,2,53
1539865924,7,0
1539866523,16,9
1539867123,6,23
1539867723,10,0
1539868323,7,5
1539868924,10,29
1539870123,10,41
1539870723,13,0
1539871323,7,15
1539872523,10,8
1539873123,4,39
1539873723,15,0
1539874924,15,26
1539875524,10,0
1539876123,7,25
1539877323,10,15
1539878523,14,36
1539879723,17,36
1539880322,5,0
1539880923,5,24
1539882124,11,53
1539882724,14,19
1539883324,8,0
1539883924,9,74
1539884524,6,0
1539885724,2,62
1539886324,9,31
1539886923,11,27
1539888123,2,9
1539888723,14,40
1539889324,8,38
1539890524,12,26
1539891123,6,48
1539891723,10,29
1539892324,3,0
1539892924,10,47
1539894123,6,11
1539895324,7,98
1539895923,7,27
1539896523,12,22
1539897125,7,0
1539897723,10,0
1539898923,13,66
1539900123,10,0
1539900724,5,88
1539901323,12,35
1539902523,15,9
1539903123,6,15
1539903724,4,0
1539904923,14,65
1539905523,13,41
1539906723,10,20
1539907325,6,32
1539907924,2,23
1539908524,6,28
1539909725,4,0
1539910323,5,11
1539910923,5,0
1539911523,6,49
1539912123,4,22
1539912722,11,0
1539913323,3,16
1539913923,10,0
1539914523,7,13
1539915124,4,0
1539915723,4,56
1539916923,10,48
1539918123,3,46
1539919323,10,51
1539920524,11,61
1539921723,4,56
1539922323,8,0
1539922923,13,24
1539923523,5,0
1539924123,8,11
1539924723,6,0
1539925324,5,0
1539926523,12,36
1539927724,8,43
1539928923,9,12
1539929524,4,18
1539930123,16,0
1539930723,4,27
1539931324,6,35
1539931923,6,0
1539932523,10,18
1539933723,4,17
1539934323,11,73
1539934923,19,31
1539936123,9,18
1539936723,13,17
1539937323,14,24
1539937924,9,0
1539938523,7,23
1539939123,12,32
1539939723,13,15
1539940323,3,0
1539940925,3,96
1539941523,5,0
1539942124,7,37
1539942723,14,0
1539943323,12,48
1539943924,6,0
1539944523,3,57
1539945122,6,44
1539945723,5,30
1539946924,9,71
1539947525,5,12
1539948122,10,19
1539949323,8,0
1539950524,9,34
1539951123,8,0
1539951724,4,16
1539952923,19,28
1539953523,8,13
1539954123,17,33
1539955323,6,17
1539955922,3,13
1539956523,7,32
1539957723,13,0
1539958324,9,15
