DateTime,AddedIPs,RemovedIPs
1539825124,80,80
1539825724,79,79
1539826925,80,80
1539827523,80,80
1539828124,80,80
1539829324,80,80
1539830524,80,80
1539831724,80,80
1539832323,80,80
1539832923,80,80
1539833523,79,79
1539834123,79,79
1539834723,80,80
1539835323,79,79
1539835924,80,80
1539836524,80,80
1539837123,80,80
1539837724,80,80
1539838324,80,80
1539838924,79,79
1539839523,80,80
1539840123,80,80
1539840723,80,80
1539841324,80,80
1539842524,80,80
1539843125,80,80
1539843723,80,80
1539844923,80,80
1539846124,80,80
1539846724,80,80
1539847323,80,80
1539847924,80,80
1539848523,80,80
1539849723,80,80
1539850924,80,80
1539851524,80,80
1539852124,80,80
1539853323,80,80
1539853925,80,80
1539854523,80,80
1539855723,80,80
1539856324,80,80
1539856923,80,80
1539858123,80,80
1539858723,80,80
1539859323,80,80
1539860524,80,80
1539861124,80,80
1539861723,80,80
1539862924,80,80
1539863524,80,80
1539864123,80,80
1539865323,80,80
1539865924,80,80
1539866523,80,80
1539867123,80,80
1539867723,80,80
1539868323,80,80
1539868924,80,80
1539870123,80,80
1539870723,80,80
1539871323,80,80
1539872523,80,80
1539873123,80,80
1539873723,80,80
1539874924,80,80
1539875524,80,80
1539876123,80,80
1539877323,80,80
1539878523,80,80
1539879723,80,80
1539880322,80,80
1539880923,80,80
1539882124,80,80
1539882724,80,80
1539883324,80,80
1539883924,80,80
1539884524,80,80
1539885724,80,80
1539886324,80,80
1539886923,80,80
1539888123,80,80
1539888723,80,80
1539889324,80,80
1539890524,80,80
1539891123,80,80
1539891723,79,79
1539892324,80,80
1539892924,80,80
1539894123,80,80
1539895324,80,80
1539895923,80,80
1539896523,80,80
1539897125,80,80
1539897723,79,79
1539898923,79,79
1539900123,80,80
1539900724,80,80
1539901323,80,80
1539902523,80,80
1539903123,80,80
1539903724,80,80
1539904923,80,80
1539905523,80,80
1539906723,80,80
1539907325,80,80
1539907924,80,80
1539908524,80,80
1539909725,80,80
1539910323,80,80
1539910923,80,80
1539911523,80,80
1539912123,80,80
1539912722,80,80
1539913323,80,80
1539913923,80,80
1539914523,80,80
1539915124,80,80
1539915723,80,80
1539916923,80,80
1539918123,80,80
1539919323,80,80
1539920524,80,80
1539921723,80,80
1539922323,80,80
1539922923,80,80
1539923523,79,79
1539924123,80,80
1539924723,80,80
1539925324,80,80
1539926523,80,80
1539927724,80,80
1539928923,80,80
1539929524,80,80
1539930123,80,80
1539930723,80,80
1539931324,80,80
1539931923,80,80
1539932523,80,80
1539933723,80,80
1539934323,80,80
1539934923,80,80
1539936123,80,80
1539936723,80,80
1539937323,80,80
1539937924,78,78
1539938523,80,80
1539939123,80,80
1539939723,79,79
1539940323,80,80
1539940925,80,80
1539941523,80,80
1539942124,80,80
1539942723,80,80
1539943323,80,80
1539943924,80,80
1539944523,80,80
1539945122,80,80
1539945723,80,80
1539946924,80,80
1539947525,80,80
1539948122,80,80
1539949323,80,80
1539950524,80,80
1539951123,80,80
1539951724,80,80
1539952923,80,80
1539953523,79,79
1539954123,80,80
1539955323,80,80
1539955922,80,80
1539956523,80,80
1539957723,80,80
1539958324,78,78
1539958923,80,80
1539960123,80,80
1539961323,79,79
1539961923,80,80
1539962523,80,80
1539963723,80,80
1539964324,80,80
1539964926,79,79
1539966123,80,80
1539966724,80,80
1539967322,80,80
1539968524,80,80
1539969724,80,80
1539970923,80,80
1539972124,79,79
1539972723,80,80
1539973324,80,80
1539973923,80,80
1539974523,80,80
1539975123,80,80
1539975723,80,80
1539976323,80,80
1539976923,80,80
1539977523,80,80
1539978124,80,80
1539979323,80,80
1539979923,80,80
1539980523,80,80
1539981123,80,80
1539981723,80,80
1539982323,80,80
1539982923,80,80
1539984123,80,80
1539984723,80,80
1539985323,80,80
1539985923,80,80
1539986523,80,80
1539987123,79,79
1539987723,80,80
1539988923,80,80
1539990123,80,80
1539990723,80,80
1539991324,80,80
1539992523,80,80
1539993123,80,80
1539993725,80,80
1539994323,80,80
1539994924,80,80
1539995524,80,80
1539996122,80,80
1539996723,80,80
1539997323,79,79
1539997923,80,80
1539998524,80,80
1539999723,80,80
1540000924,80,80
1540002123,80,80
1540003323,80,80
1540003923,80,80
1540004523,80,80
1540005123,80,80
1540005723,80,80
1540006324,80,80
1540006924,80,80
1540008123,80,80
1540008723,80,80
1540009324,80,80
1540009924,80,80
1540010523,80,80
1540011723,80,80
1540012923,79,79
1540013524,80,80
1540014123,80,80
1540014723,80,80
1540015323,80,80
1540015923,80,80
1540016523,80,80
1540017724,80,80
1540018323,80,80
1540018923,80,80
1540019524,80,80
1540020123,80,80
1540021323,80,80
1540021923,80,80
1540022523,80,80
1540023124,80,80
1540023723,80,80
1540024324,80,80
1540024924,80,80
1540025523,80,80
1540026124,80,80
1540026726,80,80
1540027323,80,80
1540027923,80,80
1540028526,80,80
1540029123,79,79
1540029724,80,80
1540030323,80,80
1540030923,79,79
1540032124,80,80
1540032725,80,80
1540033324,80,80
1540034523,80,80
1540035124,80,80
1540035723,79,79
1540036924,79,79
1540037523,80,80
1540038123,80,80
1540039324,80,80
1540040524,80,80
1540041723,80,80
1540042323,79,79
1540042924,80,80
1540043523,80,80
1540044123,80,80
1540044724,80,80
1540045323,80,80
1540046523,80,80
1540047123,80,80
1540047723,80,80
1540048324,80,80
1540048923,80,80
1540049523,80,80
1540050125,80,80
1540051323,80,80
1540051923,80,80
1540052523,80,80
1540053724,80,80
1540054323,80,80
1540054924,80,80
1540056124,80,80
1540056723,80,80
1540057324,80,80
1540058524,80,80
1540059124,79,79
1540059724,79,79
1540060323,80,80
1540060924,80,80
1540061523,80,80
1540062123,79,79
1540063323,80,80
1540064523,80,80
1540065723,78,78
1540066923,80,80
1540067524,80,80
1540068124,80,80
1540068724,80,80
1540069323,80,80
1540070523,80,80
1540071122,79,79
1540071723,80,80
1540072923,80,80
1540073524,80,80
1540074123,80,80
1540075323,80,80
1540075923,80,80
1540076523,79,79
1540077723,80,80
1540078324,80,80
1540078923,80,80
1540080125,80,80
1540080723,80,80
1540081323,80,80
1540081923,80,80
1540082523,80,80
1540083123,80,80
1540083723,80,80
1540084924,80,80
1540085523,80,80
1540086123,80,80
1540087323,80,80
1540087923,80,80
1540088523,80,80
1540089123,78,78
1540089724,80,80
1540090323,80,80
1540090923,80,80
1540091523,80,80
1540092124,80,80
1540092723,80,80
1540093323,80,80
1540093923,80,80
1540094523,80,80
1540095123,80,80
1540095724,80,80
1540096323,80,80
1540096922,80,80
1540097523,80,80
1540098124,80,80
1540098724,79,79
1540099323,80,80
1540099925,80,80
1540100523,80,80
1540101724,80,80
1540102325,80,80
1540102924,80,80
1540103523,80,80
1540104123,80,80
1540104723,80,80
1540105323,80,80
1540105926,80,80
1540106524,80,80
1540107124,80,80
1540107724,80,80
1540108324,80,80
1540108923,79,79
1540109524,80,80
1540110123,80,80
1540110723,80,80
1540111323,80,80
1540111923,80,80
1540112523,80,80
1540113124,79,79
1540113724,80,80
1540114923,80,80
1540116122,80,80
1540117322,80,80
1540117922,79,79
1540118524,80,80
1540119724,79,79
1540120324,80,80
1540120923,80,80
1540122123,80,80
1540123323,80,80
1540124524,80,80
1540125723,80,80
1540127523,80,80
1540128123,80,80
1540128723,80,80
1540129323,80,80
1540129923,80,80
1540130523,80,80
1540131124,80,80
1540131723,80,80
1540132923,80,80
1540133524,80,80
1540134124,80,80
1540134723,80,80
1540135324,80,80
1540135923,80,80
1540136523,80,80
1540137723,80,80
1540138324,80,80
1540138924,80,80
1540139523,80,80
1540140123,79,79
1540141323,80,80
1540141923,80,80
1540142523,80,80
1540143723,80,80
1540144323,80,80
1540144923,80,80
1540146124,80,80
1540146723,79,79
1540147324,80,80
1540148523,80,80
1540149124,80,80
1540149723,80,80
1540150323,80,80
1540150923,79,79
1540151526,80,80
1540152124,80,80
1540153324,80,80
1540154523,80,80
1540155123,80,80
1540155723,80,80
1540156324,80,80
1540156923,80,80
1540157523,80,80
1540158124,80,80
1540159323,80,80
1540160524,80,80
1540161123,80,80
1540161723,80,80
1540162923,80,80
1540163524,79,79
1540164123,80,80
1540165323,80,80
1540165923,80,80
1540166525,80,80
1540167724,80,80
1540168323,80,80
1540168924,80,80
1540170123,80,80
1540170724,80,80
1540171324,80,80
1540172524,80,80
1540173123,80,80
1540173724,80,80
1540174923,80,80
1540175523,80,80
1540176123,80,80
1540176723,80,80
1540177323,80,80
1540177923,80,80
1540178523,80,80
1540179725,80,80
1540180323,80,80
1540180924,80,80
1540182123,80,80
1540182724,80,80
1540183324,80,80
1540184523,80,80
1540185124,80,80
1540185723,80,80
1540186924,80,80
1540187523,80,80
1540188123,80,80
1540189323,80,80
1540189923,80,80
1540190523,80,80
1540191724,80,80
1540192325,80,80
1540192923,80,80
1540194125,80,80
1540194723,80,80
1540195324,80,80
1540196523,80,80
1540197723,80,80
1540198323,80,80
1540199524,80,80
1540200124,80,80
1540200723,80,80
1540201323,80,80
1540201924,79,79
1540202522,79,79
