DateTime,AddedIPs,RemovedIPs
1539819722,78,47
1539820323,42,22
1539820924,82,0
1539822123,63,138
1539823323,87,96
1539825123,12,169
1539825724,8,0
1539826924,59,112
1539827523,37,50
1539828124,28,53
1539829323,67,91
1539830524,53,0
1539831123,67,77
1539831724,33,0
1539832323,28,26
1539832923,10,23
1539833523,27,40
1539834123,5,70
1539835322,51,11
1539835924,65,0
1539836524,52,45
1539837123,78,24
1539837723,71,8
1539838323,73,0
1539838924,28,41
1539840123,74,31
1539840723,56,45
1539841324,39,34
1539842524,71,0
1539843723,46,139
1539844923,22,0
1539846124,41,79
1539846724,49,0
1539847323,12,0
1539847923,4,15
1539848523,3,40
1539849723,6,93
1539850924,66,65
1539851523,27,14
1539852124,30,26
1539852723,27,0
1539853323,8,49
1539853925,48,0
1539854523,32,0
1539855123,31,27
1539855722,35,27
1539856324,19,0
1539856922,29,62
1539858123,20,0
1539858722,10,79
1539859323,9,45
1539860523,19,70
1539861124,5,0
1539861723,4,23
1539862923,29,75
1539863524,20,23
1539864123,42,29
1539864723,8,0
1539865322,4,17
1539865924,26,0
1539866523,52,69
1539867723,35,0
1539868323,8,37
1539868924,45,34
1539870123,33,46
1539870723,33,0
1539871323,41,37
1539871924,51,0
1539872523,26,0
1539873123,18,39
1539873723,36,49
1539874923,24,34
1539875523,12,37
1539876122,2,18
1539877323,11,44
1539878523,16,63
1539879723,64,33
1539880922,84,36
1539881523,22,39
1539882724,36,80
1539883324,22,35
1539883923,21,0
1539884523,13,0
1539885724,14,47
1539886324,23,32
1539886923,18,25
1539888123,54,27
1539888723,11,0
1539889324,49,24
1539890524,62,44
1539891123,11,63
1539891723,60,37
1539892324,27,102
1539892924,15,0
1539894123,21,2
1539895323,31,51
1539895923,52,39
1539896523,73,0
1539897125,78,29
1539897723,54,19
1539898923,75,108
1539899523,29,0
1539900123,28,0
1539900724,18,25
1539901323,33,27
1539902523,38,36
1539903123,38,45
1539903723,42,0
1539904923,19,78
1539905522,21,59
1539906723,38,52
1539907325,4,120
1539907924,29,0
1539908524,12,0
1539909124,3,46
1539909724,38,0
1539910323,60,19
1539910923,48,0
1539911523,15,0
1539912123,11,37
1539912722,5,0
1539913323,5,37
1539913923,38,0
1539914523,10,81
1539915124,6,0
1539915723,27,0
1539916923,26,71
1539917523,2,122
1539918123,51,31
1539919323,51,30
1539920524,51,39
1539921122,42,31
1539921723,33,0
1539922323,20,35
1539922923,15,104
1539924123,11,75
1539924723,2,18
1539925324,19,51
1539926523,41,0
1539927724,36,57
1539928923,16,51
1539929524,9,55
1539930122,29,0
1539931323,41,88
1539931923,28,0
1539932523,18,0
1539933723,69,90
1539934322,14,14
1539934923,8,15
1539935522,5,0
1539936123,33,31
1539936723,11,0
1539937323,12,0
1539938523,2,91
1539939122,1,76
1539939723,43,0
1539940924,22,126
1539941523,66,37
1539942124,7,0
1539943323,27,136
1539943924,4,0
1539944523,2,16
1539945723,3,17
1539946924,3,28
1539947525,0,18
1539948122,0,29
1539949323,20,0
1539949923,0,35
1539950524,16,63
1539951123,6,13
1539951724,3,0
1539952923,40,48
1539954123,28,71
1539955323,75,52
1539956523,34,40
1539957123,34,55
1539957723,22,43
1539958324,35,86
1539958923,30,35
1539960123,17,40
1539961322,71,23
1539962523,17,38
1539963123,24,26
1539963723,14,31
1539964323,6,0
1539964925,51,42
1539966123,46,0
1539967322,33,34
1539968524,67,99
1539969723,56,21
1539970923,19,46
1539972124,8,48
1539972722,16,0
1539973324,5,72
1539974523,25,16
1539975123,53,44
1539975723,16,0
1539976323,65,37
1539976922,42,19
1539977523,26,0
1539978123,3,92
1539978723,1,0
1539979323,7,33
1539979923,7,28
1539980522,10,0
1539981123,16,42
1539981723,18,33
1539982323,41,79
1539982922,7,0
1539983524,55,80
1539984123,13,0
1539984723,5,25
1539985323,37,0
1539985922,5,53
1539986523,9,12
1539987123,23,0
1539987723,7,93
1539988923,13,0
1539989523,4,27
1539990122,1,26
1539991323,78,37
1539992522,49,42
1539993122,12,0
1539993725,11,37
1539994323,11,37
1539996122,9,76
1539996723,45,73
1539997323,48,41
1539997923,18,23
1539998524,35,0
1539999723,9,25
1540000924,91,57
1540002123,94,38
1540003323,92,41
1540003923,15,37
1540004522,1,0
1540005723,2,85
1540006924,21,41
1540008123,17,45
1540008723,17,28
1540009323,86,15
1540010523,71,31
1540011122,62,10
1540011723,54,21
1540012923,44,83
1540013524,14,0
1540014123,18,0
1540015323,19,20
1540015923,13,0
1540016523,14,11
1540017124,71,47
1540017723,71,0
1540018323,49,15
1540018923,73,29
1540020122,91,27
1540020723,15,57
1540021323,52,29
1540022522,60,33
1540023123,54,18
1540023723,25,20
1540024923,75,22
1540025523,50,0
1540026123,33,31
1540027323,51,26
1540027923,34,4
1540028525,38,58
1540029123,81,22
1540029724,20,13
1540030323,11,14
1540030923,7,0
1540032123,14,15
1540032725,5,3
1540033323,10,0
1540034523,17,0
1540035723,22,25
1540036924,37,22
1540037522,9,9
1540038123,8,11
1540039323,44,40
1540040524,62,24
1540041723,69,59
1540042323,19,34
1540042924,18,0
1540044123,51,89
1540044724,60,32
1540045323,33,0
1540046523,60,27
1540047123,36,60
1540047723,8,23
1540048323,12,0
1540048923,29,40
1540049523,16,16
1540050124,73,0
1540050723,58,5
1540051323,76,107
1540051923,41,0
1540052523,26,17
1540053123,53,0
1540053723,37,38
1540054323,37,0
1540054923,26,0
1540056123,36,75
1540056723,31,49
1540057324,23,5
1540058524,56,0
1540059124,53,26
1540059723,40,0
1540060322,19,11
1540060923,46,0
1540061523,32,31
1540062123,9,5
1540063323,46,77
1540064523,21,83
1540065123,24,24
1540065722,7,0
1540066922,17,26
1540068124,57,10
1540068724,55,54
1540069323,65,26
1540069925,52,0
1540070523,21,53
1540071122,46,38
1540071723,27,18
1540072323,30,0
1540072923,60,7
1540073524,42,12
1540074122,69,0
1540075323,42,26
1540075923,65,24
1540076523,41,21
1540077723,80,70
1540078323,18,0
1540078923,3,0
1540080124,21,25
1540080723,4,27
1540081323,2,52
1540081923,4,0
1540082523,4,0
1540083723,16,83
1540084924,34,88
1540085523,22,0
1540086123,26,61
1540086722,27,0
1540087323,11,70
1540087923,37,0
1540088523,59,0
1540089723,24,58
